depth	true_age	cal_c14_age	sigma_age	d18O	sigma_d18O
0.00	1953.35	NaN	NaN	NaN	NaN
6.00	1922.90	1921.00	2.00	NaN	NaN
9.00	1902.18	1899.00	3.00	NaN	NaN
29.00	1785.74	1784.00	5.00	NaN	NaN
48.00	1650.50	1652.00	2.50	NaN	NaN
65.00	1532.87	1544.00	7.00	NaN	NaN
80.00	1453.85	1454.00	2.50	NaN	NaN
113.00	1069.28	1075.00	2.50	NaN	NaN
0.10	1952.52	NaN	NaN	-8.68	0.08
0.50	1949.20	NaN	NaN	-8.74	0.08
1.00	1945.06	NaN	NaN	-8.65	0.08
1.50	1940.91	NaN	NaN	-8.48	0.08
2.00	1936.77	NaN	NaN	-8.34	0.08
2.50	1935.24	NaN	NaN	-8.47	0.08
3.00	1933.71	NaN	NaN	-8.56	0.08
3.50	1932.18	NaN	NaN	-8.59	0.08
4.00	1930.65	NaN	NaN	-8.49	0.08
4.50	1928.71	NaN	NaN	-8.54	0.08
5.00	1926.78	NaN	NaN	-8.63	0.08
5.50	1924.84	NaN	NaN	-8.37	0.08
6.00	1922.90	NaN	NaN	-8.36	0.08
6.50	1918.83	NaN	NaN	-8.17	0.08
7.00	1914.75	NaN	NaN	-8.61	0.08
7.50	1910.67	NaN	NaN	-8.64	0.08
8.00	1906.60	NaN	NaN	-8.67	0.08
8.50	1904.39	NaN	NaN	-8.71	0.08
9.00	1902.18	NaN	NaN	-8.73	0.08
9.50	1899.98	NaN	NaN	-8.44	0.08
10.00	1897.77	NaN	NaN	-8.52	0.08
10.50	1894.87	NaN	NaN	-8.53	0.08
11.00	1891.97	NaN	NaN	-8.38	0.08
11.50	1889.06	NaN	NaN	-8.65	0.08
12.00	1886.16	NaN	NaN	-8.81	0.08
12.50	1883.77	NaN	NaN	-8.75	0.08
13.00	1881.38	NaN	NaN	-8.47	0.08
13.50	1878.98	NaN	NaN	-8.61	0.08
14.00	1876.59	NaN	NaN	-8.42	0.08
14.50	1873.96	NaN	NaN	-8.36	0.08
15.00	1871.32	NaN	NaN	-8.47	0.08
15.50	1868.69	NaN	NaN	-8.65	0.08
16.00	1866.06	NaN	NaN	-8.81	0.08
16.50	1863.27	NaN	NaN	-8.68	0.08
