site,Site.detail,sample,d13C,height
MS7,MS7 Oued Sdas,M24-6.0,-2.962,1.22
MS7,MS7 Oued Sdas,M24-7.5,-2.578,2.72
MS7,MS7 Oued Sdas,M24-9.0,-3.115,4.22
MS7,MS7 Oued Sdas,M24-10.5,-3.128,5.72
MS7,MS7 Oued Sdas,M24-12.0,-2.696,7.22
MS7,MS7 Oued Sdas,M24-13.5,-2.391,8.72
MS7,MS7 Oued Sdas,M24-15.0,-1.509,10.22
MS7,MS7 Oued Sdas,M24-16.5,-2.394,11.72
MS7,MS7 Oued Sdas,M24-18.0,-3.184,13.22
MS7,MS7 Oued Sdas,M24-20.2,-1.792,15.42
MS7,MS7 Oued Sdas,M24-21.7,-2.741,16.92
MS7,MS7 Oued Sdas,M24-23.2,-2.277,18.42
MS7,MS7 Oued Sdas,M24-24.7,-2.441,19.92
MS7,MS7 Oued Sdas,M24-26.2,-2.694,21.42
MS7,MS7 Oued Sdas,M24-27.7,-2.614,22.92
MS7,MS7 Oued Sdas,M24-29.2,-2.395,24.42
MS7,MS7 Oued Sdas,M24-30.7,-3.033,25.92
MS7,MS7 Oued Sdas,M24-32.2,-3.138,27.42
MS7,MS7 Oued Sdas,M24-33.3,-1.846,28.52
MS7,MS7 Oued Sdas,M24-35.2,-3.269,30.42
MS7,MS7 Oued Sdas,M24-37.0,-3.583,32.22
MS7,MS7 Oued Sdas,M24-38.5B,-3.588,33.72
MS7,MS7 Oued Sdas,M24-40.0,-3.478,35.22
MS7,MS7 Oued Sdas,M24-41.5,-3.727,36.72
MS7,MS7 Oued Sdas,M24-43.0,-3.243,38.22
MS7,MS7 Oued Sdas,M24-44.5,-3.37,39.72
MS7,MS7 Oued Sdas,M24-46.0,-3.227,41.22
MS7,MS7 Oued Sdas,M24-47.5,-2.526,42.72
MS7,MS7 Oued Sdas,M24-49.0,-3.321,44.22
MS7,MS7 Oued Sdas,M24-50.5,-2.906,45.72
MS7,MS7 Oued Sdas,M24-52.0,-3.59,47.22
MS7,MS7 Oued Sdas,M24-53.5,-3.027,48.72
MS7,MS7 Oued Sdas,M24-55.0,-3.058,50.22
MS7,MS7 Oued Sdas,M24-56.5,-2.835,51.72
MS7,MS7 Oued Sdas,M24-58.0,-3.001,53.22
MS7,MS7 Oued Sdas,M24-59.5,-2.276,54.72
MS7,MS7 Oued Sdas,M24-61.0,-2.348,56.22
MS7,MS7 Oued Sdas,M24-62.5,-2.455,57.72
MS7,MS7 Oued Sdas,M24-64.0,-2.398,59.22
MS7,MS7 Oued Sdas,M24-65.5,-3.282,60.72
MS7,MS7 Oued Sdas,M24-67.0,-2.637,62.22
MS7,MS7 Oued Sdas,M24-68.5,-2.553,63.72
MS7,MS7 Oued Sdas,M24-70.0,-2.436,65.22
MS7,MS7 Oued Sdas,M24-71.5,-2.811,66.72
MS7,MS7 Oued Sdas,M24-73.0,-3.562,68.22
MS7,MS7 Oued Sdas,M24-74.5,-3.46,69.72
MS7,MS7 Oued Sdas,M24-77.5,-3.032,72.72
MS7,MS7 Oued Sdas,M24-79.0A,-2.986,74.22
MS7,MS7 Oued Sdas,M24-80.5,-2.968,75.72
MS7,MS7 Oued Sdas,M24-82.0,-2.953,77.22
MS7,MS7 Oued Sdas,M24-83.5,-2.886,78.72
MS7,MS7 Oued Sdas,M24-85.0,-3.34,80.22
MS7,MS7 Oued Sdas,M24-86.5,-3.329,81.72
MS7,MS7 Oued Sdas,M24-88.0,-3.087,83.22
MS7,MS7 Oued Sdas,M24-89.5,-3.161,84.72
MS7,MS7 Oued Sdas,M24-91.5,-3.868,86.72
MS7,MS7 Oued Sdas,M24-93.0,-2.633,88.22
MS7,MS7 Oued Sdas,M24-94.5,-2.886,89.72
MS7,MS7 Oued Sdas,M24-96.5,-1.956,91.72
MS7,MS7 Oued Sdas,M24-98.0,-2.69,93.22
MS7,MS7 Oued Sdas,M24-99.5,-2.444,94.72
MS7,MS7 Oued Sdas,M24-102.0,-3.617,97.22
