"","site","height","value"
"1","site1",-1.5707963267949,-0.188129832523722
"2","site1",-1.54563482956935,-0.0483239067797117
"3","site1",-1.5204733323438,-0.213295499224142
"4","site1",-1.49531183511825,-0.0269601319701142
"5","site1",-1.47015033789271,-0.385495836366702
"6","site1",-1.44498884066716,-0.0522876538945077
"7","site1",-1.41982734344161,-0.100713635108005
"8","site1",-1.39466584621606,-0.162163603995954
"9","site1",-1.36950434899052,-0.196104110566067
"10","site1",-1.34434285176497,-0.173055289429662
"11","site1",-1.31918135453942,-0.378770418163723
"12","site1",-1.29401985731387,-0.297089979052059
"13","site1",-1.26885836008833,-0.164543920888464
"14","site1",-1.24369686286278,-0.101103818760758
"15","site1",-1.21853536563723,-0.316266518273572
"16","site1",-1.19337386841168,-0.392076287805083
"17","site1",-1.16821237118614,-0.574210693732683
"18","site1",-1.14305087396059,-0.702337686703528
"19","site1",-1.11788937673504,-0.596999152391072
"20","site1",-1.09272787950949,-0.209248416441158
"21","site1",-1.06756638228395,-0.327829138682152
"22","site1",-1.0424048850584,-0.548047937687533
"23","site1",-1.01724338783285,-0.610674947788964
"24","site1",-0.992081890607303,-0.630744178006819
"25","site1",-0.966920393381756,-0.368439797823497
"26","site1",-0.941758896156208,-0.64352230842438
"27","site1",-0.91659739893066,-0.357319995884835
"28","site1",-0.891435901705113,-0.498960701345727
"29","site1",-0.866274404479565,-0.387807185492763
"30","site1",-0.841112907254018,-0.841286116284206
"31","site1",-0.81595141002847,-0.683501525711991
"32","site1",-0.790789912802923,-0.87945832363018
"33","site1",-0.765628415577375,-0.601695210666157
"34","site1",-0.740466918351828,-0.714210112584987
"35","site1",-0.71530542112628,-0.811327742051012
"36","site1",-0.690143923900733,-0.479956713882098
"37","site1",-0.664982426675185,-0.741123710648551
"38","site1",-0.639820929449638,-0.602893899431148
"39","site1",-0.61465943222409,-0.66059805609039
"40","site1",-0.589497934998542,-0.986575228111826
"41","site1",-0.564336437772995,-0.968141677707675
"42","site1",-0.539174940547447,-0.84881652158347
"43","site1",-0.5140134433219,-1.09685536775855
"44","site1",-0.488851946096352,-0.767528824530668
"45","site1",-0.463690448870805,-1.15055791796454
"46","site1",-0.438528951645258,-0.580287800916745
"47","site1",-0.41336745441971,-1.0159126458556
"48","site1",-0.388205957194162,-0.589930203768247
"49","site1",-0.363044459968615,-1.01732398074282
"50","site1",-0.337882962743067,-1.13791592406068
"51","site1",-0.312721465517519,-0.946423264165666
"52","site1",-0.287559968291972,-0.95344368739445
"53","site1",-0.262398471066424,-1.3018071432826
"54","site1",-0.237236973840877,-0.761240872238566
"55","site1",-0.212075476615329,-1.20151597581805
"56","site1",-0.186913979389782,-0.915458938574391
"57","site1",-0.161752482164234,-0.887987411797644
"58","site1",-0.136590984938687,-0.963075404293983
"59","site1",-0.111429487713139,-1.01755656089146
"60","site1",-0.0862679904875916,-0.956744371610275
"61","site1",-0.0611064932620442,-1.21187212136852
"62","site1",-0.0359449960364966,-1.15999669165719
