depth	true_age	age	sigma_age	ref	sigma_ref
0.0	1999.0				
420.0	-1192.0448849635195	-1198.0	6.0		
850.0	-5291.54200036136	-5284.0	35.0		
980.0	-6845.172434205389			-6.111779717827701	4.04
975.0	-6716.069128154846			-1.5893626362552453	4.53
970.0	-6586.965822104304			-11.450046152889986	4.82
965.0	-6457.862516053761			-3.859380290602578	3.97
960.0	-6328.759210003218			-7.969361831450874	4.86
955.0	-6298.179193559017			6.661214301255775	4.13
950.0	-6267.5991771148165			8.621903006331339	4.13
945.0	-6237.019160670616			-3.489699189851508	3.72
940.0	-6206.439144226415			2.022229050179795	3.63
935.0	-6160.129409491763			-0.44191300268127254	3.7
930.0	-6113.819674757111			2.5790506689115276	3.89
925.0	-6067.509940022458			-2.7809474461177848	4.03
920.0	-6021.200205287806			9.718709242180694	4.12
915.0	-5920.6425384194035			-0.42207784412408156	4.22
910.0	-5820.084871551002			0.36760225452893525	4.36
905.0	-5719.527204682599			2.4555615230460113	4.45
900.0	-5618.969537814197			-0.50942042782893	4.28
895.0	-5588.974145917015			1.8785482654736787	4.09
890.0	-5558.978754019834			0.48339230164528146	3.97
885.0	-5528.9833621226535			1.7389976218248662	4.08
880.0	-5498.987970225472			-6.126931929195969	6.64
875.0	-5454.783987894835			-1.963460827873833	6.3
870.0	-5410.580005564198			-0.07628220007327569	6.05
865.0	-5366.376023233561			-0.8238399783839536	5.84
860.0	-5322.172040902924			1.6085205399559757	6.02
855.0	-5306.857020632142			-0.73050828336708	5.27
850.0	-5291.54200036136			4.782993379753019	5.73
845.0	-5276.226980090579			-1.35254611826743	5.14
840.0	-5260.911959819797			0.0053209335698294336	4.14
835.0	-5230.5733282495785			-1.6272820432525044	4.32
830.0	-5200.234696679359			-1.0894697094099397	3.86
825.0	-5169.89606510914			-4.955455872758788	4.11
820.0	-5139.557433538922			1.1589095007931696	3.68
815.0	-5123.4795780183185			-5.380272634686397	3.68
810.0	-5107.401722497714			-4.027895846147133	3.77
805.0	-5091.323866977111			0.4102381436197966	3.73
800.0	-5075.246011456507			1.0075684203436681	3.65
795.0	-5050.314482325795			-2.089185747675215	3.65
790.0	-5025.382953195083			-8.689236174090608	3.65
785.0	-5000.451424064372			-0.9999970822677153	3.58
780.0	-4975.51989493366			-2.8720527118361017	3.54
775.0	-4936.331916069306			-10.106607389213147	3.52
770.0	-4897.143937204952			-1.908791945146596	3.52
765.0	-4857.955958340598			-6.523214543316383	3.54
760.0	-4818.767979476244			-9.554918136464787	3.55
755.0	-4690.885224373179			-5.204408795722939	3.54
750.0	-4563.002469270114			-5.548936490759761	3.58
745.0	-4435.119714167048			-4.890976704835347	3.53
740.0	-4307.236959063983			-11.487567039130198	4.1
735.0	-4255.249076833449			1.6510001602472313	4.46
730.0	-4203.261194602916			-9.324683881626477	3.94
725.0	-4151.273312372383			-13.104126318149644	3.68
720.0	-4099.285430141849			-6.365524812857637	4.62
715.0	-4074.883579470158			-14.55745820414303	5.85
710.0	-4050.4817287984674			-12.508569137287667	5.19
705.0	-4026.0798781267767			-14.580339092012816	3.91
700.0	-4001.6780274550856			-12.415819281991544	3.39
695.0	-3985.268936769434			-10.640759159240666	4.91
690.0	-3968.8598460837825			-15.803384588364315	5.78
685.0	-3952.450755398131			-7.003632372848573	5.02
680.0	-3936.0416647124794			-11.460162051191036	4.22
675.0	-3916.172654497439			-13.199000311433828	5.48
670.0	-3896.3036442823986			-7.940678589532472	5.42
665.0	-3876.4346340673583			-6.717574507979376	4.08
660.0	-3856.565623852318			-9.167699724430499	3.73
655.0	-3756.617590676902			-11.426326545136572	3.82
650.0	-3656.669557501487			-5.960496898044562	4.63
645.0	-3556.7215243260716			-15.152411821513322	5.01
640.0	-3456.773491150656			-11.807135576928754	3.75
635.0	-3418.50379402042			-8.727296678097751	3.63
630.0	-3380.2340968901844			-14.745528790788093	3.88
625.0	-3341.9643997599487			-8.60824409755073	4.69
620.0	-3303.694702629713			-7.787480387756424	4.34
615.0	-3257.705142488554			-1.5290888771116053	4.76
610.0	-3211.7155823473954			-10.504142259912484	5.47
605.0	-3165.726022206237			-9.117045469676022	4.95
600.0	-3119.736462065078			-4.686785770459271	4.81
