depth	true_age	age	sigma_age	ref	sigma_ref
0.0	1999.0				
420.0	-1206.431303032658	-1198.0	6.0		
850.0	-5288.000040946951	-5284.0	35.0		
980.0	-5953.10262396842			6.059508249626166	4.04
975.0	-5928.778411189302			5.023084441810296	4.53
970.0	-5904.454198410183			-2.313305642024672	4.82
965.0	-5880.129985631065			6.826282014769799	3.97
960.0	-5855.805772851947			4.149302268000504	4.86
955.0	-5808.339121169371			-0.8974605904649544	4.13
950.0	-5760.872469486795			2.711527892383758	4.13
945.0	-5713.40581780422			1.5110209494206404	3.72
940.0	-5665.939166121643			2.209083525355156	3.63
935.0	-5646.760576932339			1.5770632541012632	3.7
930.0	-5627.581987743035			4.2344917753186815	3.89
925.0	-5608.403398553731			-0.5683643474764111	4.03
920.0	-5589.224809364427			2.1812733257183794	4.12
915.0	-5576.401045963941			0.7844721899496108	4.22
910.0	-5563.577282563456			5.335124052213889	4.36
905.0	-5550.75351916297			2.8767915315971453	4.45
900.0	-5537.929755762485			1.2469593402769588	4.28
895.0	-5518.835172785994			-1.1991262913896346	4.09
890.0	-5499.740589809503			0.6456833194091669	3.97
885.0	-5480.6460068330125			1.1509542946721893	4.08
880.0	-5461.551423856521			-1.0428478321778312	6.64
875.0	-5429.437500488077			9.19910202680409	6.3
870.0	-5397.323577119632			7.384064222001892	6.05
865.0	-5365.209653751189			-14.700656453419576	5.84
860.0	-5333.0957303827445			-9.944907926676288	6.02
855.0	-5310.547885664848			-0.01889966917435748	5.27
850.0	-5288.000040946951			-2.030150321287383	5.73
845.0	-5265.452196229055			1.5554635127293328	5.14
840.0	-5242.904351511158			2.0009544064981446	4.14
835.0	-5222.789923972944			10.321492129360582	4.32
830.0	-5202.675496434731			-3.3387246475574752	3.86
825.0	-5182.561068896517			-1.1041741324651042	4.11
820.0	-5162.446641358303			7.544697692609359	3.68
815.0	-5109.0819942333455			1.1437191067559516	3.68
810.0	-5055.717347108388			1.9736611618095026	3.77
805.0	-5002.352699983431			-4.266675067736312	3.73
800.0	-4948.988052858474			-10.816754034803946	3.65
795.0	-4906.013393737161			-4.347128708227514	3.65
790.0	-4863.0387346158495			-3.5425562948294704	3.65
785.0	-4820.064075494537			-9.922382542326691	3.58
780.0	-4777.089416373225			-7.532769622312566	3.54
775.0	-4693.028486974108			-5.754967039209457	3.52
770.0	-4608.967557574992			-7.88946082832392	3.52
765.0	-4524.906628175874			-5.127541390593692	3.54
760.0	-4440.845698776758			-5.27599916373153	3.55
755.0	-4423.596245473469			-5.349372157452148	3.54
750.0	-4406.34679217018			-7.382467163830015	3.58
745.0	-4389.097338866892			-3.836901240193344	3.53
740.0	-4371.847885563603			-2.42975738356397	4.1
735.0	-4343.28178266885			-4.212006085718251	4.46
730.0	-4314.715679774095			-8.109680056595524	3.94
725.0	-4286.149576879341			-2.398976788720776	3.68
720.0	-4257.583473984588			-8.63212047815684	4.62
715.0	-4244.708066470431			-1.696997452429251	5.85
710.0	-4231.832658956275			-12.364903283156682	5.19
705.0	-4218.957251442118			-3.1246897271137604	3.91
700.0	-4206.081843927961			-6.953222780569682	3.39
695.0	-4176.8106289103			-13.450629504618384	4.91
690.0	-4147.539413892638			-9.286247739578814	5.78
685.0	-4118.2681988749755			-7.823751401067716	5.02
680.0	-4088.9969838573143			-9.181915331472895	4.22
675.0	-4017.8600694793486			-18.119373912288555	5.48
670.0	-3946.723155101383			-16.025396515603127	5.42
665.0	-3875.586240723417			-7.691041049856667	4.08
660.0	-3804.4493263454515			-10.405547788024101	3.73
655.0	-3756.504005795493			-7.233800464667156	3.82
650.0	-3708.5586852455344			-5.147396443715299	4.63
645.0	-3660.613364695576			-17.23027910506783	5.01
640.0	-3612.6680441456174			-6.006477943444333	3.75
635.0	-3597.982403124562			-2.167197167211973	3.63
630.0	-3583.296762103507			-7.543591204571463	3.88
625.0	-3568.6111210824515			-10.184109274301752	4.69
620.0	-3553.9254800613962			-3.056684878383112	4.34
615.0	-3510.5017073514127			-5.734041654955452	4.76
610.0	-3467.0779346414292			-3.1488313414124613	5.47
605.0	-3423.6541619314457			-10.272838858524338	4.95
600.0	-3380.2303892214622			-16.593261909877405	4.81
595.0	-3346.7761662741377			-9.222995821981728	4.04
590.0	-3313.3219433268127			-9.566988495304575	3.5
585.0	-3279.8677203794878			-3.4752072047123	4.0
580.0	-3246.4134974321632			-4.647670040664665	4.55
575.0	-3230.320279594346			-10.92395672684588	3.48
570.0	-3214.2270617565287			-9.522867957589561	3.44
565.0	-3198.133843918711			-2.8654196161720615	3.44
560.0	-3182.040626080894			-3.4544602754669467	4.03
555.0	-3088.402869785281			-7.8264684933351845	3.38
550.0	-2994.7651134896673			-4.6550260902314164	3.32
545.0	-2901.1273571940537			-3.6944770359256753	3.31
540.0	-2807.4896008984406			-1.9990859999447903	3.37
535.0	-2773.6315096371463			0.9232551129709812	3.72
530.0	-2739.7734183758516			-0.8281658623419065	3.34
525.0	-2705.915327114557			-1.8194318582115374	3.62
520.0	-2672.0572358532627			-1.4431522345398151	3.39
515.0	-2644.3455126928097			4.423768887777849	3.53
510.0	-2616.633789532357			-6.437149380559594	3.53
505.0	-2588.922066371904			1.2550804558729658	3.45
500.0	-2561.210343211451			1.010240699776225	3.44
495.0	-2426.995408756037			-8.807766906079447	3.42
490.0	-2292.7804743006227			-2.2013516784396114	3.43
485.0	-2158.5655398452086			-6.949545946890576	3.42
480.0	-2024.3506053897945			-3.0190688171484443	3.42
475.0	-1960.3059784048194			-7.430135481583012	3.38
470.0	-1896.2613514198442			-5.895596990816127	3.48
465.0	-1832.216724434869			-5.464303121986865	3.55
460.0	-1768.172097449894			-10.201129228333594	3.59
455.0	-1736.0522974476403			-15.297315930411614	3.59
450.0	-1703.9324974453864			-17.495248163183405	3.58
445.0	-1671.8126974431325			-5.723629874384191	3.6
440.0	-1639.6928974408788			-13.009416486867648	3.67
435.0	-1531.3774988388236			-15.773846482909605	3.68
430.0	-1423.0621002367684			-11.05708263094567	3.65
425.0	-1314.7467016347132			-11.1995018664688	3.68
420.0	-1206.431303032658			-5.437514330593435	3.7
415.0	-1177.2315025171874			-9.59022988094774	3.69
410.0	-1148.0317020017167			-10.774122764386235	3.69
405.0	-1118.831901486246			-14.054075377335254	3.57
400.0	-1089.6321009707754			-9.442716906847773	3.58
395.0	-1072.9438311078866			-13.682015745848373	3.42
390.0	-1056.255561244998			-7.143119461288942	3.47
385.0	-1039.5672913821095			-2.6215084722552504	3.81
380.0	-1022.8790215192207			-14.788733365993238	4.84
375.0	-1009.2560979329511			-20.542339615856104	5.58
370.0	-995.6331743466815			-3.0688552559360867	4.89
365.0	-982.0102507604119			5.813865386422722	4.51
360.0	-968.3873271741422			-10.679352184803706	4.98
355.0	-934.9615710280872			-10.141894455505799	4.27
350.0	-901.5358148820321			-1.3858964681942618	3.83
345.0	-868.1100587359771			-5.987768454818782	4.86
340.0	-834.684302589922			-1.7689454164388616	3.62
335.0	-801.1862770123943			1.3605031623590091	3.34
330.0	-767.6882514348665			8.265772598351447	5.02
325.0	-734.1902258573388			6.313209502864802	4.13
320.0	-700.692200279811			11.312707511119598	4.16
315.0	-682.5989487754296			10.107025969698777	4.44
310.0	-664.5056972710481			7.8596691265692815	3.98
305.0	-646.4124457666667			9.946718106830627	3.78
300.0	-628.3191942622852			6.91512530183542	3.79
295.0	-587.0650937632014			9.095312983622051	4.72
290.0	-545.8109932641175			3.406020029542961	4.53
285.0	-504.5568927650337			3.366714525619101	4.02
280.0	-463.30279226594985			13.202582511245755	3.93
275.0	-439.91314487732905			7.45799431437994	4.31
270.0	-416.52349748870824			7.3119021490159435	4.35
265.0	-393.13385010008744			8.240982153909851	3.59
260.0	-369.74420271146664			3.1391104224573807	3.59
255.0	-277.73070781128035			-0.6094668874980269	3.58
250.0	-185.71721291109407			-1.4786556973636722	3.61
245.0	-93.70371801090778			-3.551404800980243	3.57
240.0	-1.6902231107214902			-6.867070477712054	3.5
235.0	22.326827475940718			0.23738573574947708	3.55
230.0	46.343878062602926			-5.316327184475108	3.72
225.0	70.36092864926513			-7.536077147344379	3.97
220.0	94.37797923592734			-6.715195939747794	3.99
215.0	131.59618550383522			-3.5994061534487294	3.97
210.0	168.8143917717431			5.534150096247545	3.94
205.0	206.03259803965096			-4.726927482737193	3.84
200.0	243.25080430755884			0.5168289107784004	3.68
195.0	274.3719099707011			-7.386961563742691	3.64
190.0	305.49301563384336			0.36785035571199587	3.61
185.0	336.6141212969856			3.4180513838870654	3.68
180.0	367.7352269601279			-1.2711961524250306	3.69
175.0	390.46066145166236			-2.0260180049801315	3.7
170.0	413.18609594319685			1.6385871474770126	4.28
165.0	435.91153043473133			3.0413586661949688	4.06
160.0	458.6369649262658			2.650122607084526	4.02
155.0	563.8775051264412			9.161573452531883	3.79
150.0	669.1180453266165			2.758363375423789	4.09
145.0	774.3585855267919			-2.591192743936681	3.87
140.0	879.5991257269673			2.5910927007517834	3.77
135.0	940.6506028816993			2.02971977658074	3.87
130.0	1001.7020800364313			1.7919833982818998	3.96
125.0	1062.7535571911633			0.31391690619935475	3.89
120.0	1123.8050343458954			-0.6302681778513021	3.83
115.0	1168.566314167413			-8.652369136561175	3.93
110.0	1213.3275939889306			0.07524614754663661	4.02
105.0	1258.0888738104481			-7.328582098704837	4.05
100.0	1302.850153631966			-11.600636286630127	3.62
95.0	1354.1469604382237			-6.0134590394686604	3.62
90.0	1405.4437672444815			-2.861868909397667	4.42
85.0	1456.7405740507393			-5.974843097175826	4.52
80.0	1508.037380856997			-7.987250112167754	3.93
75.0	1546.2684772071043			-12.124360550592256	3.32
70.0	1584.4995735572115			2.0030280852124704	3.34
65.0	1622.7306699073188			-2.2589390249206778	5.68
60.0	1660.961766257426			-14.496563295865641	5.76
55.0	1686.0002723604428			-12.388784207690932	6.1
50.0	1711.0387784634595			-6.392884177610451	6.44
45.0	1736.077284566476			-16.70710249174133	6.55
40.0	1761.1157906694928			-4.8696432250518225	6.58
35.0	1793.284297540944			-7.782468537946964	6.75
30.0	1825.4528044123952			3.1899905619813564	6.59
25.0	1857.6213112838464			1.556546753948215	6.38
20.0	1889.7898181552976			-22.350030068573	6.43
15.0	1917.0923636164732			-5.340373450779054	6.54
