depth	true_age	age	sigma_age	ref	sigma_ref
0.0	1999.0				
420.0	-1201.230581592466	-1198.0	6.0		
850.0	-5281.239270661101	-5284.0	35.0		
980.0	-6207.306708064943			47.90683161954473	2.73
975.0	-6168.867218793816			47.0840746443872	3.03
970.0	-6130.427729522689			53.837175475641175	3.23
965.0	-6091.988240251563			46.03125487388652	2.61
960.0	-6053.548750980436			53.083542774750875	3.09
955.0	-6016.992277036197			52.12040934076324	2.61
950.0	-5980.4358030919575			49.91493115643849	2.55
945.0	-5943.879329147719			51.18611203955777	2.3
940.0	-5907.32285520348			54.4806888300638	2.3
935.0	-5831.808486288959			53.60287973534481	2.3
930.0	-5756.294117374438			50.76046795629285	2.3
925.0	-5680.779748459917			53.1791836090468	2.3
920.0	-5605.265379545396			50.82865037971889	2.31
915.0	-5579.987553213627			52.49822776331389	2.3
910.0	-5554.709726881858			54.085750579634926	2.3
905.0	-5529.431900550089			56.43162261119286	2.3
900.0	-5504.15407421832			59.51788214463993	2.3
895.0	-5493.168197608907			56.527157423189216	2.3
890.0	-5482.182320999495			56.41513522445526	2.3
885.0	-5471.1964443900815			58.40277525571155	2.3
880.0	-5460.2105677806685			57.73839983197729	3.55
875.0	-5440.9013679671525			50.86217359539964	3.55
870.0	-5421.5921681536365			54.744208820769785	3.55
865.0	-5402.2829683401205			52.5563320715325	3.55
860.0	-5382.9737685266045			59.62024617356792	3.55
855.0	-5332.106519593853			61.518561655500655	3.09
850.0	-5281.239270661101			59.98655391463758	3.36
845.0	-5230.372021728348			55.4494608719279	3.03
840.0	-5179.504772795596			60.88438808671896	2.49
835.0	-5155.379193906583			56.3982552323486	2.61
830.0	-5131.253615017569			59.32017782538146	2.37
825.0	-5107.128036128556			55.32173176356369	2.55
820.0	-5083.002457239543			54.67871649915193	2.3
815.0	-5053.8795202960355			54.16617792610283	2.3
810.0	-5024.756583352528			57.60412823487571	2.3
805.0	-4995.633646409019			56.718736815655305	2.3
800.0	-4966.510709465511			59.79505647056611	2.3
795.0	-4954.383267534132			56.10576727100635	2.3
790.0	-4942.255825602752			60.362493706895194	2.3
785.0	-4930.128383671373			57.93212672389819	2.3
780.0	-4918.000941739993			62.30194626708771	2.3
775.0	-4895.912897379035			61.778483421455405	2.3
770.0	-4873.824853018075			58.79678122083417	2.3
765.0	-4851.736808657117			59.792256783360614	2.3
760.0	-4829.648764296158			60.475574543134535	2.3
755.0	-4529.0266991776625			62.986800960569546	2.3
750.0	-4228.404634059168			61.83268279489991	2.3
745.0	-3927.7825689406723			65.41385796362754	2.3
740.0	-3627.160503822177			57.61654669266305	2.67
735.0	-3608.4532103740594			53.041296164083974	2.91
730.0	-3589.7459169259423			59.077746052516545	2.61
725.0	-3571.0386234778252			57.7623144338392	2.42
720.0	-3552.3313300297077			59.84441449551731	2.97
715.0	-3532.319116348761			59.14550070154919	3.68
710.0	-3512.306902667814			57.21367613555371	3.36
705.0	-3492.294688986867			56.75537499794228	2.61
700.0	-3472.2824753059203			56.72811636039446	2.3
695.0	-3374.195247433333			51.149042841929216	3.23
690.0	-3276.108019560745			47.05782224296351	3.74
685.0	-3178.0207916881573			49.903806878870405	3.17
680.0	-3079.93356381557			53.13238787282898	2.61
675.0	-3005.2583809443518			45.31315852016942	3.29
670.0	-2930.5831980731336			50.677643873527444	3.29
665.0	-2855.9080152019155			49.84329545579068	2.55
660.0	-2781.2328323306974			51.82518943635232	2.3
655.0	-2736.265717188492			50.3423447224348	2.3
650.0	-2691.2986020462863			52.85405153525457	2.73
645.0	-2646.3314869040805			51.66406461142693	2.97
640.0	-2601.364371761875			56.80269952411157	2.31
635.0	-2570.8640275562857			54.27415891268716	2.3
630.0	-2540.3636833506966			55.23683748416249	2.42
625.0	-2509.8633391451076			56.55497313310497	2.85
620.0	-2479.362994939518			52.111209459426405	2.61
615.0	-2387.064540572736			55.828179571017515	2.91
610.0	-2294.766086205954			66.37867745755543	3.42
605.0	-2202.4676318391716			63.18403940602127	3.09
600.0	-2110.1691774723895			62.65416075705134	3.09
595.0	-2069.4715652755335			65.45366935650011	2.67
590.0	-2028.7739530786776			60.942178250909436	2.3
585.0	-1988.0763408818216			60.535586097776175	2.55
580.0	-1947.3787286849656			60.54164132454995	2.91
575.0	-1936.7577217277499			57.36364281305669	2.3
570.0	-1926.1367147705341			63.544123640692135	2.3
565.0	-1915.5157078133184			60.8406263232912	2.3
560.0	-1904.8947008561026			60.88621698392861	2.73
555.0	-1892.1383974205417			60.33579972458277	2.31
550.0	-1879.3820939849807			59.516604679808836	2.3
545.0	-1866.6257905494197			55.46896254894037	2.3
540.0	-1853.8694871138587			60.64842809284524	2.3
535.0	-1825.897994594172			65.22496078600463	2.55
530.0	-1797.9265020744851			61.279133093147664	2.3
525.0	-1769.9550095547984			56.942976052081	2.49
520.0	-1741.9835170351116			54.58099517503469	2.3
515.0	-1729.810612246416			56.41215571418523	2.3
510.0	-1717.6377074577204			56.96863539424041	2.3
