depth	true_age	age	sigma_age	ref	sigma_ref
0.0	1983.0				
2.5	1970.467293953503	1970.0	0.5		
27.75	1837.2441270317624	1836.0	1.0		
35.25	1786.5945399267578	1787.0	1.0		
54.0	1658.031898904856	1660.0	1.5		
72.5	1559.0778988591383	1559.0	2.0		
78.75	1511.32521537868	1512.0	1.5		
96.75	1276.6765077346258	1278.0	2.5		
98.0	1267.8194619676296	1271.0	4.0		
98.99	1264.8419904185675			-8.474692752781529	0.1
98.75	1265.5638017031888			-8.388411649113271	0.1
98.51	1266.2856129878098			-8.531257492860112	0.1
98.27	1267.0074242724309			-8.520337965732564	0.1
98.03	1267.729235557052			-8.707141595227794	0.1
97.79	1269.307445656485			-8.778105102348503	0.1
97.55	1271.0079984437484			-8.870793417891399	0.1
97.31	1272.7085512310116			-8.759041333183145	0.1
97.07	1274.409104018275			-8.820416292335981	0.1
96.83	1276.1096568055382			-8.53285784910372	0.1
96.59	1277.8102095928014			-8.573820824164148	0.1
96.35	1279.5107623800648			-8.609125525601305	0.1
96.11	1281.211315167328			-8.48050078345739	0.1
95.87	1284.6566820754008			-8.45587919070903	0.1
95.63	1289.5784301626204			-8.741955698269111	0.1
95.38	1294.7052510868075			-8.755733466730508	0.1
95.14	1299.6269991740269			-9.143606761534382	0.1
94.9	1304.5487472612463			-8.893255014865591	0.1
94.66	1309.4704953484659			-8.720725042448612	0.1
94.41	1314.5973162726527			-8.694882808498319	0.1
94.17	1319.5190643598723			-8.497904582522816	0.1
93.92	1324.7194154044696			-8.70969491801488	0.1
93.68	1329.8617538529204			-9.063310364164188	0.1
93.43	1335.2183564033899			-9.029813985297185	0.1
93.19	1340.360694851841			-8.66897170129735	0.1
92.94	1345.7172974023104			-8.620859157681632	0.1
92.7	1350.8596358507612			-8.52004658673355	0.1
92.45	1356.2162384012306			-8.474241175235319	0.1
92.21	1361.3585768496816			-8.221831073931975	0.1
91.96	1365.8955795062816			-8.466049992749426	0.1
91.72	1366.1203185915156			-8.256077332804852	0.1
91.47	1366.3544218053007			-8.400044791588325	0.1
91.23	1366.5791608905347			-8.339636815037878	0.1
90.98	1366.8132641043198			-8.231716299848712	0.1
90.74	1367.0380031895538			-8.210309896483876	0.1
90.49	1367.272106403339			-8.314969279704622	0.1
90.25	1367.496845488573			-8.336447111678737	0.1
90.0	1367.730948702358			-8.16894546711958	0.1
89.76	1375.6264682293117			-8.793320854251213	0.1
89.51	1383.8509677365555			-8.904020959714002	0.1
89.27	1391.7464872635096			-8.5840510838043	0.1
89.03	1399.6420067904635			-8.875584194076815	0.1
88.79	1407.5375263174171			-8.571326941255249	0.1
88.54	1415.762025824661			-8.686949226269597	0.1
88.3	1423.657545351615			-8.681165731025946	0.1
88.06	1431.5530648785686			-8.96590691704414	0.1
87.82	1434.7022339991067			-8.884480379205877	0.1
87.57	1436.334580164106			-8.707241818693364	0.1
87.33	1437.9016324825054			-8.83191385546868	0.1
87.09	1439.4686848009046			-9.178287033920373	0.1
86.84	1441.1010309659039			-8.928478465251791	0.1
86.6	1442.6680832843033			-8.817134274176308	0.1
86.36	1444.2351356027025			-8.953698400781246	0.1
86.12	1445.8021879211017			-9.032548239141432	0.1
85.87	1447.8990171074145			-8.95496888186795	0.1
85.63	1450.3235765420848			-8.645328217866206	0.1
85.39	1452.7481359767548			-8.866662990282872	0.1
85.15	1455.1726954114251			-8.844069804983866	0.1
84.9	1457.6982781558734			-8.924569952918924	0.1
84.64	1460.3248842100995			-9.032261704139538	0.1
84.38	1462.9514902643257			-8.77173818222758	0.1
84.12	1465.5780963185516			-9.027950910048043	0.1
83.87	1467.4388001002442			-8.869692009312628	0.1
83.61	1468.735648228959			-8.89138842569702	0.1
83.35	1470.0324963576738			-8.774742152615568	0.1
83.09	1471.3293444863887			-8.966148908625598	0.1
82.84	1472.5763138409222			-8.723424501277622	0.1
82.58	1473.873161969637			-8.897371345721558	0.1
82.32	1475.170010098352			-8.791640862364146	0.1
82.06	1476.4668582270667			-8.54839967068052	0.1
81.8	1478.4636733811442			-8.523447277234181	0.1
81.55	1480.5856015173808			-8.702008414044107	0.1
81.29	1482.792406779067			-8.777349621465133	0.1
81.03	1484.9992120407535			-8.69982242630537	0.1
80.77	1487.2060173024397			-8.722279526393388	0.1
80.52	1489.3279454386766			-8.682327794108957	0.1
80.26	1491.5347507003628			-8.670415100833962	0.1
80.0	1493.741555962049			-8.609492720425058	0.1
79.78	1496.836280019376			-8.52468771256867	0.1
79.56	1499.9310040767032			-8.711902679434438	0.1
79.34	1503.02572813403			-8.948623139507133	0.1
79.12	1506.1204521913571			-9.049943407407	0.1
78.89	1509.3558455240172			-8.840069548077594	0.1
78.45	1515.5452936386714			-8.302019797718243	0.1
78.01	1521.7347417533256			-8.498785370736833	0.1
77.57	1525.7247561220063			-8.576107488083414	0.1
77.12	1529.753140522021			-8.350315814881492	0.1
76.68	1533.6920052687026			-8.5111357356597	0.1
76.24	1537.6308700153838			-8.472585800184783	0.1
75.8	1541.2087216205125			-8.866968988386798	0.1
75.35	1544.424826452034			-8.504070024689264	0.1
74.92	1547.4979932910435			-8.423892120278339	0.1
74.5	1550.4996911337967			-8.3901838447613	0.1
74.09	1553.429919980294			-8.548583495842992	0.1
73.68	1555.1408226346068			-8.67591401330479	0.1
73.26	1556.542154850118			-8.78269781603282	0.1
72.85	1557.910122012879			-8.77862382988519	0.1
72.44	1559.2780891756397			-8.805820731877764	0.1
72.02	1560.679421391151			-8.855503313583332	0.1
71.61	1563.353586493498			-9.194488133531602	0.1
71.2	1566.0947361055676			-9.072728583300028	0.1
70.79	1568.835885717637			-8.807094846346619	0.1
70.37	1571.6438926373178			-8.67493703634671	0.1
69.95	1574.5651051712819			-8.981816758971302	0.1
69.47	1578.8610298337499			-9.192899293722675	0.1
68.98	1583.2464529266858			-9.180755181636403	0.1
68.5	1587.5423775891536			-8.719006226904204	0.1
68.01	1591.9278006820896			-8.714697952926473	0.1
67.52	1593.447192549978			-8.641396473550394	0.1
67.04	1594.8770859873978			-8.602224131832939	0.1
66.55	1596.3367688714309			-8.447516614896374	0.1
66.07	1597.7666623088508			-8.430238004213013	0.1
65.58	1599.5019933352314			-8.377696206258818	0.1
65.1	1601.246913221049			-8.563916642921278	0.1
64.61	1603.0281856044876			-8.686239161511413	0.1
64.12	1604.8094579879262			-8.70447747806441	0.1
63.63	1606.5499695964418			-8.729693011418533	0.1
63.14	1608.2772614941716			-8.714016888530699	0.1
62.65	1610.0045533919015			-8.701265491552402	0.1
