depth	true_age	age	sigma_age	ref	sigma_ref
0.00	1983.00	NaN	NaN	NaN	NaN
2.50	NaN	1970.00	0.50	NaN	NaN
27.75	NaN	1836.00	1.00	NaN	NaN
35.25	NaN	1787.00	1.00	NaN	NaN
54.00	NaN	1660.00	1.50	NaN	NaN
72.50	NaN	1559.00	2.00	NaN	NaN
78.75	NaN	1512.00	1.50	NaN	NaN
96.75	NaN	1278.00	2.50	NaN	NaN
98.00	NaN	1271.00	4.00	NaN	NaN
0.10	NaN	NaN	NaN	-7.43	0.10
0.16	NaN	NaN	NaN	-7.37	0.10
0.26	NaN	NaN	NaN	-7.05	0.10
0.36	NaN	NaN	NaN	-7.00	0.10
0.52	NaN	NaN	NaN	-7.14	0.10
0.68	NaN	NaN	NaN	-6.95	0.10
0.78	NaN	NaN	NaN	-7.11	0.10
0.89	NaN	NaN	NaN	-6.82	0.10
1.04	NaN	NaN	NaN	-6.91	0.10
1.20	NaN	NaN	NaN	-6.86	0.10
1.30	NaN	NaN	NaN	-6.95	0.10
1.41	NaN	NaN	NaN	-7.06	0.10
1.56	NaN	NaN	NaN	-7.19	0.10
1.72	NaN	NaN	NaN	-7.21	0.10
1.82	NaN	NaN	NaN	-7.00	0.10
1.93	NaN	NaN	NaN	-7.18	0.10
2.08	NaN	NaN	NaN	-7.15	0.10
2.24	NaN	NaN	NaN	-6.99	0.10
2.34	NaN	NaN	NaN	-7.26	0.10
2.45	NaN	NaN	NaN	-7.10	0.10
2.60	NaN	NaN	NaN	-7.36	0.10
2.71	NaN	NaN	NaN	-7.09	0.10
2.76	NaN	NaN	NaN	-7.04	0.10
2.81	NaN	NaN	NaN	-7.34	0.10
2.86	NaN	NaN	NaN	-7.14	0.10
2.97	NaN	NaN	NaN	-7.25	0.10
3.13	NaN	NaN	NaN	-7.20	0.10
3.28	NaN	NaN	NaN	-7.24	0.10
3.39	NaN	NaN	NaN	-7.10	0.10
3.49	NaN	NaN	NaN	-7.25	0.10
3.65	NaN	NaN	NaN	-7.18	0.10
3.80	NaN	NaN	NaN	-7.09	0.10
3.91	NaN	NaN	NaN	-7.21	0.10
4.01	NaN	NaN	NaN	-7.21	0.10
4.17	NaN	NaN	NaN	-7.42	0.10
4.32	NaN	NaN	NaN	-7.29	0.10
4.43	NaN	NaN	NaN	-7.28	0.10
4.53	NaN	NaN	NaN	-7.18	0.10
4.69	NaN	NaN	NaN	-7.30	0.10
4.84	NaN	NaN	NaN	-7.23	0.10
4.95	NaN	NaN	NaN	-7.23	0.10
5.04	NaN	NaN	NaN	-7.37	0.10
5.16	NaN	NaN	NaN	-7.26	0.10
5.28	NaN	NaN	NaN	-7.48	0.10
5.36	NaN	NaN	NaN	-7.07	0.10
5.44	NaN	NaN	NaN	-7.31	0.10
5.56	NaN	NaN	NaN	-7.19	0.10
5.69	NaN	NaN	NaN	-7.13	0.10
5.77	NaN	NaN	NaN	-7.13	0.10
5.85	NaN	NaN	NaN	-7.18	0.10
5.97	NaN	NaN	NaN	-7.30	0.10
6.09	NaN	NaN	NaN	-7.15	0.10
