	Year	ref
0	1001	-7.314
1	1002	-7.724
2	1003	-8.013
3	1004	-8.17
4	1005	-8.251
5	1006	-8.26
6	1007	-8.223
7	1008	-8.236
8	1009	-8.301
9	1010	-8.359
10	1011	-8.435
11	1012	-8.527
12	1013	-8.57
13	1014	-8.584
14	1015	-8.598
15	1016	-8.556
16	1017	-8.467
17	1018	-8.417
18	1019	-8.443
19	1020	-8.527
20	1021	-8.604
21	1022	-8.649
22	1023	-8.72
23	1024	-8.817
24	1025	-8.849
25	1026	-8.832
26	1027	-8.858
27	1028	-8.89
28	1029	-8.867
29	1030	-8.819
30	1031	-8.815
31	1032	-8.851
32	1033	-8.865
33	1034	-8.895
34	1035	-8.977
35	1036	-9.04
36	1037	-9.052
37	1038	-9.028
38	1039	-8.973
39	1040	-8.917
40	1041	-8.861
41	1042	-8.807
42	1043	-8.77
43	1044	-8.759
44	1045	-8.791
45	1046	-8.833
46	1047	-8.883
47	1048	-8.973
48	1049	-9.061
49	1050	-9.125
50	1051	-9.163
51	1052	-9.131
52	1053	-9.005
53	1054	-8.829
54	1055	-8.7
55	1056	-8.668
56	1057	-8.658
57	1058	-8.633
58	1059	-8.656
59	1060	-8.738
60	1061	-8.828
61	1062	-8.913
62	1063	-9.003
63	1064	-9.086
64	1065	-9.142
65	1066	-9.155
66	1067	-9.123
67	1068	-9.067
68	1069	-9.024
69	1070	-9.006
70	1071	-8.958
71	1072	-8.868
72	1073	-8.792
73	1074	-8.716
74	1075	-8.614
75	1076	-8.542
76	1077	-8.528
77	1078	-8.522
78	1079	-8.507
79	1080	-8.524
80	1081	-8.564
81	1082	-8.543
82	1083	-8.478
83	1084	-8.468
84	1085	-8.485
85	1086	-8.475
86	1087	-8.465
87	1088	-8.465
88	1089	-8.452
89	1090	-8.448
90	1091	-8.484
91	1092	-8.529
92	1093	-8.533
93	1094	-8.482
94	1095	-8.412
95	1096	-8.393
96	1097	-8.443
97	1098	-8.495
98	1099	-8.509
99	1100	-8.481
100	1101	-8.419
101	1102	-8.397
102	1103	-8.437
103	1104	-8.505
104	1105	-8.61
105	1106	-8.738
106	1107	-8.803
107	1108	-8.791
108	1109	-8.793
109	1110	-8.815
110	1111	-8.805
111	1112	-8.782
112	1113	-8.749
113	1114	-8.736
114	1115	-8.775
115	1116	-8.808
116	1117	-8.794
117	1118	-8.755
118	1119	-8.728
119	1120	-8.718
120	1121	-8.676
121	1122	-8.63
122	1123	-8.64
123	1124	-8.672
124	1125	-8.687
125	1126	-8.698
126	1127	-8.716
127	1128	-8.727
128	1129	-8.73
129	1130	-8.708
130	1131	-8.602
131	1132	-8.453
132	1133	-8.4
133	1134	-8.44
134	1135	-8.444
135	1136	-8.415
136	1137	-8.424
137	1138	-8.444
138	1139	-8.462
139	1140	-8.516
140	1141	-8.609
141	1142	-8.693
142	1143	-8.719
143	1144	-8.714
144	1145	-8.709
145	1146	-8.676
146	1147	-8.662
147	1148	-8.72
148	1149	-8.78
149	1150	-8.776
150	1151	-8.742
151	1152	-8.707
152	1153	-8.673
153	1154	-8.639
154	1155	-8.607
155	1156	-8.622
156	1157	-8.713
157	1158	-8.834
158	1159	-8.915
159	1160	-8.921
160	1161	-8.851
161	1162	-8.747
162	1163	-8.647
163	1164	-8.565
164	1165	-8.527
165	1166	-8.509
166	1167	-8.503
167	1168	-8.567
168	1169	-8.68
169	1170	-8.742
170	1171	-8.747
171	1172	-8.738
172	1173	-8.713
173	1174	-8.693
174	1175	-8.693
175	1176	-8.703
176	1177	-8.729
177	1178	-8.763
178	1179	-8.772
179	1180	-8.771
180	1181	-8.758
181	1182	-8.732
182	1183	-8.724
183	1184	-8.705
184	1185	-8.678
185	1186	-8.693
186	1187	-8.719
187	1188	-8.72
188	1189	-8.774
189	1190	-8.917
190	1191	-9.039
191	1192	-9.072
192	1193	-9.049
193	1194	-9.001
194	1195	-8.944
195	1196	-8.899
196	1197	-8.858
197	1198	-8.798
198	1199	-8.731
199	1200	-8.69
200	1201	-8.691
201	1202	-8.73
202	1203	-8.795
203	1204	-8.842
204	1205	-8.813
205	1206	-8.725
206	1207	-8.644
207	1208	-8.579
208	1209	-8.514
209	1210	-8.475
210	1211	-8.48
211	1212	-8.489
212	1213	-8.463
213	1214	-8.439
214	1215	-8.441
215	1216	-8.425
216	1217	-8.372
217	1218	-8.302
218	1219	-8.233
219	1220	-8.169
220	1221	-8.14
221	1222	-8.158
222	1223	-8.175
223	1224	-8.218
224	1225	-8.331
225	1226	-8.426
226	1227	-8.476
227	1228	-8.538
228	1229	-8.624
229	1230	-8.725
230	1231	-8.787
231	1232	-8.8
232	1233	-8.811
233	1234	-8.822
234	1235	-8.819
235	1236	-8.787
236	1237	-8.72
237	1238	-8.672
238	1239	-8.67
239	1240	-8.676
240	1241	-8.674
241	1242	-8.675
242	1243	-8.684
243	1244	-8.723
244	1245	-8.783
245	1246	-8.816
246	1247	-8.834
247	1248	-8.881
248	1249	-8.913
249	1250	-8.882
250	1251	-8.851
251	1252	-8.864
252	1253	-8.86
253	1254	-8.851
254	1255	-8.876
255	1256	-8.889
256	1257	-8.894
257	1258	-8.912
258	1259	-8.875
259	1260	-8.751
260	1261	-8.627
261	1262	-8.563
262	1263	-8.531
263	1264	-8.53
264	1265	-8.557
265	1266	-8.573
266	1267	-8.607
267	1268	-8.684
268	1269	-8.747
269	1270	-8.778
270	1271	-8.812
271	1272	-8.842
272	1273	-8.834
273	1274	-8.78
274	1275	-8.726
275	1276	-8.693
276	1277	-8.628
277	1278	-8.551
278	1279	-8.517
279	1280	-8.472
280	1281	-8.412
281	1282	-8.437
282	1283	-8.54
283	1284	-8.603
284	1285	-8.56
285	1286	-8.479
286	1287	-8.491
287	1288	-8.595
288	1289	-8.676
289	1290	-8.713
290	1291	-8.748
291	1292	-8.757
292	1293	-8.736
293	1294	-8.754
294	1295	-8.845
295	1296	-8.951
296	1297	-8.993
297	1298	-8.986
298	1299	-8.988
299	1300	-8.992
300	1301	-8.961
301	1302	-8.925
302	1303	-8.932
303	1304	-8.953
304	1305	-8.933
305	1306	-8.91
306	1307	-8.921
307	1308	-8.898
308	1309	-8.824
309	1310	-8.777
310	1311	-8.775
311	1312	-8.789
312	1313	-8.788
313	1314	-8.76
314	1315	-8.743
315	1316	-8.742
316	1317	-8.715
317	1318	-8.666
318	1319	-8.61
319	1320	-8.554
320	1321	-8.515
321	1322	-8.502
322	1323	-8.54
323	1324	-8.609
324	1325	-8.62
325	1326	-8.58
326	1327	-8.61
327	1328	-8.747
328	1329	-8.875
329	1330	-8.909
330	1331	-8.896
331	1332	-8.89
332	1333	-8.89
333	1334	-8.887
334	1335	-8.899
335	1336	-8.927
336	1337	-8.91
337	1338	-8.849
338	1339	-8.8
339	1340	-8.771
340	1341	-8.736
341	1342	-8.689
342	1343	-8.664
343	1344	-8.66
344	1345	-8.649
345	1346	-8.674
346	1347	-8.714
347	1348	-8.699
348	1349	-8.672
349	1350	-8.663
350	1351	-8.597
351	1352	-8.504
352	1353	-8.474
353	1354	-8.477
354	1355	-8.469
355	1356	-8.439
356	1357	-8.375
357	1358	-8.307
358	1359	-8.3
359	1360	-8.336
360	1361	-8.323
361	1362	-8.283
362	1363	-8.304
363	1364	-8.345
364	1365	-8.331
365	1366	-8.304
366	1367	-8.305
367	1368	-8.312
368	1369	-8.364
369	1370	-8.48
370	1371	-8.604
371	1372	-8.716
372	1373	-8.804
373	1374	-8.846
374	1375	-8.876
375	1376	-8.923
376	1377	-8.969
377	1378	-9.007
378	1379	-9.042
379	1380	-9.045
380	1381	-9.012
381	1382	-8.961
382	1383	-8.898
383	1384	-8.837
384	1385	-8.811
385	1386	-8.819
386	1387	-8.822
387	1388	-8.803
388	1389	-8.762
389	1390	-8.7
390	1391	-8.642
391	1392	-8.616
392	1393	-8.601
393	1394	-8.585
394	1395	-8.601
395	1396	-8.625
396	1397	-8.645
397	1398	-8.72
398	1399	-8.817
399	1400	-8.891
400	1401	-8.946
401	1402	-8.953
402	1403	-8.885
403	1404	-8.787
404	1405	-8.75
405	1406	-8.761
406	1407	-8.728
407	1408	-8.634
408	1409	-8.535
409	1410	-8.498
410	1411	-8.539
411	1412	-8.598
412	1413	-8.657
413	1414	-8.717
414	1415	-8.738
415	1416	-8.744
416	1417	-8.788
417	1418	-8.858
418	1419	-8.91
419	1420	-8.911
420	1421	-8.867
421	1422	-8.809
422	1423	-8.761
423	1424	-8.721
424	1425	-8.698
425	1426	-8.718
426	1427	-8.789
427	1428	-8.893
