	Year	ref
0	1001	-7.287
1	1002	-9.256
2	1003	-9.779
3	1004	-8.368
4	1005	-9.125
5	1006	-9.199
6	1007	-7.265
7	1008	-7.251
8	1009	-9.156
9	1010	-7.922
10	1011	-7.754
11	1012	-9.667
12	1013	-8.911
13	1014	-7.942
14	1015	-9.525
15	1016	-9.575
16	1017	-7.353
17	1018	-8.078
18	1019	-7.245
19	1020	-8.925
20	1021	-9.247
21	1022	-8.286
22	1023	-7.76
23	1024	-10.059
24	1025	-9.931
25	1026	-7.365
26	1027	-9.007
27	1028	-9.823
28	1029	-9.036
29	1030	-8.512
30	1031	-7.541
31	1032	-10.104
32	1033	-8.53
33	1034	-7.663
34	1035	-9.684
35	1036	-9.647
36	1037	-9.116
37	1038	-9.785
38	1039	-8.574
39	1040	-9.035
40	1041	-9.04
41	1042	-8.229
42	1043	-9.05
43	1044	-7.761
44	1045	-8.801
45	1046	-9.385
46	1047	-7.471
47	1048	-9.65
48	1049	-9.189
49	1050	-9.185
50	1051	-9.909
51	1052	-10.37
52	1053	-9.552
53	1054	-8.488
54	1055	-6.918
55	1056	-8.749
56	1057	-9.398
57	1058	-7.679
58	1059	-7.868
59	1060	-8.936
60	1061	-8.929
61	1062	-8.678
62	1063	-9.183
63	1064	-9.235
64	1065	-9.717
65	1066	-9.628
66	1067	-9.361
67	1068	-9.081
68	1069	-8.233
69	1070	-9.563
70	1071	-9.87
71	1072	-8.129
72	1073	-8.792
73	1074	-9.503
74	1075	-8.054
75	1076	-7.648
76	1077	-8.605
77	1078	-8.917
78	1079	-8.034
79	1080	-7.792
80	1081	-9.576
81	1082	-9.677
82	1083	-6.931
83	1084	-8.267
84	1085	-9.344
85	1086	-8.078
86	1087	-8.365
87	1088	-8.65
88	1089	-8.708
89	1090	-7.395
90	1091	-8.732
91	1092	-8.735
92	1093	-9.537
93	1094	-8.445
94	1095	-8.195
95	1096	-6.868
96	1097	-8.976
97	1098	-8.85
98	1099	-8.773
99	1100	-9.302
100	1101	-7.849
101	1102	-7.16
102	1103	-8.947
103	1104	-7.671
104	1105	-8.243
105	1106	-9.409
106	1107	-10.349
107	1108	-8.08
108	1109	-8.141
109	1110	-10.007
110	1111	-8.329
111	1112	-9.118
112	1113	-8.892
113	1114	-7.345
114	1115	-9.353
115	1116	-9.285
116	1117	-9.095
117	1118	-8.728
118	1119	-7.958
119	1120	-9.639
120	1121	-8.866
121	1122	-7.458
122	1123	-8.618
123	1124	-8.989
124	1125	-8.731
125	1126	-8.464
126	1127	-8.886
127	1128	-8.882
128	1129	-8.558
129	1130	-9.922
130	1131	-9.689
131	1132	-6.758
132	1133	-6.865
133	1134	-9.545
134	1135	-9.165
135	1136	-7.213
136	1137	-8.593
137	1138	-8.826
138	1139	-7.654
139	1140	-8.306
140	1141	-8.288
141	1142	-9.876
142	1143	-9.02
143	1144	-8.149
144	1145	-9.536
145	1146	-8.697
146	1147	-7.032
147	1148	-9.072
148	1149	-9.667
149	1150	-9.17
150	1151	-8.299
151	1152	-9.192
152	1153	-8.128
153	1154	-9.256
154	1155	-7.832
155	1156	-7.693
156	1157	-8.276
157	1158	-9.499
158	1159	-9.585
159	1160	-9.892
160	1161	-9.279
161	1162	-8.284
162	1163	-8.991
163	1164	-7.596
164	1165	-8.401
165	1166	-8.9
166	1167	-7.385
167	1168	-7.61
168	1169	-9.78
169	1170	-9.526
170	1171	-8.333
171	1172	-9.388
172	1173	-8.41
173	1174	-8.494
174	1175	-8.568
175	1176	-8.76
176	1177	-8.097
177	1178	-9.649
178	1179	-8.61
179	1180	-8.632
180	1181	-9.662
181	1182	-7.583
182	1183	-9.415
183	1184	-8.912
184	1185	-7.867
185	1186	-8.439
186	1187	-9.619
187	1188	-8.181
188	1189	-6.824
189	1190	-9.807
190	1191	-10.042
191	1192	-9.72
192	1193	-8.981
193	1194	-9.497
194	1195	-8.365
195	1196	-9.083
196	1197	-8.904
197	1198	-9.278
198	1199	-8.039
199	1200	-8.521
200	1201	-8.081
201	1202	-8.596
202	1203	-8.628
203	1204	-10.009
204	1205	-9.676
205	1206	-8.212
206	1207	-8.504
207	1208	-8.759
208	1209	-8.272
209	1210	-7.778
210	1211	-8.336
211	1212	-9.293
212	1213	-8.426
213	1214	-7.638
214	1215	-9.013
215	1216	-8.824
216	1217	-8.463
217	1218	-8.397
218	1219	-7.943
219	1220	-8.404
220	1221	-6.623
221	1222	-9.015
222	1223	-8.091
223	1224	-6.457
224	1225	-9.12
225	1226	-9.365
226	1227	-7.58
227	1228	-8.934
228	1229	-7.758
229	1230	-9.476
230	1231	-9.69
231	1232	-8.201
232	1233	-9.159
233	1234	-8.781
234	1235	-9.077
235	1236	-9.472
236	1237	-8.454
237	1238	-7.801
238	1239	-8.848
239	1240	-8.856
240	1241	-8.453
241	1242	-8.854
242	1243	-8.201
243	1244	-8.311
244	1245	-9.253
245	1246	-9.355
246	1247	-7.873
247	1248	-9.127
248	1249	-9.99
249	1250	-8.973
250	1251	-7.558
251	1252	-9.674
252	1253	-9.154
253	1254	-7.673
254	1255	-9.594
255	1256	-9.072
256	1257	-8.138
257	1258	-9.749
258	1259	-10.151
259	1260	-8.819
260	1261	-7.207
261	1262	-8.949
262	1263	-7.903
263	1264	-8.145
264	1265	-8.847
265	1266	-8.788
266	1267	-7.203
267	1268	-9.551
268	1269	-9.003
269	1270	-8.657
270	1271	-8.662
271	1272	-9.447
272	1273	-9.27
273	1274	-9.125
274	1275	-7.648
275	1276	-9.625
276	1277	-9.126
277	1278	-7.121
278	1279	-9.119
279	1280	-9.164
280	1281	-7.034
281	1282	-7.099
282	1283	-9.502
