depth	true_age	age	sigma_age	ref	sigma_ref
0.0	1983.0				
2.5	1958.7876282170025	1970.0	20.0		
2.5	1958.7876282170025	1969.0	20.0		
27.75	1817.71729022275	1836.0	20.0		
35.25	1772.4164610840987	1787.0	20.0		
54.0	1670.9341641682017	1660.0	20.0		
72.5	1577.8737316238382	1559.0	20.0		
78.75	1491.8071381888872	1512.0	20.0		
96.75	1291.6513620343455	1278.0	20.0		
98.0	1275.2008982768994	1271.0	20.0		
98.99	1270.7956397447747			-9.00851429950553	0.1
98.75	1271.863581207108			-8.777577261520763	0.1
98.51	1272.9315226694412			-8.76011836565648	0.1
98.27	1273.9994641317744			-8.810997616870806	0.1
98.03	1275.0674055941076			-8.684546068170691	0.1
97.79	1277.9645761881502			-8.382688204364669	0.1
97.55	1281.12306522958			-8.30899684673292	0.1
97.31	1284.2815542710096			-8.52012926426598	0.1
97.07	1287.4400433124395			-8.467989565643146	0.1
96.83	1290.598532353869			-8.820305377760647	0.1
96.59	1293.7570213952986			-8.653224711948017	0.1
96.35	1296.9155104367283			-9.154297719910076	0.1
96.11	1300.073999478158			-9.02291519745397	0.1
95.87	1302.1047283310127			-8.969462482410501	0.1
95.63	1303.1811985627658			-9.108657040402683	0.1
95.38	1304.302521720842			-8.957983454283308	0.1
95.14	1305.3789919525948			-8.759937677426876	0.1
94.9	1306.4554621843479			-8.949022817790338	0.1
94.66	1307.531932416101			-9.02952588845561	0.1
94.41	1308.6532555741771			-8.858764459361543	0.1
94.17	1309.72972580593			-8.704310455471187	0.1
93.92	1310.7290831124756			-8.756328891229114	0.1
93.68	1311.4396557896366			-8.78142175270123	0.1
93.43	1312.1798356616794			-8.929742390179081	0.1
93.19	1312.8904083388404			-8.738008017415616	0.1
92.94	1313.6305882108832			-8.7217704214169	0.1
92.7	1314.3411608880442			-8.620073644331523	0.1
92.45	1315.081340760087			-8.594013331877818	0.1
92.21	1315.791913437248			-8.673349788552649	0.1
91.96	1316.710023116403			-8.884070171312528	0.1
91.72	1318.4881746362364			-8.78220157059229	0.1
91.47	1320.3404158027295			-8.650521629197655	0.1
91.23	1322.118567322563			-8.477013062479129	0.1
90.98	1323.970808489056			-8.685710395950428	0.1
90.74	1325.7489600088895			-8.459087833536778	0.1
90.49	1327.6012011753828			-8.66797903495323	0.1
90.25	1329.3793526952163			-8.851421252067293	0.1
90.0	1331.2315938617094			-8.81953572521347	0.1
89.76	1333.0497560351737			-8.85582594175169	0.1
89.51	1334.943674965866			-9.039380800442318	0.1
89.27	1336.7618371393303			-8.668855850640009	0.1
89.03	1338.5799993127948			-8.67428114310688	0.1
88.79	1340.3981614862591			-8.604751480848856	0.1
88.54	1342.2920804169512			-8.756446252876769	0.1
88.3	1344.1102425904157			-8.843537109080703	0.1
88.06	1345.92840476388			-8.822873590319043	0.1
87.82	1352.3951210885114			-8.597492688741736	0.1
87.57	1360.745365229157			-8.238096305404126	0.1
87.33	1368.7615996041766			-8.261571238336385	0.1
87.09	1376.7778339791964			-8.812941071593798	0.1
86.84	1385.128078119842			-8.597779629361776	0.1
86.6	1393.144312494862			-8.546600239218066	0.1
86.36	1401.1605468698817			-8.911667645603066	0.1
86.12	1409.1767812449013			-8.564759327162776	0.1
85.87	1413.913065927409			-8.744481524715196	0.1
85.63	1415.2573751489426			-8.85532262176005	0.1
85.39	1416.6016843704763			-8.71939409962289	0.1
85.15	1417.94599359201			-8.822402447445299	0.1
84.9	1419.3463156977741			-8.950866144202923	0.1
84.64	1420.802650687769			-8.956741921543314	0.1
84.38	1422.2589856777638			-8.75087354463206	0.1
84.12	1423.7153206677585			-8.60177116680963	0.1
83.87	1426.2345571035921			-8.726503742392604	0.1
83.61	1429.9287207537254			-8.980128321981217	0.1
83.35	1433.6228844038587			-8.939672423687432	0.1
83.09	1437.3170480539918			-8.879022035746608	0.1
82.84	1440.8691284868123			-8.947371642165363	0.1
82.58	1444.5632921369456			-8.929843336346586	0.1
