depth	true_age	age	sigma_age	d18O	sigma_d18O
0.00	1983.00	NaN	NaN	NaN	NaN
2.50	1970.41	1970.00	0.50	NaN	NaN
27.75	1836.23	1836.00	1.00	NaN	NaN
35.25	1787.34	1787.00	1.00	NaN	NaN
54.00	1660.91	1660.00	1.50	NaN	NaN
72.50	1557.29	1559.00	2.00	NaN	NaN
78.75	1512.17	1512.00	1.50	NaN	NaN
96.75	1278.68	1278.00	2.50	NaN	NaN
98.00  	1970.41	1271.00	4.00   	NaN	NaN
0.10	1977.76	NaN	NaN	-8.75	0.10
0.16	1977.61	NaN	NaN	-8.70	0.10
0.26	1977.35	NaN	NaN	-8.70	0.10
0.36	1977.09	NaN	NaN	-8.55	0.10
0.52	1976.68	NaN	NaN	-8.69	0.10
0.68	1976.26	NaN	NaN	-8.64	0.10
0.78	1976.00	NaN	NaN	-8.77	0.10
0.89	1975.72	NaN	NaN	-8.89	0.10
1.04	1975.33	NaN	NaN	-8.63	0.10
1.20	1974.92	NaN	NaN	-8.68	0.10
1.30	1974.66	NaN	NaN	-8.85	0.10
1.41	1974.38	NaN	NaN	-8.85	0.10
1.56	1973.99	NaN	NaN	-8.92	0.10
1.72	1973.57	NaN	NaN	-8.82	0.10
1.82	1973.32	NaN	NaN	-8.81	0.10
1.93	1973.03	NaN	NaN	-9.09	0.10
2.08	1972.46	NaN	NaN	-9.03	0.10
2.24	1971.68	NaN	NaN	-8.81	0.10
2.34	1971.19	NaN	NaN	-8.94	0.10
2.45	1970.66	NaN	NaN	-8.72	0.10
2.60	1969.92	NaN	NaN	-8.78	0.10
2.71	1969.39	NaN	NaN	-8.67	0.10
2.76	1969.14	NaN	NaN	-8.82	0.10
2.81	1968.90	NaN	NaN	-8.88	0.10
2.86	1968.66	NaN	NaN	-8.75	0.10
2.97	1968.12	NaN	NaN	-8.65	0.10
3.13	1967.34	NaN	NaN	-8.55	0.10
3.28	1966.61	NaN	NaN	-8.51	0.10
3.39	1966.07	NaN	NaN	-8.58	0.10
3.49	1965.59	NaN	NaN	-8.51	0.10
3.65	1964.81	NaN	NaN	-8.34	0.10
3.80	1964.07	NaN	NaN	-8.31	0.10
