% Year	d18O
1011	-7.31
1012	-7.72
1013	-8.01
1014	-8.17
1015	-8.25
1016	-8.26
1017	-8.22
1018	-8.24
1019	-8.30
1020	-8.36
1021	-8.43
1022	-8.53
1023	-8.57
1024	-8.58
1025	-8.60
1026	-8.56
1027	-8.47
1028	-8.42
1029	-8.44
1030	-8.53
1031	-8.60
1032	-8.65
1033	-8.72
1034	-8.82
1035	-8.85
1036	-8.83
1037	-8.86
1038	-8.89
1039	-8.87
1040	-8.82
1041	-8.82
1042	-8.85
1043	-8.86
1044	-8.89
1045	-8.98
1046	-9.04
1047	-9.05
1048	-9.03
1049	-8.97
1050	-8.92
1051	-8.86
1052	-8.81
1053	-8.77
1054	-8.76
1055	-8.79
1056	-8.83
1057	-8.88
1058	-8.97
1059	-9.06
1060	-9.12
1061	-9.16
1062	-9.13
1063	-9.00
1064	-8.83
1065	-8.70
1066	-8.67
1067	-8.66
1068	-8.63
1069	-8.66
1070	-8.74
1071	-8.83
1072	-8.91
1073	-9.00
1074	-9.09
1075	-9.14
1076	-9.15
1077	-9.12
1078	-9.07
1079	-9.02
1080	-9.01
1081	-8.96
1082	-8.87
1083	-8.79
1084	-8.72
1085	-8.61
1086	-8.54
1087	-8.53
1088	-8.52
1089	-8.51
1090	-8.52
1091	-8.56
1092	-8.54
1093	-8.48
1094	-8.47
1095	-8.49
1096	-8.47
1097	-8.46
1098	-8.46
1099	-8.45
1100	-8.45
1101	-8.48
1102	-8.53
1103	-8.53
1104	-8.48
1105	-8.41
1106	-8.39
1107	-8.44
1108	-8.50
1109	-8.51
1110	-8.48
1111	-8.42
1112	-8.40
1113	-8.44
1114	-8.50
1115	-8.61
1116	-8.74
1117	-8.80
1118	-8.79
1119	-8.79
1120	-8.81
1121	-8.81
1122	-8.78
1123	-8.75
1124	-8.74
1125	-8.78
1126	-8.81
1127	-8.79
1128	-8.75
1129	-8.73
1130	-8.72
1131	-8.68
1132	-8.63
1133	-8.64
1134	-8.67
1135	-8.69
1136	-8.70
1137	-8.72
1138	-8.73
1139	-8.73
1140	-8.71
1141	-8.60
1142	-8.45
1143	-8.40
1144	-8.44
1145	-8.44
1146	-8.42
1147	-8.42
1148	-8.44
1149	-8.46
1150	-8.52
1151	-8.61
1152	-8.69
1153	-8.72
1154	-8.71
1155	-8.71
1156	-8.68
1157	-8.66
1158	-8.72
1159	-8.78
1160	-8.78
1161	-8.74
1162	-8.71
1163	-8.67
1164	-8.64
1165	-8.61
1166	-8.62
1167	-8.71
1168	-8.83
1169	-8.91
1170	-8.92
1171	-8.85
1172	-8.75
1173	-8.65
1174	-8.57
1175	-8.53
1176	-8.51
1177	-8.50
1178	-8.57
1179	-8.68
1180	-8.74
1181	-8.75
1182	-8.74
1183	-8.71
1184	-8.69
1185	-8.69
1186	-8.70
1187	-8.73
1188	-8.76
1189	-8.77
1190	-8.77
1191	-8.76
1192	-8.73
1193	-8.72
1194	-8.70
1195	-8.68
1196	-8.69
1197	-8.72
1198	-8.72
1199	-8.77
1200	-8.92
