% depth	true_age	cal_c14_age	sigma_age	d18O	sigma_d18O
0	1520	NaN	NaN	NaN	NaN
0.75	1512.17	1512	1.5	NaN	NaN
18.75	1278.68	1278	2.5	NaN	NaN
0.45	1515.44	NaN	NaN	-8.86	0.1
0.89	1510.64	NaN	NaN	-8.89	0.1
1.12	1508.14	NaN	NaN	-8.79	0.1
1.34	1505.74	NaN	NaN	-8.64	0.1
1.56	1503.34	NaN	NaN	-8.66	0.1
1.78	1500.95	NaN	NaN	-8.7	0.1
2	1498.55	NaN	NaN	-8.57	0.1
2.26	1495.64	NaN	NaN	-8.55	0.1
2.52	1492.73	NaN	NaN	-8.59	0.1
2.77	1489.93	NaN	NaN	-8.92	0.1
3.03	1487.02	NaN	NaN	-8.71	0.1
3.29	1484.11	NaN	NaN	-8.71	0.1
3.55	1481.21	NaN	NaN	-8.77	0.1
3.8	1478.41	NaN	NaN	-8.72	0.1
4.06	1475.64	NaN	NaN	-9.07	0.1
4.32	1473.32	NaN	NaN	-9.01	0.1
4.58	1471.01	NaN	NaN	-9.03	0.1
4.84	1468.7	NaN	NaN	-9.11	0.1
5.09	1466.47	NaN	NaN	-9.17	0.1
5.35	1464.16	NaN	NaN	-8.97	0.1
5.61	1461.85	NaN	NaN	-8.88	0.1
5.87	1459.54	NaN	NaN	-8.98	0.1
6.12	1457.26	NaN	NaN	-8.91	0.1
6.38	1454.84	NaN	NaN	-8.79	0.1
6.64	1452.42	NaN	NaN	-8.77	0.1
6.9	1450	NaN	NaN	-8.81	0.1
7.15	1447.67	NaN	NaN	-8.93	0.1
7.39	1445.44	NaN	NaN	-8.94	0.1
7.63	1443.2	NaN	NaN	-9.12	0.1
7.87	1440.97	NaN	NaN	-9.14	0.1
8.12	1437.12	NaN	NaN	-8.86	0.1
8.36	1431.85	NaN	NaN	-8.82	0.1
8.6	1426.58	NaN	NaN	-8.83	0.1
8.84	1421.3	NaN	NaN	-8.6	0.1
9.09	1415.81	NaN	NaN	-8.49	0.1
9.33	1410.53	NaN	NaN	-8.73	0.1
9.57	1405.26	NaN	NaN	-8.77	0.1
9.82	1399.77	NaN	NaN	-8.7	0.1
10.06	1394.97	NaN	NaN	-8.77	0.1
10.3	1391.6	NaN	NaN	-9.06	0.1
10.54	1388.24	NaN	NaN	-8.87	0.1
10.79	1384.73	NaN	NaN	-8.7	0.1
11.03	1381.36	NaN	NaN	-8.51	0.1
11.27	1378	NaN	NaN	-8.45	0.1
11.51	1374.63	NaN	NaN	-8.38	0.1
11.76	1371.13	NaN	NaN	-8.27	0.1
12	1367.76	NaN	NaN	-8.31	0.1
12.25	1365.32	NaN	NaN	-8.44	0.1
12.49	1362.98	NaN	NaN	-8.45	0.1
12.74	1360.53	NaN	NaN	-8.68	0.1
12.98	1358.19	NaN	NaN	-8.83	0.1
13.23	1355.75	NaN	NaN	-8.84	0.1
13.47	1353.41	NaN	NaN	-8.84	0.1
13.72	1350.96	NaN	NaN	-8.72	0.1
13.96	1348.62	NaN	NaN	-8.73	0.1
14.21	1344.47	NaN	NaN	-8.73	0.1
14.45	1340.17	NaN	NaN	-8.71	0.1
14.7	1335.69	NaN	NaN	-8.58	0.1
14.94	1331.39	NaN	NaN	-8.65	0.1
15.19	1326.92	NaN	NaN	-8.54	0.1
15.43	1322.62	NaN	NaN	-8.88	0.1
15.68	1318.14	NaN	NaN	-8.92	0.1
15.92	1313.84	NaN	NaN	-8.93	0.1
16.17	1309.89	NaN	NaN	-8.96	0.1
16.41	1306.34	NaN	NaN	-8.87	0.1
16.66	1302.64	NaN	NaN	-8.64	0.1
16.9	1299.08	NaN	NaN	-8.62	0.1
17.14	1295.53	NaN	NaN	-8.53	0.1
17.38	1291.97	NaN	NaN	-8.63	0.1
17.63	1288.27	NaN	NaN	-8.56	0.1
17.87	1284.72	NaN	NaN	-8.78	0.1
18.11	1282.19	NaN	NaN	-8.62	0.1
18.35	1280.87	NaN	NaN	-8.73	0.1
18.59	1279.55	NaN	NaN	-8.49	0.1
18.83	1278.24	NaN	NaN	-8.75	0.1
19.07	1276.92	NaN	NaN	-8.58	0.1
19.31	1275.6	NaN	NaN	-8.79	0.1
19.55	1274.29	NaN	NaN	-8.65	0.1
19.79	1272.97	NaN	NaN	-8.9	0.1
