% Year	d18O
1011	-8.31
1012	-8.27
1013	-8.25
1014	-8.23
1015	-8.22
1016	-8.22
1017	-8.22
1018	-8.23
1019	-8.25
1020	-8.28
1021	-8.31
1022	-8.35
1023	-8.39
1024	-8.43
1025	-8.47
1026	-8.51
1027	-8.55
1028	-8.59
1029	-8.63
1030	-8.66
1031	-8.69
1032	-8.72
1033	-8.75
1034	-8.77
1035	-8.79
1036	-8.80
1037	-8.82
1038	-8.83
1039	-8.84
1040	-8.86
1041	-8.87
1042	-8.88
1043	-8.89
1044	-8.90
1045	-8.91
1046	-8.92
1047	-8.93
1048	-8.93
1049	-8.94
1050	-8.94
1051	-8.94
1052	-8.94
1053	-8.94
1054	-8.93
1055	-8.93
1056	-8.92
1057	-8.91
1058	-8.90
1059	-8.89
1060	-8.88
1061	-8.87
1062	-8.86
1063	-8.86
1064	-8.86
1065	-8.86
1066	-8.86
1067	-8.87
1068	-8.88
1069	-8.89
1070	-8.90
1071	-8.91
1072	-8.93
1073	-8.94
1074	-8.95
1075	-8.95
1076	-8.96
1077	-8.96
1078	-8.95
1079	-8.94
1080	-8.92
1081	-8.90
1082	-8.87
1083	-8.84
1084	-8.80
1085	-8.76
1086	-8.72
1087	-8.68
1088	-8.64
1089	-8.60
1090	-8.56
1091	-8.52
1092	-8.49
1093	-8.46
1094	-8.44
1095	-8.42
1096	-8.41
1097	-8.40
1098	-8.40
1099	-8.40
1100	-8.41
1101	-8.42
1102	-8.43
1103	-8.44
1104	-8.46
1105	-8.47
1106	-8.49
1107	-8.50
1108	-8.52
1109	-8.53
1110	-8.55
1111	-8.56
1112	-8.57
1113	-8.58
1114	-8.60
1115	-8.61
1116	-8.63
1117	-8.64
1118	-8.66
1119	-8.68
1120	-8.70
1121	-8.71
1122	-8.73
1123	-8.75
1124	-8.77
1125	-8.78
1126	-8.79
1127	-8.80
1128	-8.80
1129	-8.80
1130	-8.79
1131	-8.78
1132	-8.77
1133	-8.75
1134	-8.72
1135	-8.70
1136	-8.67
1137	-8.64
1138	-8.61
1139	-8.58
1140	-8.55
1141	-8.52
1142	-8.50
1143	-8.49
1144	-8.48
1145	-8.47
1146	-8.48
1147	-8.48
1148	-8.50
1149	-8.51
1150	-8.54
1151	-8.56
1152	-8.59
1153	-8.62
1154	-8.65
1155	-8.67
1156	-8.70
1157	-8.72
1158	-8.74
1159	-8.75
1160	-8.76
1161	-8.77
1162	-8.77
1163	-8.76
1164	-8.76
1165	-8.75
1166	-8.73
1167	-8.72
1168	-8.71
1169	-8.69
1170	-8.68
1171	-8.67
1172	-8.66
1173	-8.65
1174	-8.65
1175	-8.65
1176	-8.65
1177	-8.66
1178	-8.66
1179	-8.67
1180	-8.68
1181	-8.68
1182	-8.69
1183	-8.70
1184	-8.71
1185	-8.71
1186	-8.72
1187	-8.72
1188	-8.73
1189	-8.73
1190	-8.73
1191	-8.74
1192	-8.74
1193	-8.75
1194	-8.75
1195	-8.76
1196	-8.77
1197	-8.79
1198	-8.80
1199	-8.82
1200	-8.83
1201	-8.85
1202	-8.87
1203	-8.88
1204	-8.90
1205	-8.91
1206	-8.91
1207	-8.91
1208	-8.91
1209	-8.90
1210	-8.88
1211	-8.86
1212	-8.83
1213	-8.80
1214	-8.76
1215	-8.72
1216	-8.67
1217	-8.62
1218	-8.58
1219	-8.53
1220	-8.48
1221	-8.44
1222	-8.40
1223	-8.37
1224	-8.34
1225	-8.32
1226	-8.30
1227	-8.29
1228	-8.29
1229	-8.30
1230	-8.31
1231	-8.32
1232	-8.34
1233	-8.37
1234	-8.39
1235	-8.42
1236	-8.45
1237	-8.48
1238	-8.52
1239	-8.55
1240	-8.58
1241	-8.60
1242	-8.63
1243	-8.66
1244	-8.68
1245	-8.70
1246	-8.72
1247	-8.74
1248	-8.76
1249	-8.77
1250	-8.79
1251	-8.80
1252	-8.81
1253	-8.82
1254	-8.83
1255	-8.83
1256	-8.84
1257	-8.84
1258	-8.84
1259	-8.84
1260	-8.84
1261	-8.83
1262	-8.82
1263	-8.81
1264	-8.81
1265	-8.79
1266	-8.78
1267	-8.77
1268	-8.76
1269	-8.75
1270	-8.74
1271	-8.73
1272	-8.73
1273	-8.72
1274	-8.72
1275	-8.71
1276	-8.71
1277	-8.70
1278	-8.70
1279	-8.70
1280	-8.69
1281	-8.69
1282	-8.68
1283	-8.67
1284	-8.66
1285	-8.65
1286	-8.63
1287	-8.62
1288	-8.60
1289	-8.59
1290	-8.57
1291	-8.56
1292	-8.55
1293	-8.55
1294	-8.54
1295	-8.55
1296	-8.56
1297	-8.57
1298	-8.59
1299	-8.61
1300	-8.64
1301	-8.68
1302	-8.72
1303	-8.76
1304	-8.80
1305	-8.84
1306	-8.88
1307	-8.91
1308	-8.94
1309	-8.97
1310	-8.99
1311	-9.00
1312	-9.01
1313	-9.01
1314	-9.00
1315	-8.98
1316	-8.95
1317	-8.93
1318	-8.89
1319	-8.86
1320	-8.82
1321	-8.78
1322	-8.74
1323	-8.71
1324	-8.68
1325	-8.65
1326	-8.63
1327	-8.62
1328	-8.61
1329	-8.61
1330	-8.61
1331	-8.62
1332	-8.63
1333	-8.65
1334	-8.66
1335	-8.69
1336	-8.71
1337	-8.73
1338	-8.75
1339	-8.77
1340	-8.79
1341	-8.81
1342	-8.82
1343	-8.83
1344	-8.84
1345	-8.84
1346	-8.84
1347	-8.84
1348	-8.83
1349	-8.83
1350	-8.82
1351	-8.81
1352	-8.79
1353	-8.78
1354	-8.76
1355	-8.74
1356	-8.71
1357	-8.69
1358	-8.66
1359	-8.63
1360	-8.60
1361	-8.56
1362	-8.52
1363	-8.49
1364	-8.45
1365	-8.41
1366	-8.38
1367	-8.35
1368	-8.32
1369	-8.30
1370	-8.29
1371	-8.28
1372	-8.28
1373	-8.29
1374	-8.31
1375	-8.33
1376	-8.37
1377	-8.41
1378	-8.45
1379	-8.51
1380	-8.56
1381	-8.62
1382	-8.68
1383	-8.74
1384	-8.79
1385	-8.84
1386	-8.88
1387	-8.91
1388	-8.94
1389	-8.96
1390	-8.96
1391	-8.96
1392	-8.95
1393	-8.94
1394	-8.91
1395	-8.89
1396	-8.85
1397	-8.82
1398	-8.79
1399	-8.76
1400	-8.73
1401	-8.71
1402	-8.69
1403	-8.67
1404	-8.67
1405	-8.66
1406	-8.67
1407	-8.67
1408	-8.69
1409	-8.70
1410	-8.71
1411	-8.73
1412	-8.74
1413	-8.75
1414	-8.76
1415	-8.77
1416	-8.77
1417	-8.77
1418	-8.77
1419	-8.76
1420	-8.75
1421	-8.73
1422	-8.72
1423	-8.71
1424	-8.70
1425	-8.69
1426	-8.69
1427	-8.69
1428	-8.69
1429	-8.70
1430	-8.72
1431	-8.73
1432	-8.76
1433	-8.78
1434	-8.81
1435	-8.84
1436	-8.87
1437	-8.89
1438	-8.92
1439	-8.93
1440	-8.95
1441	-8.96
1442	-8.96
1443	-8.96
1444	-8.96
1445	-8.95
1446	-8.93
1447	-8.91
1448	-8.89
1449	-8.87
1450	-8.85
1451	-8.84
1452	-8.82
1453	-8.81
1454	-8.80
1455	-8.80
1456	-8.81
1457	-8.81
1458	-8.83
1459	-8.84
1460	-8.86
1461	-8.88
1462	-8.90
1463	-8.93
1464	-8.95
1465	-8.97
1466	-8.98
1467	-8.99
1468	-9.00
1469	-9.01
1470	-9.01
1471	-9.00
1472	-9.00
1473	-8.98
1474	-8.97
1475	-8.95
1476	-8.94
1477	-8.92
1478	-8.90
1479	-8.88
1480	-8.87
1481	-8.85
1482	-8.84
1483	-8.82
1484	-8.81
1485	-8.80
1486	-8.79
1487	-8.78
1488	-8.77
1489	-8.76
1490	-8.75
1491	-8.74
1492	-8.72
1493	-8.71
1494	-8.70
1495	-8.69
1496	-8.67
1497	-8.66
1498	-8.65
1499	-8.65
1500	-8.64
1501	-8.65
1502	-8.65
1503	-8.66
1504	-8.68
1505	-8.69
1506	-8.71
1507	-8.74
1508	-8.76
1509	-8.79
1510	-8.81
1511	-8.84
1512	-8.86
1513	-8.87
1514	-8.88
1515	-8.88
1516	-8.88
1517	-8.87
1518	-8.85
1519	-8.82
1520	-8.79
1521	-8.76
1522	-8.72
1523	-8.67
1524	-8.63
1525	-8.59
1526	-8.54
1527	-8.51
1528	-8.47
1529	-8.45
1530	-8.43
1531	-8.41
1532	-8.41
1533	-8.41
1534	-8.42
1535	-8.43
1536	-8.45
1537	-8.47
1538	-8.49
1539	-8.51
1540	-8.53
1541	-8.55
1542	-8.56
1543	-8.58
1544	-8.58
1545	-8.58
1546	-8.58
1547	-8.57
1548	-8.55
1549	-8.54
1550	-8.52
1551	-8.50
1552	-8.48
1553	-8.46
1554	-8.45
1555	-8.44
1556	-8.43
1557	-8.43
1558	-8.44
1559	-8.45
1560	-8.46
1561	-8.49
1562	-8.51
1563	-8.54
1564	-8.58
1565	-8.61
1566	-8.65
1567	-8.68
1568	-8.72
1569	-8.75
1570	-8.78
1571	-8.81
1572	-8.83
1573	-8.86
1574	-8.88
1575	-8.89
1576	-8.91
1577	-8.93
1578	-8.94
1579	-8.96
1580	-8.97
1581	-8.99
1582	-9.01
1583	-9.02
1584	-9.04
1585	-9.05
1586	-9.07
1587	-9.08
1588	-9.09
1589	-9.09
1590	-9.09
1591	-9.08
1592	-9.07
1593	-9.04
1594	-9.02
1595	-8.98
1596	-8.94
1597	-8.90
1598	-8.85
1599	-8.80
1600	-8.75
1601	-8.70
1602	-8.65
1603	-8.60
1604	-8.56
1605	-8.53
1606	-8.50
1607	-8.49
1608	-8.48
1609	-8.48
1610	-8.49
1611	-8.50
1612	-8.52
1613	-8.55
1614	-8.58
1615	-8.61
1616	-8.64
1617	-8.67
1618	-8.69
1619	-8.71
1620	-8.73
1621	-8.74
1622	-8.74
1623	-8.74
1624	-8.73
1625	-8.72
1626	-8.70
1627	-8.68
1628	-8.66
1629	-8.64
1630	-8.62
1631	-8.60
1632	-8.59
1633	-8.58
1634	-8.58
1635	-8.59
1636	-8.60
1637	-8.62
1638	-8.65
1639	-8.68
1640	-8.71
1641	-8.74
1642	-8.77
1643	-8.80
1644	-8.83
1645	-8.85
1646	-8.87
1647	-8.88
1648	-8.88
1649	-8.88
1650	-8.87
1651	-8.85
1652	-8.83
1653	-8.80
1654	-8.77
1655	-8.73
1656	-8.70
1657	-8.66
1658	-8.63
1659	-8.61
1660	-8.59
1661	-8.57
1662	-8.56
1663	-8.56
1664	-8.56
1665	-8.57
1666	-8.59
1667	-8.61
1668	-8.63
1669	-8.66
1670	-8.69
1671	-8.72
1672	-8.74
1673	-8.77
1674	-8.79
1675	-8.80
1676	-8.82
1677	-8.82
1678	-8.83
1679	-8.83
1680	-8.82
1681	-8.82
1682	-8.80
1683	-8.79
1684	-8.78
1685	-8.77
1686	-8.75
1687	-8.74
1688	-8.73
1689	-8.73
1690	-8.72
1691	-8.72
1692	-8.72
1693	-8.72
1694	-8.72
1695	-8.73
1696	-8.74
1697	-8.74
1698	-8.75
1699	-8.76
1700	-8.77
1701	-8.77
1702	-8.78
1703	-8.78
1704	-8.79
1705	-8.79
1706	-8.79
1707	-8.79
1708	-8.79
1709	-8.79
1710	-8.79
1711	-8.79
1712	-8.79
1713	-8.78
1714	-8.78
1715	-8.77
1716	-8.76
1717	-8.76
1718	-8.75
1719	-8.73
1720	-8.72
1721	-8.71
1722	-8.69
1723	-8.67
1724	-8.66
1725	-8.64
1726	-8.62
1727	-8.61
1728	-8.59
1729	-8.58
1730	-8.57
1731	-8.57
1732	-8.57
1733	-8.57
1734	-8.58
1735	-8.59
1736	-8.60
1737	-8.62
1738	-8.64
1739	-8.66
1740	-8.68
1741	-8.70
1742	-8.72
1743	-8.74
1744	-8.76
1745	-8.78
1746	-8.79
1747	-8.79
1748	-8.79
1749	-8.79
1750	-8.78
1751	-8.77
1752	-8.76
1753	-8.75
1754	-8.73
1755	-8.71
1756	-8.70
1757	-8.68
1758	-8.67
1759	-8.66
1760	-8.65
1761	-8.65
1762	-8.65
1763	-8.65
1764	-8.66
1765	-8.67
1766	-8.68
1767	-8.69
1768	-8.71
1769	-8.72
1770	-8.73
1771	-8.73
1772	-8.73
1773	-8.73
1774	-8.72
1775	-8.71
1776	-8.70
1777	-8.68
1778	-8.66
1779	-8.63
1780	-8.61
1781	-8.58
1782	-8.55
1783	-8.53
1784	-8.51
1785	-8.50
1786	-8.49
1787	-8.48
1788	-8.48
1789	-8.49
1790	-8.50
1791	-8.51
1792	-8.53
1793	-8.55
1794	-8.57
1795	-8.59
1796	-8.61
1797	-8.63
1798	-8.64
1799	-8.65
1800	-8.65
1801	-8.65
1802	-8.64
1803	-8.62
1804	-8.60
1805	-8.57
1806	-8.55
1807	-8.52
1808	-8.49
1809	-8.46
1810	-8.43
1811	-8.41
1812	-8.40
1813	-8.39
1814	-8.39
1815	-8.40
1816	-8.41
1817	-8.44
1818	-8.47
1819	-8.51
1820	-8.56
1821	-8.61
1822	-8.67
1823	-8.73
1824	-8.78
1825	-8.84
1826	-8.89
1827	-8.93
1828	-8.97
1829	-9.00
1830	-9.02
1831	-9.03
1832	-9.03
1833	-9.02
1834	-9.01
1835	-8.98
1836	-8.95
1837	-8.92
1838	-8.87
1839	-8.83
1840	-8.79
1841	-8.74
1842	-8.70
1843	-8.66
1844	-8.62
1845	-8.59
1846	-8.57
1847	-8.55
1848	-8.53
1849	-8.53
1850	-8.52
1851	-8.52
1852	-8.53
1853	-8.54
1854	-8.55
1855	-8.56
1856	-8.57
1857	-8.59
1858	-8.60
1859	-8.61
1860	-8.62
1861	-8.63
1862	-8.63
1863	-8.63
1864	-8.63
1865	-8.63
1866	-8.62
1867	-8.62
1868	-8.61
1869	-8.61
1870	-8.60
1871	-8.59
1872	-8.59
1873	-8.58
1874	-8.58
1875	-8.58
1876	-8.57
1877	-8.57
1878	-8.58
1879	-8.58
1880	-8.58
1881	-8.58
1882	-8.59
1883	-8.59
1884	-8.59
1885	-8.60
1886	-8.60
1887	-8.60
1888	-8.60
1889	-8.60
1890	-8.60
1891	-8.60
1892	-8.60
1893	-8.60
1894	-8.59
1895	-8.59
1896	-8.59
1897	-8.59
1898	-8.59
1899	-8.59
1900	-8.59
1901	-8.60
1902	-8.60
1903	-8.60
1904	-8.60
1905	-8.60
1906	-8.60
1907	-8.60
1908	-8.60
1909	-8.60
1910	-8.59
1911	-8.58
1912	-8.58
1913	-8.56
1914	-8.55
1915	-8.53
1916	-8.52
1917	-8.50
1918	-8.48
1919	-8.46
1920	-8.44
1921	-8.42
1922	-8.41
1923	-8.39
1924	-8.38
1925	-8.38
1926	-8.37
1927	-8.37
1928	-8.38
