% depth	true_age	cal_c14_age	sigma_age	d18O	sigma_d18O
0.00	1830.00	NaN	NaN	NaN	NaN
0.75	1836.23	1836.00	1.00	NaN	NaN
17.25	1787.34	1787.00	1.00	NaN	NaN
0.10	1977.76	NaN	NaN	-8.75	0.10
0.16	1977.61	NaN	NaN	-8.70	0.10
0.26	1977.35	NaN	NaN	-8.70	0.10
0.36	1977.09	NaN	NaN	-8.55	0.10
0.52	1976.68	NaN	NaN	-8.69	0.10
0.68	1976.26	NaN	NaN	-8.64	0.10
0.78	1976.00	NaN	NaN	-8.77	0.10
0.89	1975.72	NaN	NaN	-8.89	0.10
1.04	1975.33	NaN	NaN	-8.63	0.10
1.20	1974.92	NaN	NaN	-8.68	0.10
1.30	1974.66	NaN	NaN	-8.85	0.10
1.41	1974.38	NaN	NaN	-8.85	0.10
1.56	1973.99	NaN	NaN	-8.92	0.10
1.72	1973.57	NaN	NaN	-8.82	0.10
1.82	1973.32	NaN	NaN	-8.81	0.10
1.93	1973.03	NaN	NaN	-9.09	0.10
2.08	1972.46	NaN	NaN	-9.03	0.10
2.24	1971.68	NaN	NaN	-8.81	0.10
2.34	1971.19	NaN	NaN	-8.94	0.10
2.45	1970.66	NaN	NaN	-8.72	0.10
2.60	1969.92	NaN	NaN	-8.78	0.10
2.71	1969.39	NaN	NaN	-8.67	0.10
2.76	1969.14	NaN	NaN	-8.82	0.10
2.81	1968.90	NaN	NaN	-8.88	0.10
2.86	1968.66	NaN	NaN	-8.75	0.10
2.97	1968.12	NaN	NaN	-8.65	0.10
3.13	1967.34	NaN	NaN	-8.55	0.10
3.28	1966.61	NaN	NaN	-8.51	0.10
3.39	1966.07	NaN	NaN	-8.58	0.10
3.49	1965.59	NaN	NaN	-8.51	0.10
3.65	1964.81	NaN	NaN	-8.34	0.10
3.80	1964.07	NaN	NaN	-8.31	0.10
3.91	1963.54	NaN	NaN	-8.49	0.10
4.01	1963.05	NaN	NaN	-8.47	0.10
4.17	1962.17	NaN	NaN	-8.43	0.10
4.32	1961.34	NaN	NaN	-8.47	0.10
4.43	1960.74	NaN	NaN	-8.54	0.10
4.53	1960.19	NaN	NaN	-8.64	0.10
4.69	1959.32	NaN	NaN	-8.71	0.10
4.84	1958.49	NaN	NaN	-8.51	0.10
4.95	1957.89	NaN	NaN	-8.51	0.10
5.04	1957.40	NaN	NaN	-8.38	0.10
5.16	1956.74	NaN	NaN	-8.60	0.10
5.28	1956.08	NaN	NaN	-8.54	0.10
5.36	1955.64	NaN	NaN	-8.65	0.10
5.44	1955.20	NaN	NaN	-8.85	0.10
5.56	1954.54	NaN	NaN	-8.61	0.10
5.69	1953.83	NaN	NaN	-8.80	0.10
5.77	1953.39	NaN	NaN	-8.66	0.10
5.85	1952.95	NaN	NaN	-8.60	0.10
5.97	1952.29	NaN	NaN	-8.80	0.10
6.09	1951.54	NaN	NaN	-8.65	0.10
6.17	1951.02	NaN	NaN	-8.49	0.10
6.25	1950.50	NaN	NaN	-8.62	0.10
6.37	1949.72	NaN	NaN	-8.68	0.10
6.77	1947.11	NaN	NaN	-8.69	0.10
7.18	1944.43	NaN	NaN	-8.78	0.10
7.58	1941.82	NaN	NaN	-8.42	0.10
7.98	1939.21	NaN	NaN	-8.49	0.10
8.39	1936.56	NaN	NaN	-8.30	0.10
8.79	1933.98	NaN	NaN	-8.43	0.10
9.19	1931.40	NaN	NaN	-8.66	0.10
9.60	1928.76	NaN	NaN	-8.67	0.10
10.00	1926.18	NaN	NaN	-8.44	0.10
10.43	1923.97	NaN	NaN	-8.24	0.10
10.85	1921.80	NaN	NaN	-8.35	0.10
11.28	1919.59	NaN	NaN	-8.51	0.10
11.71	1917.37	NaN	NaN	-8.50	0.10
12.14	1915.27	NaN	NaN	-8.36	0.10
12.56	1913.46	NaN	NaN	-8.40	0.10
12.99	1911.59	NaN	NaN	-8.84	0.10
13.42	1909.73	NaN	NaN	-8.77	0.10
13.85	1907.87	NaN	NaN	-8.81	0.10
14.27	1906.62	NaN	NaN	-8.58	0.10
14.70	1905.66	NaN	NaN	-8.50	0.10
15.13	1904.69	NaN	NaN	-8.64	0.10
15.57	1903.71	NaN	NaN	-8.61	0.10
16.01	1902.72	NaN	NaN	-8.55	0.10
16.45	1901.53	NaN	NaN	-8.64	0.10
16.89	1900.33	NaN	NaN	-8.59	0.10
17.32	1899.17	NaN	NaN	-8.38	0.10
17.76	1897.97	NaN	NaN	-8.70	0.10
18.20	1896.45	NaN	NaN	-8.71	0.10
18.64	1894.53	NaN	NaN	-8.58	0.10
19.08	1892.61	NaN	NaN	-8.32	0.10
19.52	1890.69	NaN	NaN	-8.79	0.10
19.96	1888.77	NaN	NaN	-8.57	0.10
