% depth	true_age	cal_c14_age	sigma_age	d18O	sigma_d18O
0	1790	NaN	NaN	NaN	NaN
0.25	1787.34	1787	1	NaN	NaN
19	1660.91	1660	1.5	NaN	NaN
0.09	1787.8	NaN	NaN	-8.59	0.1
0.54	1786.5	NaN	NaN	-8.44	0.1
0.98	1785.24	NaN	NaN	-8.45	0.1
1.43	1784.1	NaN	NaN	-8.57	0.1
1.88	1782.96	NaN	NaN	-8.65	0.1
2.32	1781.85	NaN	NaN	-8.45	0.1
2.77	1780.72	NaN	NaN	-8.6	0.1
3.21	1779.88	NaN	NaN	-8.69	0.1
3.66	1779.33	NaN	NaN	-8.34	0.1
4.11	1778.78	NaN	NaN	-8.92	0.1
4.55	1778.24	NaN	NaN	-8.86	0.1
5	1777.69	NaN	NaN	-8.51	0.1
5.44	1776.94	NaN	NaN	-8.68	0.1
5.88	1776.19	NaN	NaN	-8.51	0.1
6.33	1775.42	NaN	NaN	-8.61	0.1
6.77	1774.66	NaN	NaN	-8.7	0.1
7.21	1772.01	NaN	NaN	-8.6	0.1
7.65	1767.28	NaN	NaN	-8.88	0.1
8.1	1762.45	NaN	NaN	-8.53	0.1
8.54	1757.71	NaN	NaN	-8.39	0.1
8.98	1752.98	NaN	NaN	-8.83	0.1
9.42	1745.95	NaN	NaN	-8.65	0.1
9.87	1738.64	NaN	NaN	-8.85	0.1
10.34	1731.01	NaN	NaN	-8.43	0.1
10.58	1727.11	NaN	NaN	-8.53	0.1
10.68	1725.49	NaN	NaN	-8.72	0.1
10.83	1723.05	NaN	NaN	-8.91	0.1
11.17	1718.94	NaN	NaN	-8.72	0.1
11.31	1717.83	NaN	NaN	-8.9	0.1
11.8	1713.93	NaN	NaN	-8.76	0.1
12.28	1710.11	NaN	NaN	-8.71	0.1
12.77	1706.22	NaN	NaN	-9.03	0.1
13.25	1702.08	NaN	NaN	-8.89	0.1
13.74	1697.56	NaN	NaN	-8.79	0.1
14.22	1693.13	NaN	NaN	-8.71	0.1
14.71	1688.61	NaN	NaN	-8.57	0.1
15.19	1684.32	NaN	NaN	-8.81	0.1
15.66	1680.35	NaN	NaN	-8.81	0.1
16.13	1676.38	NaN	NaN	-8.9	0.1
16.6	1672.41	NaN	NaN	-8.61	0.1
17.08	1668.71	NaN	NaN	-8.72	0.1
17.55	1666.8	NaN	NaN	-8.4	0.1
18.02	1664.89	NaN	NaN	-8.62	0.1
18.49	1662.98	NaN	NaN	-8.87	0.1
18.96	1661.07	NaN	NaN	-8.94	0.1
19.43	1658.77	NaN	NaN	-8.53	0.1
19.91	1656.37	NaN	NaN	-8.46	0.1
