depth	true_age	cal_c14_age	sigma_age	d18O	sigma_d18O
0.0	1978.02				
2.5	1970.41	1970.0	0.5		
2.5	1970.41	1969.0	1.5		
27.75	1836.23	1836.0	1.0		
35.25	1787.34	1787.0	1.0		
54.0	1660.91	1660.0	1.5		
72.5	1557.29	1559.0	2.0		
78.75	1512.17	1512.0	1.5		
96.75	1278.68	1278.0	2.5		
0.1	1977.7951242168995			-8.633182550828606	0.1
0.16	1977.660198747039			-8.677801618708955	0.1
0.26	1977.4353229639385			-8.693703621699202	0.1
0.36	1977.2104471808377			-8.853587458827175	0.1
0.52	1976.8506459278767			-8.596556783242661	0.1
0.68	1976.4908446749157			-8.78283545369493	0.1
0.78	1976.2659688918152			-8.78358704309669	0.1
0.89	1976.0186055304046			-8.720014220724686	0.1
1.04	1975.6812918557537			-8.93749001199527	0.1
1.2	1975.3214906027927			-8.74266866825142	0.1
1.3	1975.096614819692			-8.733398462929944	0.1
1.41	1974.8492514582813			-8.729775999377612	0.1
1.56	1974.5119377836304			-8.676618843893317	0.1
1.72	1974.1521365306694			-8.902666896561762	0.1
1.82	1973.8880587265958			-9.092457152481572	0.1
1.93	1973.5073815991254			-8.84395105150762	0.1
2.08	1972.9768968958967			-8.804699227418935	0.1
2.24	1971.8857220117152			-8.934074730051652	0.1
2.34	1971.2037377091017			-8.770524131023034	0.1
2.45	1970.4535549762268			-8.733647448527453	0.1
2.6	1969.4305785223064			-8.714885193919239	0.1
2.71	1968.6803957894317			-8.842235898460142	0.1
2.76	1968.3394036381248			-8.646895690411894	0.1
2.81	1967.998411486818			-8.712829721849069	0.1
2.86	1967.6574193355113			-8.526673160792624	0.1
2.97	1966.9072366026364			-8.706453344350475	0.1
3.13	1965.8160617184549			-8.485952298011412	0.1
3.28	1964.7930852645345			-8.460804933078107	0.1
3.39	1964.0429025316596			-8.367879624074874	0.1
3.49	1963.360918229046			-8.348392846758804	0.1
3.65	1962.2697433448645			-8.311791730413413	0.1
3.8	1961.2467668909442			-8.459042791448164	0.1
3.91	1960.4965841580693			-8.494065713728343	0.1
4.01	1959.790310831719			-8.52526777430177	0.1
4.17	1958.548326675085			-8.50797621770006	0.1
4.32	1957.3708517245275			-8.455076120833741	0.1
4.43	1956.5073700941184			-8.438479375471006	0.1
4.53	1955.7223867937466			-8.74786936869104	0.1
4.69	1954.4664135131518			-8.707623189932812	0.1
4.84	1953.2889385625942			-8.803603321785276	0.1
4.95	1952.4254569321852			-8.649094232582993	0.1
5.04	1951.7189719618505			-8.470770798982475	0.1
5.16	1950.7769920014043			-8.723088905195501	0.1
5.28	1949.8350120409582			-8.656222371116	0.1
5.36	1949.2070254006608			-8.746062167338415	0.1
5.44	1948.5790387603633			-8.491048383355896	0.1
5.56	1947.6370587999172			-8.7633313659615	0.1
5.69	1946.616580509434			-8.55669418078993	0.1
5.77	1945.9885938691366			-8.730668216730923	0.1
5.85	1945.3606072288392			-8.800060229193285	0.1
5.97	1944.4741401167569			-8.817799833361855	0.1
6.09	1943.734981815493			-8.594696803554923	0.1
6.17	1943.3366258485703			-8.755520180758904	0.1
6.25	1942.9382698816473			-8.547959968608476	0.1
6.37	1942.340735931263			-8.707601251192203	0.1
6.77	1940.3489560966484			-8.304160779842405	0.1
7.18	1938.3073817661686			-8.342836329182058	0.1
7.58	1936.315601931554			-8.468212814384463	0.1
7.98	1934.3770833268431			-8.406797342803683	0.1
8.39	1932.8183348971595			-8.584276740606718	0.1
8.79	1931.3763880171089			-8.619533962066372	0.1
9.19	1929.9344411370582			-8.595818118113366	0.1
9.6	1928.4564455850061			-8.435081513937902	0.1
10.0	1927.0231881989657			-8.572525499700149	0.1
10.43	1926.053830054935			-8.369442372744743	0.1
10.85	1925.11550253631			-8.309437542454523	0.1
11.28	1924.1548338862895			-8.23562620338266	0.1
11.71	1923.1941652362689			-8.181755965842537	0.1
12.14	1921.4843659361652			-8.332010843741486	0.1
12.56	1918.2986464672917			-8.38234796386147	0.1
12.99	1915.0370765348734			-8.37951355777029	0.1
13.42	1911.7755066024552			-8.730127518002371	0.1
13.85	1908.513936670037			-8.74702554526868	0.1
14.27	1906.9984264806053			-8.704296921583266	0.1
14.7	1906.3968194747058			-8.76139737537742	0.1
15.13	1905.7952124688063			-8.51894191701912	0.1
15.57	1905.1796146023044			-8.360608321404921	0.1
16.01	1904.1375924717574			-8.75301067571745	0.1
16.45	1900.2224284809272			-8.4766748923519	0.1
16.89	1895.96364001246			-8.603584336722323	0.1
17.32	1891.8016421910036			-8.508197650464743	0.1
17.76	1887.5428537225364			-8.678888280086154	0.1
18.2	1883.0034675182956			-8.775235087086328	0.1
18.64	1878.127364031126			-8.638533067307979	0.1
19.08	1873.2512605439565			-8.567028509035914	0.1
19.52	1868.375157056787			-8.597064479920753	0.1
19.96	1863.603423591901			-8.83231099685036	0.1
20.38	1862.3194043380176			-8.735384776566828	0.1
20.81	1861.4861468341937			-8.670830874076058	0.1
21.23	1860.672267411854			-8.548830847455024	0.1
21.65	1859.8400312880844			-8.549521704695087	0.1
22.08	1858.7531356818088			-8.483300714052163	0.1
22.5	1856.5112835390914			-8.656756132125135	0.1
22.92	1854.2694313963739			-8.61913986001386	0.1
23.35	1851.9742018216868			-8.31767984651796	0.1
23.77	1849.7323496789695			-8.66464910895104	0.1
24.19	1847.803811217044			-8.54709225274449	0.1
24.62	1846.2176599725708			-8.650994184155202	0.1
25.04	1844.668395966341			-8.436112822536323	0.1
25.44	1843.1929064365984			-8.639987095487488	0.1
25.83	1841.7570669521497			-8.614039952592842	0.1
26.23	1840.3484330278798			-8.697407302232898	0.1
26.63	1838.9940189981771			-8.708848979158455	0.1
27.02	1837.673465319217			-8.876388427510369	0.1
27.42	1836.3190512895144			-8.983591794192069	0.1
27.82	1834.9523341806648			-9.078711329853645	0.1
28.21	1831.752752333832			-9.263889702600352	0.1
28.61	1826.7958025955202			-8.821982479383033	0.1
29.01	1821.8388528572084			-8.676950254497218	0.1
29.4	1817.0058268623545			-8.46029698374224	0.1
29.8	1812.048877124043			-8.480239482264977	0.1
30.22	1808.6005458728316			-8.645353760468263	0.1
30.66	1806.660833108721			-8.731697102543626	0.1
31.11	1804.6770359636075			-8.73399809619073	0.1
31.55	1802.7373231994968			-8.588165047939217	0.1
31.99	1800.7781261978266			-8.462175262383191	0.1
32.43	1798.6078366676238			-8.51054404557706	0.1
32.88	1796.3623477745032			-8.700756152039846	0.1
33.32	1794.166758634563			-8.327832580726923	0.1
33.76	1791.9711694946227			-8.564736196221551	0.1
34.2	1789.883844126263			-8.63249414964891	0.1
34.65	1787.8819487191988			-8.273578177399546	0.1
35.09	1785.9245398767357			-8.597693324292525	0.1
35.54	1783.9226444696712			-8.350198630076205	0.1
35.98	1781.9627313340288			-8.61569326739186	0.1
36.43	1779.8044656985803			-8.648388787189948	0.1
36.88	1777.6363062573216			-8.800046940166093	0.1
37.32	1775.5163281369796			-8.457202113368602	0.1
37.77	1773.348168695721			-8.593587447968764	0.1
38.21	1769.4404567968168			-8.84658949450855	0.1
38.66	1763.441439258639			-8.647160822448551	0.1
39.11	1757.4424217204614			-8.631088090173511	0.1
39.55	1751.5767156831319			-8.739632746752182	0.1
40.0	1745.7988260064767			-8.784388650248871	0.1
40.44	1743.556923332359			-8.819148412406577	0.1
40.88	1741.5361485197639			-8.83355361429598	0.1
41.33	1739.4694470068823			-8.818758793400672	0.1
41.77	1737.4486721942872			-8.525085872523004	0.1
42.21	1735.6909069811993			-8.830496231740543	0.1
42.65	1734.2211999009048			-8.573531230030868	0.1
43.1	1732.7180903869676			-8.535911940109456	0.1
43.54	1731.2483833066733			-8.354443934716933	0.1
43.98	1729.6825632105354			-8.37081540117762	0.1
44.42	1727.2706511425936			-8.636807280552764	0.1
44.87	1724.6550580534872			-8.81961877964282	0.1
