depth	true_age	cal_c14_age	sigma_age	d18O	sigma_d18O
0.0	1978.02				
2.5	1970.41	1970.0	0.5		
2.5	1970.41	1969.0	1.5		
27.75	1836.23	1836.0	1.0		
35.25	1787.34	1787.0	1.0		
54.0	1660.91	1660.0	1.5		
72.5	1557.29	1559.0	2.0		
78.75	1512.17	1512.0	1.5		
96.75	1278.68	1278.0	2.5		
0.1	1977.7047265512908			-8.680258871285648	0.1
0.16	1977.5155624820652			-8.536039124179558	0.1
0.26	1977.200289033356			-8.614237791277128	0.1
0.36	1976.885015584647			-8.539830699931272	0.1
0.52	1976.3805780667121			-8.683704670336406	0.1
0.68	1975.8761405487774			-8.71438271062256	0.1
0.78	1975.5608671000682			-8.643743304481985	0.1
0.89	1975.2140663064881			-8.638111981998446	0.1
1.04	1974.7411561334243			-8.925204987700273	0.1
1.2	1974.2367186154897			-8.85908141741979	0.1
1.3	1973.9214451667804			-8.902762123211128	0.1
1.41	1973.5746443732003			-8.795703199528896	0.1
1.56	1973.1017342001364			-8.925059090285089	0.1
1.72	1972.5972966822019			-8.786933649901458	0.1
1.82	1972.2820232334927			-8.894933597183115	0.1
1.93	1971.9157553266643			-8.77467880782969	0.1
2.08	1971.3007250138057			-8.714339599906738	0.1
2.24	1970.5962120637503			-8.719768937280364	0.1
2.34	1970.130245829556			-8.768368725095531	0.1
2.45	1969.6176829719425			-8.813785264909498	0.1
2.6	1968.9187336206514			-8.860526400213272	0.1
2.71	1968.4061707630378			-8.851723835145888	0.1
2.76	1968.1731876459407			-8.601931287894939	0.1
2.81	1967.9402045288437			-8.772051721088173	0.1
2.86	1967.7072214117468			-8.565904895093848	0.1
2.97	1967.1946585541332			-8.358533230607412	0.1
3.13	1966.4491125794225			-8.4640054961193	0.1
3.28	1965.7501632281314			-8.506213496462571	0.1
3.39	1965.2376003705178			-8.499212566727868	0.1
3.49	1964.7716341363237			-8.478658404722468	0.1
3.65	1964.0260881616132			-8.214561569196318	0.1
3.8	1963.327138810322			-8.301140199343116	0.1
3.91	1962.8282601844858			-8.419994433887378	0.1
4.01	1962.396682100277			-8.224568847010959	0.1
4.17	1961.7359754096597			-8.497172081831609	0.1
4.32	1961.1543010576531			-8.587499617107504	0.1
4.43	1960.7277398661815			-8.592089490547078	0.1
4.53	1960.3399569648439			-8.463517961638011	0.1
4.69	1959.7195043227034			-8.688737209136688	0.1
4.84	1959.1378299706969			-8.485617330037591	0.1
4.95	1958.7112687792255			-8.600565505825285	0.1
5.04	1958.3622641680215			-8.629192753373673	0.1
5.16	1957.8969246864162			-8.551631076338106	0.1
5.28	1957.431585204811			-8.450455536222513	0.1
5.36	1957.1213588837409			-8.351358586681805	0.1
5.44	1956.8111325626705			-8.655840079043752	0.1
5.56	1956.3457930810653			-8.547983176663443	0.1
5.69	1955.8416753093263			-8.717221597300586	0.1
5.77	1955.5314489882562			-8.590389519775	0.1
5.85	1955.2212226671859			-8.485511381382752	0.1
5.97	1954.6585210173919			-8.632655631745827	0.1
6.09	1954.0075881714758			-8.758482869320911	0.1
6.17	1953.450001934163			-8.808036070331749	0.1
6.25	1952.8902154019202			-8.73477472280407	0.1
6.37	1952.0505356035558			-8.575780379820092	0.1
6.77	1949.2516029423414			-8.652579274985792	0.1
7.18	1946.3826969645963			-8.740733313772967	0.1
7.58	1943.5837643033817			-8.815320726273898	0.1
7.98	1940.9253631464503			-8.396357336040221	0.1
8.39	1939.948668463174			-8.616935500214119	0.1
8.79	1939.2346002109355			-8.295113285749387	0.1
9.19	1938.5205319586971			-8.600546512184875	0.1
9.6	1937.7837339141915			-8.499578597171237	0.1
10.0	1937.0531874970666			-8.524622856663324	0.1
10.43	1935.9738716673778			-8.467048327717597	0.1
10.85	1934.8987966119703			-8.530326408011854	0.1
11.28	1933.7981245314338			-8.580801738619755	0.1
11.71	1932.6974524508973			-8.623369741076687	0.1
12.14	1931.7165747073539			-8.556974956089606	0.1
12.56	1930.9614366594926			-8.518486437030095	0.1
12.99	1930.1984154327988			-8.42797920630401	0.1
13.42	1929.435394206105			-8.597197939254569	0.1
13.85	1928.5878356136084			-8.553085725744364	0.1
14.27	1927.4384385246617			-8.76611783902192	0.1
14.7	1925.8971843337795			-8.474994652271	0.1
15.13	1924.3559301428973			-8.178641266633935	0.1
15.57	1922.778832831297			-8.173610958332349	0.1
16.01	1921.0850878564536			-8.377745624921443	0.1
16.45	1917.7565548650668			-8.297715195662581	0.1
16.89	1914.3528871736155			-8.648434596194818	0.1
17.32	1911.026575566061			-8.548223836611886	0.1
17.76	1907.6229078746096			-8.611005769445292	0.1
18.2	1903.914383479625			-8.497109975700832	0.1
18.64	1899.8400310404006			-8.411830457940457	0.1
19.08	1895.765678601176			-8.585126630464082	0.1
19.52	1891.6913261619516			-8.434572971999593	0.1
19.96	1887.7540566139317			-8.589409358555542	0.1
20.38	1886.1673510398405			-8.56829602603944	0.1
20.81	1884.9461204797476			-8.678040739274742	0.1
21.23	1883.7532906303547			-8.752592989821434	0.1
21.65	1882.5604607809616			-8.738176047872823	0.1
22.08	1881.1310944789448			-8.81170390728656	0.1
22.5	1879.105855161678			-8.584755863939051	0.1
22.92	1877.0389673360544			-8.380362636709487	0.1
23.35	1874.922867895535			-8.543214869968752	0.1
23.77	1872.8559800699118			-8.524743530614744	0.1
24.19	1868.6811126853488			-8.623531902126262	0.1
24.62	1861.794322664072			-8.489364601723848	0.1
25.04	1855.067690550267			-8.568597883246897	0.1
25.44	1848.6613742514048			-8.516319182112305	0.1
25.83	1842.4152158600143			-8.45565318169659	0.1
26.23	1839.0776718163766			-8.89104578941986	0.1
26.63	1837.954205687033			-8.810763589397132	0.1
27.02	1836.8780992728641			-8.92316100636221	0.1
27.42	1835.774400386537			-9.05885987392539	0.1
27.82	1834.627596914758			-8.867350728145245	0.1
28.21	1832.4439882342842			-9.24242902764747	0.1
28.61	1829.148657249372			-9.041698337284924	0.1
29.01	1825.8533262644598			-8.871941737346523	0.1
29.4	1822.6403785541706			-8.536264642534938	0.1
29.8	1819.3450475692584			-8.436607245554198	0.1
30.22	1815.1195464132988			-8.502484436317836	0.1
30.66	1809.9638750862916			-8.261795019484236	0.1
31.11	1804.6910294109434			-8.790342296170945	0.1
31.55	1799.5353580839362			-8.623731121302804	0.1
31.99	1794.689255548984			-8.46638644565019	0.1
32.43	1793.2117159867212			-8.517209074307575	0.1
32.88	1792.1120453126744			-8.743351743548725	0.1
33.32	1791.0368117647174			-8.495520818394217	0.1
33.76	1789.9594686297382			-8.51810678839725	0.1
34.2	1788.807598141421			-8.501143529589202	0.1
34.65	1787.5307477807635			-8.457537163323176	0.1
35.09	1786.282271872565			-8.465471062539304	0.1
35.54	1785.0054215119073			-8.675056653900693	0.1
35.98	1783.6450400948931			-8.34526302865251	0.1
36.43	1781.4808283628172			-8.673470693710776	0.1
36.88	1779.158233592612			-8.557598645045395	0.1
37.32	1776.8872520395228			-8.626165854789331	0.1
37.77	1774.5646572693179			-8.628275161897609	0.1
38.21	1771.0730430207134			-8.82310847301186	0.1
38.66	1766.1348067601186			-8.904073046263456	0.1
39.11	1761.1965704995237			-8.73132512590281	0.1
39.55	1756.3680728224977			-8.68822277973597	0.1
40.0	1751.780087448078			-8.788088278622187	0.1
40.44	1750.4036584565122			-8.754649936395367	0.1
40.88	1749.3774803511214			-8.737296465491715	0.1
41.33	1748.3279800160628			-8.765182392839627	0.1
41.77	1747.3018019106723			-8.805670629174845	0.1
42.21	1746.5247242478536			-8.711476043991814	0.1
42.65	1745.865598048691			-8.96139044558209	0.1
43.1	1745.24266472434			-8.847823739161921	0.1
43.54	1744.6335743627526			-8.860605912123713	0.1
43.98	1744.0244840011649			-8.820917648924375	0.1
44.42	1741.7809387916773			-8.705341161104451	0.1
44.87	1739.4068038445762			-8.86580533215975	0.1
