depth	true_age	cal_c14_age	sigma_age	d18O	sigma_d18O
0.0	1978.02				
2.5	1970.41	1970.0	0.5		
2.5	1970.41	1969.0	1.5		
27.75	1836.23	1836.0	1.0		
35.25	1787.34	1787.0	1.0		
54.0	1660.91	1660.0	1.5		
72.5	1557.29	1559.0	2.0		
78.75	1512.17	1512.0	1.5		
96.75	1278.68	1278.0	2.5		
0.1	1977.6677945131878			-8.652455209427046	0.1
0.16	1977.4564712211004			-8.535585717084867	0.1
0.26	1977.1042657342884			-8.687646308115722	0.1
0.36	1976.7520602474763			-8.74631726901407	0.1
0.52	1976.1885314685767			-8.806664003189104	0.1
0.68	1975.6250026896773			-8.787476719347602	0.1
0.78	1975.2727972028651			-8.545998885189407	0.1
0.89	1974.8853711673717			-8.569184352625278	0.1
1.04	1974.3570629371534			-8.87603791576019	0.1
1.2	1973.793534158254			-8.839678531687959	0.1
1.3	1973.4413286714419			-9.032071455088744	0.1
1.41	1973.0539026359484			-9.07708179345858	0.1
1.56	1972.52559440573			-9.246436268067777	0.1
1.72	1971.9620656268307			-9.04123957247542	0.1
1.82	1971.6098601400186			-8.786630657237804	0.1
1.93	1971.222434104525			-8.774223864362229	0.1
2.08	1970.788288480754			-8.768862084055964	0.1
2.24	1970.3982406672974			-8.96395241527316	0.1
2.34	1970.1544607838869			-8.79185555826095	0.1
2.45	1969.8871611072157			-8.926816958548367	0.1
2.6	1969.5242513883688			-8.83079843681535	0.1
2.71	1969.2581175945477			-8.82284796758542	0.1
2.76	1969.1371476882655			-8.617717550891191	0.1
2.81	1969.016177781983			-8.849816551479115	0.1
2.86	1968.8952078757009			-8.71860163466868	0.1
2.97	1968.6290740818797			-8.80475503041866	0.1
3.13	1968.2419703817764			-8.756797959402713	0.1
3.28	1967.8790606629293			-8.459929795908552	0.1
3.39	1967.6129268691084			-8.663527768358623	0.1
3.49	1967.3709870565438			-8.647380286457414	0.1
3.65	1966.9823140842532			-8.633997459859698	0.1
3.8	1966.5840679675962			-8.566133369551384	0.1
3.91	1966.292020815381			-8.397125578406472	0.1
4.01	1966.026523404276			-8.432021405246003	0.1
4.17	1964.9712166425163			-8.55515862186505	0.1
4.32	1963.9425013160917			-8.306012916237217	0.1
4.43	1963.1881100767137			-8.215046369902026	0.1
4.53	1962.502299859097			-8.458787936533994	0.1
4.69	1961.405003510911			-8.678270823287923	0.1
4.84	1960.3762881844864			-8.540414313205961	0.1
4.95	1959.6218969451083			-8.55609288626779	0.1
5.04	1959.0046677492535			-8.34347215505482	0.1
5.16	1958.1816954881137			-8.51930555098392	0.1
5.28	1957.3587232269742			-8.659963120788953	0.1
5.36	1956.810075052881			-8.53498809497492	0.1
5.44	1956.261426878788			-8.506930588827776	0.1
5.56	1955.4384546176482			-8.743833850098689	0.1
5.69	1954.546901334747			-8.545320580551143	0.1
5.77	1953.9982531606538			-8.83043363580171	0.1
5.85	1953.4496049865606			-8.87477293897186	0.1
5.97	1952.822475032576			-8.787555940909433	0.1
6.09	1952.4311763468133			-8.799551007027032	0.1
6.17	1952.1703105563047			-8.765193255160613	0.1
6.25	1951.9474039291338			-8.843076649611202	0.1
6.37	1951.7201307782525			-8.625057422977372	0.1
6.77	1950.962553608649			-8.657429480103431	0.1
7.18	1950.1860370098052			-8.586926072742118	0.1
7.58	1949.4284598402014			-8.743739674421247	0.1
7.98	1948.6435319918521			-8.568801044251183	0.1
8.39	1947.7924862928996			-8.732842423818054	0.1
8.79	1946.9304170424198			-8.916889895988382	0.1
9.19	1946.06834779194			-8.611431399394728	0.1
9.6	1945.184726810198			-8.693737860916421	0.1
10.0	1944.1686256063558			-8.669320025955368	0.1
10.43	1942.1461644574179			-8.495859086500943	0.1
10.85	1940.0202874737756			-8.386931930710283	0.1
11.28	1937.8437943714753			-8.54106577271699	0.1
11.71	1935.667301269175			-8.295201515252122	0.1
12.14	1933.6936510760677			-8.505943162003238	0.1
12.56	1932.1763028200048			-8.507768779937532	0.1
12.99	1930.6228272245119			-8.492422876543264	0.1
13.42	1929.0693516290191			-8.542939121963078	0.1
13.85	1927.5158760335262			-8.702843756733946	0.1
14.27	1925.5739568137146			-8.55412279591918	0.1
14.7	1923.3443126463253			-8.383460069445135	0.1
15.13	1921.1146684789362			-8.402033276965472	0.1
15.57	1918.8331721216077			-8.22254428312986	0.1
16.01	1916.3707912976015			-8.368029811815655	0.1
16.45	1912.1477551450166			-8.718136997753167	0.1
16.89	1907.7909995093526			-8.57219854147611	0.1
17.32	1903.5332610472262			-8.670428725720042	0.1
17.76	1899.176505411562			-8.43770292592102	0.1
18.2	1895.5023646766517			-8.59817912166072	0.1
18.64	1892.647361822646			-8.379008815351982	0.1
19.08	1889.7923589686402			-8.51306364214921	0.1
19.52	1886.9373561146342			-8.761067324289565	0.1
19.96	1884.0823532606285			-8.88081076806872	0.1
20.38	1881.7478138531078			-8.690990077129868	0.1
20.81	1879.3997946735983			-8.724963770530946	0.1
21.23	1877.1063805912866			-8.392749789662599	0.1
21.65	1874.812966508975			-8.385656628950034	0.1
22.08	1872.6568379158807			-8.42320390345987	0.1
22.5	1871.216532010881			-8.631089012780546	0.1
22.92	1869.8009168901006			-8.723794241305628	0.1
23.35	1868.3515966473965			-8.519455183573916	0.1
23.77	1866.9285135854877			-8.38346457177445	0.1
24.19	1864.332026966167			-8.818572884068361	0.1
24.62	1860.19330693895			-8.527984672151828	0.1
25.04	1856.1508362146917			-8.342790913875374	0.1
25.44	1852.3008640963503			-8.395947183160185	0.1
25.83	1848.5471412809677			-8.6908844239302	0.1
26.23	1845.3846777521067			-8.762257005101159	0.1
26.63	1842.7303727459052			-8.307463288060719	0.1
27.02	1840.1424253648588			-8.607322005292897	0.1
27.42	1837.4881203586572			-8.897390347487246	0.1
27.82	1834.8338153524558			-8.880732725035694	0.1
28.21	1831.9986050019359			-9.042290476150805	0.1
28.61	1828.8733229110233			-9.09417276550112	0.1
29.01	1825.7480408201106			-8.751969033267299	0.1
29.4	1822.700890781471			-8.716262931016654	0.1
29.8	1819.5756086905583			-8.410050533041778	0.1
30.22	1816.4472836817765			-8.484147841618345	0.1
30.66	1813.3159157551258			-8.364261935209777	0.1
31.11	1810.1133803755968			-8.582250731576591	0.1
31.55	1806.982012448946			-8.8485672030823	0.1
31.99	1803.9135712220416			-8.704876795122932	0.1
32.43	1802.197206768679			-8.7407365115358	0.1
32.88	1800.541342500465			-8.540253571882051	0.1
33.32	1798.9222752159887			-8.516548285757855	0.1
33.76	1797.3032079315126			-8.454671047159362	0.1
34.2	1794.9091331210789			-8.558050620159573	0.1
34.65	1791.5095019194598			-8.660776264110666	0.1
35.09	1788.1854180778766			-8.665234520681711	0.1
35.54	1784.7857868762576			-8.468791370333108	0.1
35.98	1781.636083936504			-8.435160924134589	0.1
36.43	1780.0330206139372			-8.454041269170109	0.1
36.88	1778.69601022952			-8.726541002895837	0.1
37.32	1777.3887111869788			-8.911208429722548	0.1
37.77	1776.0517008025615			-8.684901688768955	0.1
38.21	1771.156776217007			-8.51172587284666	0.1
38.66	1762.1319968118476			-8.767333775513693	0.1
39.11	1753.107217406688			-8.78475936652413	0.1
39.55	1744.2829886549764			-8.846300578806142	0.1
40.0	1735.546212036627			-8.599353180455783	0.1
40.44	1732.706337488483			-8.463538488776372	0.1
40.88	1730.1544657271493			-8.391830328788423	0.1
41.33	1727.5445968803308			-8.492889386653427	0.1
41.77	1724.9927251189972			-8.575828970285068	0.1
42.21	1722.5701853950397			-8.885499590898966	0.1
42.65	1720.2892950453515			-8.65560137593426	0.1
43.1	1717.9565662786247			-8.723050215896803	0.1
43.54	1715.6756759289365			-8.791708381700898	0.1
43.98	1713.2980605901203			-8.72368987812602	0.1
44.42	1709.157015975017			-8.854244702367472	0.1
44.87	1704.7276308641374			-8.947060788042085	0.1
