depth	true_age	age	sigma_age	d18O	sigma_d18O
0.0	1983.0				
2.5	1969.7777060527824	1970.0	0.5		
27.75	1836.8750095088983	1836.0	1.0		
35.25	1788.5831210549593	1787.0	1.0		
54.0	1657.950653081082	1660.0	1.5		
72.5	1558.9084037807183	1559.0	2.0		
78.75	1514.3713551846208	1512.0	1.5		
96.75	1280.0844204573364	1278.0	2.5		
98.0	1272.6565520251424	1271.0	4.0		
0.1	1982.5017221083228			-8.852982532312748	0.1
0.16	1982.2027553733164			-8.827317128872084	0.1
0.26	1981.7044774816393			-8.80077510631012	0.1
0.36	1981.2061995899621			-8.950448357348371	0.1
0.52	1980.4089549632788			-8.863718515389971	0.1
0.68	1979.6117103365953			-8.641302306474337	0.1
0.78	1979.113432444918			-8.63347170761033	0.1
0.89	1978.5653267640732			-8.555314536923238	0.1
1.04	1977.8179099265576			-8.531097964595997	0.1
1.2	1977.020665299874			-8.664640740930574	0.1
1.3	1976.522387408197			-8.647521500845862	0.1
1.41	1975.974281727352			-8.600445238622653	0.1
1.56	1975.2268648898362			-8.574545843396589	0.1
1.72	1974.4296202631529			-8.57080672554124	0.1
1.82	1973.9307821182256			-8.408855634956602	0.1
1.93	1973.3782038391319			-8.491653905897145	0.1
2.08	1972.5133643882689			-8.475740776388651	0.1
2.24	1971.4712088318931			-8.725224649676296	0.1
2.34	1970.8198616091581			-8.712586116771243	0.1
2.45	1970.1033796641498			-8.682315046111269	0.1
2.6	1969.1263588300476			-8.708570539443137	0.1
2.71	1968.4098768850392			-8.699787499458258	0.1
2.76	1968.0842032736718			-8.660825761327876	0.1
2.81	1967.7585296623045			-8.639469297867715	0.1
2.86	1967.4328560509368			-8.50108243100136	0.1
2.97	1966.7163741059285			-8.620859211170124	0.1
3.13	1965.6742185495527			-8.647069777568781	0.1
3.28	1964.6971977154506			-8.789460504560557	0.1
3.39	1963.9807157704422			-8.880517540538989	0.1
3.49	1963.3293685477072			-8.740656460291897	0.1
3.65	1962.2872129913314			-8.836666868298515	0.1
3.8	1961.3101921572293			-8.859170977844377	0.1
3.91	1960.5978058568503			-8.717654367620238	0.1
4.01	1959.9798769690203			-8.807177433126691	0.1
4.17	1959.5379450851938			-8.741474472836469	0.1
4.32	1959.1236339441066			-8.616796840165435	0.1
4.43	1958.819805773976			-8.700202180305096	0.1
4.53	1958.5435983465843			-8.777860471783457	0.1
4.69	1958.101666462758			-8.603151481250844	0.1
4.84	1957.6873553216706			-8.775220925795285	0.1
4.95	1957.38352715154			-8.571293464960679	0.1
5.04	1957.1349404668877			-8.679687447522156	0.1
5.16	1956.803491554018			-8.365165062412927	0.1
5.28	1956.472042641148			-8.556803955374718	0.1
5.36	1956.2510766992348			-8.587402291660228	0.1
5.44	1956.0301107573216			-8.509284378715417	0.1
5.56	1955.6986618444516			-8.455658484419715	0.1
5.69	1955.3395921888427			-8.621149134107627	0.1
5.77	1955.1186262469296			-8.46589902835024	0.1
5.85	1954.8904587652369			-8.559514106444277	0.1
5.97	1954.5356861309974			-8.459778056334093	0.1
6.09	1954.1809134967577			-8.547405558652008	0.1
6.17	1953.9398760494707			-8.679315455488906	0.1
6.25	1953.6841239956082			-8.552764763988684	0.1
6.37	1953.300495914814			-8.530635582683907	0.1
6.77	1952.0217356455007			-8.337624138598652	0.1
7.18	1950.7110063694545			-8.445566950439938	0.1
7.58	1949.4322461001411			-8.501752274240198	0.1
7.98	1948.1460587772997			-8.369400746282619	0.1
8.39	1946.7086345719003			-8.40104079763388	0.1
8.79	1945.2923132945039			-8.468476352418756	0.1
9.19	1943.8759920171071			-8.849217198177184	0.1
9.6	1942.4242627077756			-8.663769691552957	0.1
10.0	1941.0290295465538			-8.802472495748201	0.1
10.43	1940.6002820630129			-8.532787315166614	0.1
10.85	1940.2021031460504			-8.686265409937183	0.1
11.28	1939.7725816035666			-8.69967858057195	0.1
11.71	1939.3215651418707			-8.724737025928599	0.1
12.14	1938.1674373273502			-8.613522887197611	0.1
12.56	1935.334195260584			-8.638099995736551	0.1
12.99	1932.4334950493712			-8.491405765466164	0.1
13.42	1929.5327948381582			-8.488328601352567	0.1
13.85	1926.6320946269454			-8.524817706349682	0.1
14.27	1925.2490111458696			-8.585654534748295	0.1
14.7	1924.4722491453072			-8.354786403955613	0.1
15.13	1923.7670655375607			-8.407355592121045	0.1
15.57	1923.0454823110294			-8.604551066353173	0.1
16.01	1922.0405982455597			-8.471420899345585	0.1
16.45	1916.7607257975703			-8.38850741087735	0.1
16.89	1911.3051434008737			-8.256425688459462	0.1
17.32	1905.9735515131927			-8.321822541491725	0.1
17.76	1900.5179691164958			-8.646806218743745	0.1
18.2	1896.931207736497			-8.744737386443862	0.1
18.64	1895.5870315765358			-8.768286931677496	0.1
19.08	1894.2428554165747			-8.655843621021306	0.1
19.52	1892.8986792566134			-8.647496021351134	0.1
19.96	1891.3793228735003			-8.465411173999	0.1
20.38	1888.0880539529321			-8.62725452659819	0.1
20.81	1884.3037695746996			-8.536959287783587	0.1
21.23	1880.607491809914			-8.459898903498202	0.1
21.65	1876.9112140451289			-8.632978957687827	0.1
22.08	1873.465464735012			-8.7655100666273	0.1
22.5	1871.3338325640984			-8.827670184200327	0.1
22.92	1869.236226555383			-8.503796706541765	0.1
23.35	1867.0886775464596			-8.35786179694087	0.1
23.77	1864.9910715377441			-8.362933320660998	0.1
24.19	1862.1030505347703			-8.647773827724683	0.1
24.62	1858.166667591474			-8.661284733656663	0.1
25.04	1854.3218284375562			-8.768489063645646	0.1
25.44	1850.6600768623966			-8.485013869995239	0.1
25.83	1847.0898690766162			-8.643373668804466	0.1
26.23	1844.3956352376856			-8.758152575004493	0.1
26.63	1842.4165232037942			-8.587186106378187	0.1
27.02	1840.48688897075			-8.560147629066552	0.1
27.42	1838.5077769368586			-8.719277610779946	0.1
27.82	1836.5286649029672			-8.538683219761976	0.1
28.21	1834.1511198474227			-8.744776550104113	0.1
28.61	1831.3188443421022			-8.463504593805803	0.1
29.01	1828.4865688367818			-8.935063249349414	0.1
29.4	1825.7251002190942			-9.009045807823117	0.1
29.8	1822.8928247137737			-8.937871773451656	0.1
30.22	1820.5699879735837			-8.953654278839096	0.1
30.66	1818.756589998524			-8.965702442981536	0.1
31.11	1816.901978433122			-8.914225477821633	0.1
31.55	1815.0885804580623			-8.753677314598173	0.1
31.99	1813.2792351822532			-8.744914068389061	0.1
32.43	1811.5033744188017			-8.594369994854967	0.1
32.88	1809.692287178717			-8.453878101902724	0.1
33.32	1807.9214463217452			-8.457477855901415	0.1
33.76	1806.1506054647734			-8.488323090729654	0.1
34.2	1802.5284408756452			-8.51614141672098	0.1
34.65	1796.5518752382084			-8.607428886588952	0.1
35.09	1790.7081221704923			-8.52962454129242	0.1
35.54	1784.7315565330555			-8.50185100124054	0.1
35.98	1778.9778575508928			-8.582652161170657	0.1
36.43	1777.8644340783278			-8.41974237417542	0.1
36.88	1777.0714459122662			-8.387975671778765	0.1
37.32	1776.2960797054504			-8.488891651189327	0.1
37.77	1775.4711112257894			-8.532730340904415	0.1
38.21	1774.1281327875693			-8.445533469347106	0.1
38.66	1772.0503034536432			-8.571031837316662	0.1
39.11	1769.972474119717			-8.565087458849199	0.1
39.55	1767.9408187709892			-8.59768146573069	0.1
40.0	1765.9549386129315			-8.748627592059565	0.1
40.44	1765.2867477370157			-8.37907750491736	0.1
40.88	1764.655285276715			-8.645130015067384	0.1
41.33	1764.037709285628			-8.723931041919519	0.1
41.77	1763.386424530284			-8.557664596370522	0.1
42.21	1762.2852975226058			-8.491981868381886	0.1
42.65	1760.540153322543			-8.62157253757549	0.1
43.1	1758.7553467542966			-8.85981657146955	0.1
43.54	1757.010202554234			-8.758692688341739	0.1
43.98	1755.233416090548			-8.89260889001925	0.1
44.42	1753.0439236870006			-8.692727807756583	0.1
44.87	1750.7491273325682			-8.532081894341447	0.1
45.34	1748.3523400290494			-8.636690038182536	0.1
45.58	1747.1284486400189			-8.515616731128334	0.1
45.68	1746.6184938945894			-8.552801033362394	0.1
45.83	1745.853561776445			-8.715454326655163	0.1
46.17	1741.9096296959203			-8.856266487926346	0.1
46.31	1739.3756222732072			-8.788860859355285	0.1
46.8	1730.5065962937115			-8.833020385958314	0.1
47.28	1721.8185708444094			-8.45271484982512	0.1
47.77	1712.9495448649134			-8.782134039735855	0.1
48.25	1708.4482125951993			-8.711665671611366	0.1
48.74	1707.5284965936828			-8.60053220982702	0.1
49.22	1706.7124731925326			-8.875943705790544	0.1
49.71	1705.8291788074678			-8.808404285381693	0.1
50.19	1704.0318508919759			-8.63813407615026	0.1
50.66	1700.681037162328			-8.907359900512445	0.1
51.13	1697.3302234326802			-8.727830797570851	0.1
51.6	1693.9794097030322			-8.784659703588188	0.1
52.08	1689.7922940915735			-8.808055288720563	0.1
52.55	1681.9470585224917			-8.442302018117704	0.1
53.02	1674.1018229534097			-8.787672477428972	0.1
53.49	1666.2565873843278			-9.00432692717852	0.1
53.96	1658.411351815246			-8.849602999204775	0.1
54.43	1656.6627351808868			-8.451874259587164	0.1
54.91	1655.4561078192587			-8.735706295316023	0.1
55.32	1654.4254469478678			-8.720931584311032	0.1
55.73	1653.3947860764772			-8.666042789299539	0.1
56.13	1651.7011069546681			-8.748715160117937	0.1
56.53	1648.5781800903815			-8.64633917185538	0.1
56.94	1645.3771800544876			-8.390543714249064	0.1
57.34	1642.2542531902009			-8.752146822821198	0.1
57.74	1639.1313263259144			-8.858630801443557	0.1
58.15	1636.6838689783235			-8.881686100826427	0.1
58.55	1635.570389282845			-8.946212109315542	0.1
58.95	1634.4569095873665			-8.782527974264447	0.1
59.35	1633.3434298918878			-8.944551446915604	0.1
59.76	1632.2021132040225			-8.907467291478541	0.1
60.2	1630.3770643464197			-8.716545422242307	0.1
60.69	1627.542509797647			-8.457851762016066	0.1
61.18	1624.707955248874			-8.456731812790268	0.1
61.67	1621.873400700101			-8.77258165245116	0.1
62.16	1618.938577232112			-8.875363123044009	0.1
62.65	1615.7969491182394			-8.953301093395197	0.1
63.14	1612.6553210043667			-8.52183669916193	0.1
63.63	1609.5136928904942			-8.784664900379598	0.1
64.12	1606.4068204616142			-8.77297094429525	0.1
64.61	1603.4071113947948			-8.902976941941326	0.1
65.1	1600.4074023279754			-8.334375622257664	0.1
65.58	1597.46891181354			-8.364671194600128	0.1
66.07	1594.773493820111			-8.616874495539388	0.1
66.55	1593.5490091680704			-8.635821186586156	0.1
67.04	1592.3474191894961			-8.614124780562456	0.1
67.52	1591.1703514553824			-8.56227885764204	0.1
68.01	1589.9345945380371			-8.736241912497931	0.1
68.5	1587.4069918738428			-8.878253858654872	0.1
68.98	1584.924151700314			-9.017725241751853	0.1
69.47	1582.3895856898366			-9.174826248831554	0.1
69.95	1579.8798740937223			-9.296622160948168	0.1
70.37	1576.7255538657394			-9.253499738766822	0.1
70.79	1573.4080505261534			-8.94092574373113	0.1
71.2	1570.1695353613193			-8.874227956378531	0.1
71.61	1566.9310201964854			-8.856767412609933	0.1
72.02	1563.6291540779473			-9.076680841349392	0.1
72.44	1559.5014530927708			-8.844660152063863	0.1
72.85	1555.4489494604125			-8.469790103737536	0.1
73.26	1551.3964458280539			-8.504900063254123	0.1
73.68	1547.2451006436868			-8.260326610740245	0.1
74.09	1543.7250762375068			-8.667472167841401	0.1
74.5	1542.0983113021834			-8.551785801881733	0.1
74.92	1540.4318691733158			-8.600413174253529	0.1
75.35	1538.7257498509036			-8.519577986038074	0.1
75.8	1536.9352632574542			-8.437817242715397	0.1
76.24	1534.1304044438575			-8.607235020079155	0.1
76.68	1530.4338034283217			-8.648368039708023	0.1
77.12	1526.737202412786			-8.425629433279266	0.1
77.57	1522.9565877378066			-8.37605373335906	0.1
78.01	1519.3222672141221			-8.532741878010208	0.1
78.45	1516.3604132634584			-8.551030406651595	0.1
78.89	1513.4431280811634			-8.562721062241542	0.1
79.12	1511.9181835540544			-8.699171677711787	0.1
79.34	1510.4595409629069			-8.760480075543201	0.1
79.56	1509.0008983717594			-8.823141053022551	0.1
79.78	1507.5422557806119			-8.949890880022316	0.1
80.0	1506.016689376436			-9.054948569445388	0.1
80.26	1496.8164643411033			-8.565413802991857	0.1
80.52	1487.5493154927428			-8.995477601150851	0.1
80.77	1478.638595446242			-8.577901387403683	0.1
81.03	1469.371446597881			-8.971161457352542	0.1
81.29	1460.10429774952			-9.29685681282579	0.1
81.55	1450.8371489011595			-8.653995591717372	0.1
81.8	1441.9264288546585			-8.869968013375246	0.1
82.06	1433.798432188436			-8.852888823829375	0.1
82.32	1429.4676094626734			-8.888707802336679	0.1
82.58	1425.1367867369106			-8.623970188247801	0.1
82.84	1420.805964011148			-9.018701836442442	0.1
83.09	1416.6417113902223			-8.889232148097765	0.1
83.35	1412.31088866446			-8.702656280087705	0.1
83.61	1407.9800659386972			-8.517063932548984	0.1
83.87	1403.6492432129346			-8.670815165653284	0.1
84.12	1399.7724937979872			-8.967662275521128	0.1
84.38	1396.064594685177			-8.71597887072295	0.1
84.64	1392.356695572367			-8.638342747289707	0.1
84.9	1388.648796459557			-8.902084985713591	0.1
85.15	1385.0835088510855			-8.782172378680087	0.1
85.39	1381.6608327469532			-8.905157557957688	0.1
85.63	1378.238156642821			-9.0222818745107	0.1
85.87	1374.8154805386885			-8.668807847989463	0.1
86.12	1372.7210087845883			-8.864692399757855	0.1
86.36	1372.1752934410274			-8.656544436259187	0.1
86.6	1371.6416297848466			-8.829733484687956	0.1
86.84	1371.113669305872			-8.518724989389762	0.1
87.09	1370.5637104736068			-8.49275657869851	0.1
87.33	1370.035749994632			-8.597061267365083	0.1
87.57	1369.5077895156574			-8.517378433949636	0.1
87.82	1368.9522982445126			-8.404302181708797	0.1
88.06	1368.3550715474514			-8.508473742044808	0.1
88.3	1367.730247332262			-8.212805449636038	0.1
88.54	1367.0649569387429			-8.278690829587195	0.1
88.79	1366.3719461121602			-8.126184293416934	0.1
89.03	1365.706655718641			-8.292284387184152	0.1
89.27	1365.041365325122			-8.187624968387984	0.1
89.51	1364.3760749316027			-8.208704980045338	0.1
89.76	1363.678590320384			-8.31921886444119	0.1
90.0	1363.003908860759			-8.203508785147452	0.1
90.25	1359.8221512213647			-8.360220378597342	0.1
90.49	1356.754353630834			-8.409289645547775	0.1
90.74	1353.5587311406978			-8.406890647655304	0.1
90.98	1350.4909335501668			-8.74601570028109	0.1
91.23	1347.2953110600304			-8.524085793089185	0.1
91.47	1344.2275134694999			-8.676766954984732	0.1
91.72	1341.0318909793634			-8.738516103960382	0.1
91.96	1337.9811345187265			-8.663655026647895	0.1
92.21	1336.5565080285749			-8.952255185508111	0.1
92.45	1335.5321814436195			-9.055662106482664	0.1
92.7	1334.4651745842912			-8.788422137025039	0.1
92.94	1333.4408479993358			-8.867056125797985	0.1
93.19	1332.3738411400072			-8.912089561600967	0.1
93.43	1331.3495145550519			-8.698128470086399	0.1
93.68	1330.2825076957236			-9.008666554860909	0.1
93.92	1329.2581811107682			-8.902905166876764	0.1
94.17	1325.1478830511674			-8.811640809171735	0.1
94.41	1319.827145359945			-8.734972268599797	0.1
94.66	1314.284710264922			-8.944828607275891	0.1
94.9	1308.9639725736997			-8.849993868791646	0.1
95.14	1303.6432348824774			-8.914988621081115	0.1
95.38	1298.3224971912555			-9.05648549341091	0.1
95.63	1292.7800620962323			-8.632408650252268	0.1
95.87	1287.45932440501			-8.565722039636073	0.1
96.11	1283.9183086265195			-8.512877499572365	0.1
96.35	1282.4806005630758			-8.531527253115112	0.1
96.59	1281.042892499632			-8.430514201254088	0.1
96.83	1279.6051844361884			-8.275307146845918	0.1
97.07	1278.1674763727447			-8.484861421518449	0.1
97.31	1276.7297683093009			-8.67120234288255	0.1
97.55	1275.292060245857			-8.703655316561203	0.1
97.79	1273.8543521824133			-8.962249498756425	0.1
