Year	d18O	Filtered d18O
1001	-4.477	-4.798
1002	-6.792	-5.029
1003	-5.825	-5.163
1004	-3.920	-5.253
1005	-6.549	-5.364
1006	-6.489	-5.422
1007	-4.539	-5.419
1008	-5.922	-5.421
1009	-5.611	-5.414
1010	-4.644	-5.404
1011	-5.486	-5.426
1012	-6.657	-5.434
1013	-4.755	-5.394
1014	-4.877	-5.369
1015	-6.726	-5.349
1016	-5.899	-5.257
1017	-3.904	-5.128
1018	-3.798	-5.078
1019	-5.060	-5.123
1020	-6.160	-5.179
1021	-5.629	-5.177
1022	-3.640	-5.165
1023	-5.001	-5.224
1024	-6.928	-5.291
1025	-5.677	-5.272
1026	-3.718	-5.230
1027	-5.379	-5.249
1028	-6.594	-5.267
1029	-5.723	-5.202
1030	-3.467	-5.119
1031	-4.690	-5.117
1032	-6.853	-5.134
1033	-3.731	-5.110
1034	-3.822	-5.146
1035	-6.318	-5.256
1036	-7.047	-5.302
1037	-6.842	-5.192
1038	-4.072	-4.978
1039	-4.886	-4.766
1040	-4.036	-4.584
1041	-3.660	-4.447
1042	-3.350	-4.388
1043	-4.182	-4.407
1044	-2.937	-4.503
1045	-5.060	-4.673
1046	-5.723	-4.841
1047	-4.129	-4.976
1048	-6.894	-5.086
1049	-4.351	-5.147
1050	-6.337	-5.173
1051	-5.227	-5.159
1052	-5.584	-5.100
1053	-5.311	-5.007
1054	-3.516	-4.923
1055	-4.631	-4.908
1056	-5.875	-4.918
1057	-5.807	-4.864
1058	-4.707	-4.739
1059	-3.544	-4.619
1060	-3.973	-4.569
1061	-4.225	-4.584
1062	-3.632	-4.659
1063	-4.900	-4.791
1064	-6.061	-4.914
1065	-5.298	-4.970
1066	-5.648	-4.962
1067	-4.557	-4.921
1068	-4.469	-4.892
1069	-4.326	-4.908
1070	-6.382	-4.927
1071	-5.155	-4.882
1072	-3.433	-4.820
1073	-5.980	-4.792
1074	-5.454	-4.720
1075	-3.860	-4.600
1076	-3.728	-4.519
1077	-4.378	-4.499
1078	-4.987	-4.493
1079	-3.451	-4.491
1080	-3.932	-4.544
1081	-5.582	-4.630
1082	-4.230	-4.695
1083	-3.972	-4.780
1084	-6.041	-4.889
1085	-6.456	-4.921
1086	-4.789	-4.849
1087	-3.281	-4.779
1088	-5.953	-4.755
1089	-3.041	-4.752
1090	-4.539	-4.812
1091	-5.880	-4.904
1092	-5.125	-4.949
1093	-5.741	-4.941
1094	-6.307	-4.852
1095	-2.751	-4.720
1096	-3.962	-4.667
1097	-5.901	-4.668
