depth	true_age	age	sigma_age	d18O	sigma_d18O
0.0	2010.0				
31.0	1949.50880387838	1949.09	1.0		
59.0	1884.9000124384793	1885.68	2.2		
64.5	1856.8386027282743	1849.3	13.65		
69.0	1812.7428579437399	1815.3	13.42		
79.0	1775.804049953367	1778.27	2.83		
104.0	1676.7671919855136	1675.08	1.3		
107.5	1670.1153832665411	1667.96	1.87		
123.0	1635.6911843817347	1657.41	5.48		
140.3	1534.672588037963	1523.4	36.74		
174.5	1367.1176055267754	1362.34	5.22		
0.5	2009.4272066963126				0.08
1.5	2008.2816200889379				0.08
2.5	2007.1360334815631				0.08
3.0	2006.5632401778757				0.08
3.5	2005.9904468741884				0.08
4.5	2005.283604021467				0.08
5.5	2004.5767611687456				0.08
6.0	2004.223339742385				0.08
7.5	2002.5065017680154				0.08
8.5	2000.486511524719				0.08
10.0	1997.4565261597743			-4.657613079058677	0.08
11.8	1994.784239203793			-4.612694689890935	0.08
12.5	1993.889158985306			-4.846442218627631	0.08
13.5	1992.610472958896			-4.944120784238949	0.08
14.5	1991.0591668545312			-4.951150902225576	0.08
15.5	1989.2352406722116			-4.944988949077021	0.08
16.5	1987.4113144898922			-4.668899413663629	0.08
17.5	1985.5873883075726			-4.6695781827190865	0.08
19.0	1982.1559228160322			-4.664651955096586	0.08
20.0	1979.8682791550054			-4.6468886889558325	0.08
21.0	1977.5806354939784			-4.459191867006149	0.08
22.0	1973.3420044037614			-4.611102487771957	0.08
23.0	1969.1033733135444			-4.818879417297778	0.08
24.0	1964.8647422233273			-5.163882971837921	0.08
25.0	1962.029917471915			-5.173838097144302	0.08
26.0	1960.5988990593073			-5.01442986843941	0.08
27.3	1958.7385751229174			-4.909147771528066	0.08
28.0	1957.736862234092			-4.913135611871337	0.08
29.5	1953.622833056236			-4.644532171348379	0.08
31.0	1949.50880387838			-4.8374151373707495	0.08
32.0	1947.2666172217039			-4.8330803125019814	0.08
33.0	1945.524930026923			-5.092102894150904	0.08
34.5	1942.9123992347515			-5.205466781326393	0.08
35.8	1939.8326363376889			-5.00373630265949	0.08
37.5	1935.1386828258856			-5.005030589097972	0.08
38.5	1932.3775337012955			-4.859270819147032	0.08
40.0	1927.6891494625477			-4.904236691335508	0.08
41.5	1923.0007652237998			-4.91494402690666	0.08
43.0	1918.1324779080248			-4.789278657726708	0.08
44.5	1913.1742390537358			-4.505660688862724	0.08
45.5	1909.86874648421			-4.64093308640044	0.08
47.5	1906.524342149537			-4.741917946110497	0.08
50.0	1901.8640973054248			-4.815843581313893	0.08
52.0	1897.56021411921			-4.919937033553895	0.08
53.5	1894.388392715303			-5.147852444680673	0.08
54.8	1891.6637869257443			-5.006446901090879	0.08
55.5	1890.196691500597			-5.021337274215836	0.08
56.5	1888.4406405705136			-4.846142658379171	0.08
57.5	1887.0243893176998			-4.783503283430714	0.08
59.0	1884.9000124384793			-4.643059173236394	0.08
60.5	1882.362342136365			-4.859934969792633	0.08
61.5	1880.5327974606578			-4.935743822582376	0.08
62.0	1879.618025122804			-5.1066507002858135	0.08
62.5	1878.7032527849503			-5.132391782595714	0.08
63.5	1870.8051878741558			-4.986756755268522	0.08
64.5	1856.8386027282743			-4.744772229283665	0.08
65.0	1849.8553101553334			-4.816213039926622	0.08
66.5	1828.905432436511			-4.824113697071846	0.08
