Year	d18O	Filtered d18O
1001	-8.081	-8.142
1002	-11.379	-8.522
1003	-9.736	-8.734
1004	-8.731	-8.827
1005	-9.470	-8.886
1006	-9.809	-8.894
1007	-7.291	-8.881
1008	-7.896	-8.952
1009	-10.582	-9.078
1010	-7.766	-9.191
1011	-9.200	-9.341
1012	-11.512	-9.484
1013	-9.786	-9.521
1014	-9.034	-9.506
1015	-10.831	-9.474
1016	-10.879	-9.347
1017	-7.047	-9.163
1018	-8.494	-9.060
1019	-7.158	-9.088
1020	-10.073	-9.204
1021	-10.212	-9.303
1022	-9.609	-9.327
1023	-8.354	-9.339
1024	-10.774	-9.357
1025	-9.632	-9.322
1026	-7.014	-9.292
1027	-10.754	-9.333
1028	-9.598	-9.354
1029	-9.228	-9.329
1030	-8.606	-9.322
1031	-8.332	-9.379
1032	-11.653	-9.452
1033	-8.014	-9.477
1034	-8.424	-9.548
1035	-10.977	-9.680
1036	-11.175	-9.739
1037	-10.166	-9.681
1038	-9.803	-9.557
1039	-8.539	-9.431
1040	-9.647	-9.335
1041	-8.817	-9.257
1042	-8.019	-9.223
1043	-9.797	-9.247
1044	-8.212	-9.301
1045	-10.080	-9.379
1046	-10.187	-9.429
1047	-7.954	-9.462
1048	-10.570	-9.525
1049	-9.003	-9.588
1050	-9.708	-9.653
1051	-11.291	-9.690
1052	-11.068	-9.608
1053	-10.034	-9.398
1054	-7.988	-9.147
1055	-6.680	-8.997
1056	-9.584	-8.977
1057	-9.102	-8.982
1058	-8.177	-8.986
1059	-7.968	-9.054
1060	-8.943	-9.204
1061	-10.582	-9.364
1062	-8.907	-9.483
1063	-10.125	-9.588
1064	-9.686	-9.679
1065	-10.598	-9.735
1066	-10.103	-9.739
1067	-9.685	-9.703
1068	-9.627	-9.660
1069	-9.263	-9.629
1070	-10.266	-9.600
1071	-10.619	-9.518
1072	-7.997	-9.401
1073	-9.551	-9.320
1074	-10.323	-9.235
1075	-8.305	-9.110
1076	-8.193	-9.019
1077	-8.997	-8.990
1078	-9.236	-8.974
1079	-8.247	-8.963
1080	-7.952	-9.008
1081	-10.809	-9.081
1082	-10.456	-9.058
1083	-6.562	-8.982
1084	-9.235	-8.987
1085	-10.433	-9.004
1086	-8.121	-8.964
1087	-8.405	-8.944
1088	-10.078	-8.943
1089	-8.196	-8.918
1090	-7.724	-8.930
1091	-9.791	-9.001
1092	-9.853	-9.043
1093	-10.084	-8.997
1094	-8.771	-8.879
1095	-8.255	-8.751
1096	-6.667	-8.702
1097	-9.881	-8.739
1098	-9.273	-8.757
1099	-8.453	-8.727
1100	-9.288	-8.682
1101	-7.642	-8.639
1102	-7.454	-8.662
1103	-9.477	-8.751
1104	-8.148	-8.853
1105	-8.481	-8.983
1106	-9.899	-9.138
1107	-10.898	-9.226
1108	-8.691	-9.223
1109	-8.449	-9.225
1110	-10.952	-9.236
1111	-8.270	-9.204
1112	-10.004	-9.154
1113	-8.496	-9.100
1114	-7.035	-9.107
1115	-10.629	-9.198
1116	-9.251	-9.269
1117	-9.460	-9.301
1118	-9.911	-9.311
1119	-8.433	-9.308
1120	-10.410	-9.307
1121	-9.039	-9.278
1122	-8.032	-9.265
1123	-9.609	-9.312
1124	-9.570	-9.369
1125	-9.880	-9.398
1126	-8.969	-9.408
1127	-9.297	-9.431
1128	-9.689	-9.466
1129	-9.098	-9.504
1130	-11.926	-9.496
1131	-9.952	-9.361
1132	-7.252	-9.184
1133	-8.167	-9.113
1134	-10.839	-9.094
1135	-9.121	-9.008
1136	-7.065	-8.920
1137	-8.135	-8.942
1138	-10.468	-9.014
1139	-8.069	-9.059
1140	-8.796	-9.125
1141	-8.273	-9.258
1142	-11.158	-9.403
1143	-10.588	-9.458
1144	-9.112	-9.419
1145	-9.296	-9.369
1146	-9.833	-9.317
1147	-6.288	-9.317
1148	-10.686	-9.425
1149	-10.554	-9.519
1150	-10.417	-9.507
1151	-9.043	-9.434
1152	-9.233	-9.360
1153	-8.797	-9.315
1154	-8.758	-9.314
1155	-9.300	-9.355
1156	-8.244	-9.442
1157	-10.117	-9.578
1158	-10.168	-9.705
1159	-10.370	-9.780
1160	-11.011	-9.783
1161	-9.868	-9.706
1162	-9.319	-9.597
1163	-10.077	-9.483
1164	-8.691	-9.364
1165	-9.124	-9.266
1166	-10.712	-9.154
1167	-6.263	-9.036
1168	-7.934	-9.047
1169	-11.127	-9.132
1170	-8.964	-9.151
1171	-8.290	-9.150
1172	-10.323	-9.168
1173	-7.850	-9.183
1174	-10.077	-9.215
1175	-10.160	-9.213
1176	-9.028	-9.144
1177	-7.027	-9.110
1178	-10.908	-9.139
1179	-8.420	-9.150
1180	-9.046	-9.156
1181	-10.319	-9.157
1182	-7.716	-9.138
1183	-10.209	-9.134
1184	-9.901	-9.091
1185	-7.898	-9.009
1186	-8.427	-8.976
1187	-9.811	-8.978
1188	-8.075	-8.973
1189	-7.050	-9.044
1190	-10.315	-9.209
1191	-10.696	-9.334
1192	-9.333	-9.364
1193	-9.362	-9.361
1194	-9.971	-9.344
1195	-8.624	-9.312
1196	-9.694	-9.289
1197	-9.260	-9.262
1198	-9.604	-9.216
1199	-8.279	-9.173
1200	-9.241	-9.163
1201	-8.538	-9.188
1202	-8.738	-9.257
1203	-9.419	-9.366
1204	-11.180	-9.442
1205	-10.231	-9.410
1206	-8.666	-9.308
1207	-9.788	-9.203
1208	-8.455	-9.102
1209	-8.425	-9.033
1210	-8.158	-9.033
1211	-9.724	-9.076
1212	-9.861	-9.090
