depth	true_age	age	sigma_age	d18O	sigma_d18O
0.0	2018.0				
6.0	1922.4885105546093	1921.0	2.0		
9.0	1902.327290889447	1899.0	3.0		
29.0	1778.3367006782116	1784.0	5.0		
48.0	1649.5474102932687	1652.0	2.5		
65.0	1541.0393925554245	1544.0	7.0		
80.0	1455.1023056199228	1454.0	2.5		
113.0	1074.7592752299036	1075.0	2.5		
2.5	1995.2658186981705			-8.91618110695659	0.08
3.0	1979.1180256221785			-9.088214231417714	0.08
3.5	1962.9702325461865			-9.374078910961591	0.08
4.0	1946.8224394701945			-8.939511850657414	0.08
4.5	1930.6746463942025			-8.99467442897692	0.08
5.0	1926.0289228577485			-9.007759770227382	0.08
5.5	1924.2587167061788			-9.149222187637694	0.08
6.0	1922.4885105546093			-9.099268117944716	0.08
6.5	1920.7183044030396			-9.158032068052071	0.08
7.0	1918.4938133583394			-9.142051184921927	0.08
7.5	1914.4521827411163			-8.674211244583129	0.08
8.0	1910.4105521238932			-8.791779085930735	0.08
8.5	1906.3689215066702			-8.760256017436632	0.08
9.0	1902.327290889447			-9.123363980226205	0.08
9.5	1899.5768912370963			-9.14329049685703	0.08
10.0	1897.6873122279937			-9.16043672324659	0.08
10.5	1895.7977332188914			-9.273915513247257	0.08
11.0	1893.9081542097888			-9.25063789908477	0.08
11.5	1892.0185752006864			-9.214871105419109	0.08
12.0	1885.0063642630034			-9.119430496527677	0.08
12.5	1877.9941533253204			-9.06009317382266	0.08
13.0	1870.9819423876374			-9.422236298564146	0.08
13.5	1863.9697314499545			-9.1063970756326	0.08
14.0	1858.2019333072647			-9.393599031975038	0.08
14.5	1854.3007543570648			-9.364343635571835	0.08
15.0	1850.3995754068649			-9.342502224522091	0.08
15.5	1846.4983964566648			-9.28297140809853	0.08
16.0	1842.5972175064649			-9.294063772105776	0.08
16.5	1840.5162094220564			-9.343661021595647	0.08
17.0	1838.8902440540958			-9.29791676800906	0.08
17.5	1837.264278686135			-9.514802219942748	0.08
18.0	1835.6383133181744			-9.506896757371752	0.08
18.5	1833.8780264553695			-9.148504498486737	0.08
19.0	1831.5804536131882			-9.225300272912703	0.08
19.5	1829.2828807710068			-9.363683031103262	0.08
20.0	1826.9853079288255			-9.448708855842668	0.08
20.5	1824.6877350866441			-9.494811038447299	0.08
21.0	1823.0690784782985			-9.611896773471429	0.08
21.5	1821.90303269251			-9.814694710814962	0.08
22.0	1820.7369869067213			-9.825436344761265	0.08
22.5	1819.5709411209327			-9.623981004506929	0.08
23.0	1818.4048953351441			-9.512120114893552	0.08
23.5	1815.1008782742163			-9.440163376867389	0.08
24.0	1811.7968612132881			-9.198437319727732	0.08
24.5	1808.4928441523602			-9.134693115035152	0.08
25.0	1805.1888270914321			-9.031014857165065	0.08
25.5	1801.4806308340915			-8.741664901468024	0.08
26.0	1797.1661657821312			-9.16166073711739	0.08
26.5	1792.8517007301712			-9.031779431336656	0.08
27.0	1788.537235678211			-9.03716197569823	0.08
27.5	1784.2227706262508			-9.241862668459326	0.08
28.0	1781.9246842051025			-9.407833413514911	0.08
28.5	1780.130692441657			-9.308217811791854	0.08
29.0	1778.3367006782116			-9.34365695329322	0.08
29.5	1776.542708914766			-9.119097356309068	0.08
30.0	1774.7942862854288			-9.250912484085438	0.08
30.5	1773.2281401925243			-9.041118206442295	0.08
31.0	1771.6619940996197			-9.187919817195276	0.08
31.5	1770.0958480067152			-9.076702655631314	0.08
32.0	1768.5297019138106			-9.349319491281888	0.08
32.5	1767.2896398761047			-9.30719788079388	0.08
33.0	1766.266967208531			-9.337870844996365	0.08
33.5	1765.2442945409575			-9.263575324294434	0.08
34.0	1764.2216218733838			-9.106350876318873	0.08
34.5	1763.1989492058103			-9.011425553670747	0.08
35.0	1762.0140843239096			-9.047632207818365	0.08
35.5	1760.8292194420087			-9.114876130625907	0.08
36.0	1759.644354560108			-9.384469805866923	0.08
36.5	1758.4594896782073			-9.587086519781181	0.08
37.0	1757.1103279432973			-9.452694425959493	0.08
37.5	1755.5147209288732			-9.464782969953665	0.08
38.0	1753.9191139144493			-9.613225494737332	0.08
38.5	1752.3235069000252			-9.423942038520705	0.08
39.0	1750.7278998856013			-9.415546345853157	0.08
39.5	1748.8048342740087			-9.266192124644657	0.08
40.0	1746.799904013124			-9.246291954049514	0.08
40.5	1744.7949737522392			-9.303700284230233	0.08
41.0	1742.7900434913545			-9.378107924951482	0.08
41.5	1739.9268814989207			-9.144036922059158	0.08
42.0	1733.6307925802914			-9.35848853991952	0.08
42.5	1727.3347036616622			-9.449317214201892	0.08
43.0	1721.038614743033			-9.156824349235206	0.08
43.5	1714.7425258244036			-9.306589493066138	0.08
44.0	1706.742156061427			-9.2643382600983	0.08
44.5	1697.605599068886			-9.267657035305787	0.08
45.0	1688.4690420763447			-9.622365388739718	0.08
45.5	1679.3324850838035			-9.212719315425167	0.08
46.0	1670.1959280912622			-9.33755411143341	0.08
46.5	1665.0337986417637			-9.56168345639938	0.08
47.0	1659.8716691922655			-9.309433871857829	0.08
47.5	1654.709539742767			-9.138874469908991	0.08
48.0	1649.5474102932687			-9.154805665453377	0.08
48.5	1645.3659338617351			-8.943760213415842	0.08
49.0	1642.6554369571488			-9.064544961816146	0.08
49.5	1639.9449400525623			-9.337088494759703	0.08
50.0	1637.2344431479758			-9.741351140078052	0.08
50.5	1634.5239462433894			-9.48833726869265	0.08
51.0	1631.3173985891463			-9.067993948702927	0.08
51.5	1627.986838247489			-9.177574417415753	0.08
52.0	1624.6562779058318			-8.961670895977031	0.08
52.5	1621.3257175641747			-9.272371483523065	0.08
53.0	1618.0563440709832			-9.215827476681817	0.08
53.5	1615.0317179716546			-9.141569357570884	0.08
54.0	1612.007091872326			-9.267995185346898	0.08
54.5	1608.9824657729976			-9.152478413365197	0.08
55.0	1605.957839673669			-9.419818457454967	0.08
55.5	1602.5755406584533			-9.341036836578647	0.08
56.0	1598.9547930326462			-9.024340531665912	0.08
56.5	1595.334045406839			-9.204426985472734	0.08
57.0	1591.7132977810318			-9.420161648016913	0.08
57.5	1588.0925501552247			-9.359912528200699	0.08
58.0	1585.4956710158742			-9.164318606445452	0.08
