Year	d18O	Filtered d18O
1001	-6.064	-6.272
1002	-9.543	-6.734
1003	-8.639	-7.019
1004	-6.484	-7.170
1005	-8.433	-7.285
1006	-8.402	-7.333
1007	-5.904	-7.335
1008	-7.904	-7.368
1009	-8.410	-7.385
1010	-5.901	-7.373
1011	-6.901	-7.423
1012	-9.341	-7.490
1013	-7.295	-7.481
1014	-6.995	-7.446
1015	-9.121	-7.396
1016	-8.024	-7.251
1017	-5.459	-7.064
1018	-6.694	-6.945
1019	-4.631	-6.936
1020	-7.959	-7.026
1021	-8.123	-7.101
1022	-6.521	-7.117
1023	-6.162	-7.161
1024	-8.752	-7.233
1025	-6.883	-7.263
1026	-5.049	-7.332
1027	-8.577	-7.497
1028	-8.934	-7.633
1029	-8.297	-7.660
1030	-6.730	-7.646
1031	-7.201	-7.674
1032	-9.120	-7.713
1033	-6.233	-7.731
1034	-6.846	-7.813
1035	-8.979	-7.956
1036	-10.278	-8.014
1037	-8.512	-7.919
1038	-7.642	-7.740
1039	-7.074	-7.563
1040	-7.374	-7.413
1041	-7.353	-7.277
1042	-5.746	-7.173
1043	-7.787	-7.122
1044	-6.133	-7.098
1045	-6.581	-7.119
1046	-7.908	-7.173
1047	-6.318	-7.226
1048	-8.717	-7.270
1049	-6.716	-7.278
1050	-6.927	-7.287
1051	-8.367	-7.301
1052	-7.796	-7.257
1053	-7.508	-7.151
1054	-6.973	-7.014
1055	-3.934	-6.946
1056	-8.792	-6.985
1057	-7.535	-6.995
1058	-5.473	-6.970
1059	-6.727	-7.015
1060	-6.996	-7.113
1061	-7.692	-7.213
1062	-6.827	-7.304
1063	-7.208	-7.412
1064	-8.292	-7.523
1065	-7.738	-7.597
1066	-8.141	-7.632
1067	-7.660	-7.638
1068	-7.732	-7.626
1069	-6.380	-7.641
1070	-8.811	-7.688
1071	-8.398	-7.693
1072	-7.438	-7.639
1073	-8.651	-7.550
1074	-8.475	-7.383
1075	-6.769	-7.144
1076	-5.182	-6.940
1077	-6.674	-6.837
1078	-7.096	-6.779
1079	-5.992	-6.728
1080	-5.791	-6.729
1081	-7.524	-6.776
1082	-6.946	-6.807
1083	-4.815	-6.863
1084	-7.886	-6.996
1085	-8.540	-7.099
1086	-6.702	-7.118
1087	-6.787	-7.131
1088	-8.041	-7.148
1089	-6.973	-7.134
1090	-5.905	-7.136
1091	-7.891	-7.187
1092	-7.442	-7.227
1093	-8.241	-7.214
1094	-8.280	-7.114
1095	-6.436	-6.943
1096	-4.092	-6.836
1097	-7.662	-6.861
1098	-7.059	-6.909
1099	-6.960	-6.930
1100	-7.954	-6.919
1101	-6.306	-6.870
1102	-5.343	-6.861
1103	-7.571	-6.927
1104	-5.518	-7.036
1105	-6.860	-7.214
1106	-8.410	-7.423
1107	-8.945	-7.557
1108	-7.316	-7.604
1109	-7.666	-7.629
1110	-8.309	-7.643
1111	-7.205	-7.633
1112	-8.605	-7.603
1113	-7.284	-7.540
1114	-5.718	-7.510
1115	-8.111	-7.562
1116	-9.189	-7.592
1117	-7.084	-7.539
1118	-7.098	-7.478
1119	-7.531	-7.446
1120	-8.239	-7.397
1121	-6.483	-7.326
1122	-5.510	-7.321
1123	-7.814	-7.418
1124	-8.432	-7.518
1125	-7.431	-7.566
1126	-8.267	-7.580
1127	-7.787	-7.557
1128	-7.470	-7.507
1129	-6.922	-7.466
1130	-9.113	-7.411
1131	-7.601	-7.275
1132	-5.082	-7.133
1133	-5.939	-7.114
1134	-8.948	-7.161
1135	-7.246	-7.145
1136	-5.438	-7.121
1137	-6.906	-7.187
1138	-9.017	-7.264
1139	-6.545	-7.280
1140	-7.365	-7.286
1141	-7.251	-7.308
1142	-8.192	-7.309
1143	-7.526	-7.260
1144	-6.408	-7.196
1145	-7.307	-7.161
1146	-7.723	-7.123
1147	-4.428	-7.119
1148	-7.771	-7.221
1149	-8.927	-7.323
1150	-8.341	-7.305
1151	-6.634	-7.209
1152	-7.110	-7.115
1153	-5.926	-7.065
1154	-6.722	-7.082
1155	-7.029	-7.148
1156	-6.552	-7.246
1157	-7.255	-7.385
1158	-7.878	-7.540
1159	-9.110	-7.644
1160	-8.300	-7.650
1161	-7.108	-7.599
1162	-7.808	-7.550
1163	-8.216	-7.481
1164	-6.053	-7.404
1165	-7.645	-7.368
1166	-8.905	-7.313
1167	-4.537	-7.239
1168	-6.728	-7.274
1169	-8.887	-7.366
1170	-7.443	-7.394
1171	-6.839	-7.395
1172	-8.648	-7.392
1173	-5.852	-7.378
1174	-8.411	-7.383
1175	-8.659	-7.342
1176	-6.692	-7.222
1177	-5.388	-7.140
1178	-8.047	-7.136
1179	-6.591	-7.145
1180	-7.289	-7.155
1181	-7.432	-7.165
1182	-6.191	-7.184
1183	-8.722	-7.207
1184	-7.499	-7.172
1185	-6.025	-7.109
1186	-6.627	-7.104
1187	-8.461	-7.117
1188	-7.451	-7.065
1189	-3.876	-7.038
1190	-8.015	-7.139
1191	-8.147	-7.253
1192	-6.783	-7.313
1193	-7.557	-7.373
1194	-7.760	-7.429
1195	-7.474	-7.463
1196	-7.670	-7.483
1197	-8.014	-7.481
1198	-7.596	-7.443
1199	-6.859	-7.397
1200	-7.349	-7.375
1201	-7.290	-7.371
1202	-7.150	-7.376
1203	-7.422	-7.395
1204	-8.714	-7.384
1205	-7.480	-7.301
1206	-6.327	-7.198
1207	-7.420	-7.127
1208	-6.899	-7.067
1209	-6.681	-7.017
1210	-6.448	-7.001
1211	-7.008	-7.023
1212	-7.592	-7.045
1213	-5.522	-7.079
1214	-7.142	-7.178
1215	-8.464	-7.288
1216	-7.214	-7.344
1217	-8.124	-7.358
1218	-7.881	-7.322
1219	-7.953	-7.221
1220	-6.018	-7.096
1221	-5.472	-7.047
1222	-8.207	-7.075
1223	-7.397	-7.077
1224	-5.671	-7.071
1225	-7.882	-7.107
1226	-7.551	-7.128
1227	-6.794	-7.117
1228	-6.393	-7.131
1229	-6.671	-7.202
1230	-8.399	-7.291
1231	-8.578	-7.306
1232	-5.574	-7.272
1233	-7.505	-7.286
1234	-7.293	-7.332
1235	-7.842	-7.363
1236	-8.005	-7.354
1237	-6.310	-7.326
1238	-7.296	-7.334
1239	-6.873	-7.382
1240	-8.689	-7.425
1241	-7.504	-7.415
1242	-6.857	-7.382
1243	-6.584	-7.393
1244	-7.372	-7.461
1245	-8.468	-7.529
1246	-7.246	-7.561
1247	-6.865	-7.603
1248	-8.771	-7.663
1249	-8.221	-7.672
1250	-7.306	-7.633
1251	-6.890	-7.615
1252	-8.625	-7.617
1253	-7.588	-7.586
1254	-6.488	-7.557
1255	-8.652	-7.554
1256	-6.464	-7.549
1257	-7.560	-7.572
1258	-8.799	-7.592
1259	-8.598	-7.526
1260	-7.478	-7.372
1261	-4.848	-7.246
1262	-7.641	-7.228
1263	-6.615	-7.266
1264	-7.098	-7.331
1265	-8.969	-7.385
1266	-7.621	-7.359
1267	-5.185	-7.334
1268	-7.565	-7.406
1269	-8.862	-7.489
1270	-8.077	-7.485
1271	-6.735	-7.434
1272	-7.875	-7.392
1273	-7.974	-7.326
1274	-7.204	-7.216
1275	-5.412	-7.134
1276	-8.187	-7.111
1277	-7.931	-7.055
1278	-4.929	-6.981
1279	-7.518	-6.973
1280	-8.438	-6.952
1281	-4.604	-6.901
1282	-5.803	-6.956
1283	-7.984	-7.105
1284	-9.216	-7.188
1285	-7.970	-7.126
1286	-4.601	-7.032
1287	-6.868	-7.043
1288	-8.224	-7.096
1289	-7.706	-7.080
1290	-5.761	-7.037
1291	-7.109	-7.040
1292	-6.959	-7.075
1293	-6.707	-7.125
1294	-6.480	-7.217
1295	-7.638	-7.350
1296	-9.241	-7.441
1297	-7.255	-7.439
1298	-7.553	-7.397
1299	-6.627	-7.371
1300	-7.661	-7.371
1301	-7.550	-7.370
1302	-6.954	-7.364
1303	-7.519	-7.370
1304	-7.998	-7.362
1305	-6.687	-7.336
1306	-7.427	-7.323
1307	-7.920	-7.306
1308	-6.886	-7.264
1309	-7.104	-7.230
1310	-7.032	-7.216
1311	-7.497	-7.207
1312	-6.936	-7.195
1313	-7.467	-7.181
1314	-7.499	-7.151
1315	-6.429	-7.113
1316	-7.175	-7.099
1317	-6.975	-7.101
1318	-7.273	-7.104
1319	-6.967	-7.104
1320	-7.236	-7.104
1321	-7.742	-7.084
1322	-6.319	-7.046
1323	-6.178	-7.051
1324	-8.257	-7.087
1325	-9.284	-7.031
1326	-4.157	-6.901
1327	-3.829	-6.930
1328	-8.353	-7.153
1329	-8.661	-7.361
1330	-7.885	-7.463
1331	-8.129	-7.495
1332	-7.881	-7.475
1333	-7.305	-7.422
1334	-7.659	-7.356
1335	-6.255	-7.305
1336	-7.554	-7.292
1337	-8.127	-7.271
1338	-5.810	-7.236
1339	-8.036	-7.231
1340	-7.541	-7.213
1341	-7.430	-7.152
1342	-5.832	-7.100
1343	-6.362	-7.123
1344	-8.382	-7.187
1345	-6.831	-7.220
1346	-7.132	-7.245
1347	-8.900	-7.244
1348	-6.870	-7.171
1349	-6.392	-7.088
1350	-8.236	-7.017
1351	-6.574	-6.911
1352	-3.855	-6.867
1353	-8.487	-6.944
1354	-7.444	-7.008
1355	-6.654	-7.020
1356	-7.861	-7.019
1357	-7.237	-6.979
1358	-5.896	-6.930
1359	-6.645	-6.934
1360	-8.278	-6.945
1361	-7.894	-6.871
1362	-4.303	-6.775
1363	-6.683	-6.778
1364	-8.251	-6.813
1365	-5.625	-6.807
1366	-6.165	-6.842
1367	-7.599	-6.924
1368	-6.901	-6.990
1369	-5.894	-7.074
1370	-8.072	-7.198
1371	-6.569	-7.326
1372	-8.214	-7.451
1373	-8.809	-7.524
1374	-7.092	-7.524
1375	-6.973	-7.528
1376	-7.930	-7.562
