depth	true_age	age	sigma_age	d18O	sigma_d18O
0.0	2011.0				
0.0	2011.0	2009.0	0.0		
13.0	1798.4321952964247	1750.0	60.0		
14.0	1779.762941043034	1806.04	25.0		
19.0	1733.2224098128881	1725.64	35.05		
28.0	1683.24009744743	1694.79	35.0		
30.0	1677.188232074507	1480.0	250.0		
41.0	1587.7516752879405	1564.76	30.0		
43.0	1578.4585295922966	1510.0	120.02		
52.0	1541.2600456771909	1490.23	50.0		
65.0	1478.7813465857082	1482.82	15.0		
66.0	1471.6947503567985	1476.67	14.21		
88.0	1330.2878368135966	1440.0	100.0		
90.0	1313.1323158907	1360.0	55.0		
92.5	1291.3949095649584			-7.017525031316921	0.06
92.2	1295.0811507618296			-7.353171980761301	0.06
91.8	1299.9961390243245			-7.48030402133969	0.06
91.4	1304.9111272868195			-7.320611568864986	0.06
91.0	1308.329237163506			-7.3487190699373155	0.06
90.6	1310.2504686543834			-7.182094898556754	0.06
90.2	1312.1717001452612			-7.173420331249534	0.06
89.8	1314.092931636139			-7.133828174145935	0.06
89.0	1319.6775554183191			-7.099831388965483	0.06
88.6	1323.9216679764304			-7.10610169507742	0.06
88.2	1328.1657805345412			-7.041822377862161	0.06
87.8	1332.4098930926523			-7.391874342779512	0.06
87.4	1336.654005650763			-7.248345245468924	0.06
87.0	1338.7148722081206			-7.224022379850542	0.06
86.6	1340.7757387654779			-7.081942536970958	0.06
86.2	1342.836605322835			-7.138496761448014	0.06
85.8	1344.8974718801926			-7.1398180583891655	0.06
85.4	1347.184264403273			-7.240774501582397	0.06
85.0	1350.1488348235225			-6.982740676862328	0.06
84.6	1353.1134052437721			-7.014966395740747	0.06
84.2	1356.0779756640218			-7.095783775990863	0.06
83.8	1359.0425460842714			-6.809401777468074	0.06
83.4	1361.9348436163773			-6.676059512562087	0.06
83.0	1364.7548682603392			-6.812098612604411	0.06
82.6	1367.5748929043014			-6.9194827439671105	0.06
82.4	1368.984905226282			-7.1377933147848855	0.06
82.2	1370.3949175482633			-7.192072898526831	0.06
