depth	true_age	age	sigma_age	ref	sigma_ref
0.0	2010.0				
31.0	1948.8516330024434	1949.09	1.0		
59.0	1883.9733541690157	1885.68	2.2		
64.5	1848.1963255291853	1849.3	13.65		
69.0	1829.3298845526772	1815.3	13.42		
79.0	1775.765657101014	1778.27	2.83		
104.0	1675.8018108058222	1675.08	1.3		
107.5	1667.43261849803	1667.96	1.87		
123.0	1638.222314217004	1657.41	5.48		
140.3	1533.1465348215154	1523.4	36.74		
174.5	1364.0653838471187	1362.34	5.22		
175.0	1362.5807900822972			-5.217022744555091	0.08
174.5	1364.0653838471187			-5.154228353663661	0.08
173.5	1367.0345713767617			-4.873119453462381	0.08
172.0	1375.3988582146978			-4.851715020394689	0.08
170.5	1387.184837403172			-5.016422528388983	0.08
169.5	1395.0421568621546			-5.105577622478407	0.08
168.0	1400.201920100826			-5.156871740917888	0.08
167.0	1402.5373929349737			-5.140168249298286	0.08
166.0	1404.872865769121			-5.1894219583400885	0.08
164.5	1408.5605055816786			-5.207625969134447	0.08
163.5	1411.0636425624955			-5.180309925787099	0.08
162.5	1413.5667795433124			-5.183717040142569	0.08
161.5	1416.520464442426			-5.250843180381725	0.08
160.0	1421.6268136685412			-4.690129781538832	0.08
158.8	1425.7118930494337			-4.433279441949279	0.08
157.5	1430.8660652615795			-4.573062152043584	0.08
156.5	1435.079930911781			-4.579732975555069	0.08
155.5	1439.2937965619828			-4.880426683794799	0.08
154.0	1453.2989919230015			-4.9012596637070045	0.08
152.8	1469.8822260318173			-4.720135091292129	0.08
151.5	1487.8473963163678			-5.278269867592465	0.08
150.5	1494.624750174215			-5.1178301877156205	0.08
149.5	1498.3841006465627			-5.292819447051533	0.08
148.5	1502.1434511189102			-5.629696494126057	0.08
147.0	1507.9790349045436			-5.1191461988951605	0.08
146.0	1512.065982172078			-5.225017322612392	0.08
145.0	1516.1529294396123			-5.075210148449823	0.08
143.8	1520.9166004662452			-4.9514586111940755	0.08
143.0	1523.6234955026391			-4.804199551841795	0.08
142.5	1525.3153049003852			-4.7643003209265435	0.08
141.3	1529.375647454976			-4.8029385803346845	0.08
140.3	1533.1465348215154			-5.0338490775913	0.08
139.5	1538.9515784262865			-5.1163903405987865	0.08
138.3	1547.659143833443			-4.931713526294136	0.08
137.0	1557.092339691196			-4.573100496619026	0.08
135.8	1562.5606107044212			-4.696394838265946	0.08
134.5	1567.7827238500633			-4.898531935535561	0.08
133.3	1572.6031359845024			-5.293833414461717	0.08
132.0	1577.230472637965			-5.37894204181477	0.08
131.0	1580.7518356731812			-5.368100057771368	0.08
129.5	1586.718788589182			-5.1773788054608465	0.08
128.3	1599.163324589562			-5.141850803123498	0.08
127.0	1612.6449052566406			-4.584612045308043	0.08
125.5	1625.5498456391874			-4.825145325272586	0.08
124.0	1633.1533267858774			-4.837492564546756	0.08
123.0	1638.222314217004			-4.846976841682418	0.08
121.5	1643.3832947289254			-4.924240431842962	0.08
