	Year	ref
0	1001	-4.798
1	1002	-5.029
2	1003	-5.163
3	1004	-5.253
4	1005	-5.364
5	1006	-5.422
6	1007	-5.419
7	1008	-5.421
8	1009	-5.414
9	1010	-5.404
10	1011	-5.426
11	1012	-5.434
12	1013	-5.394
13	1014	-5.369
14	1015	-5.349
15	1016	-5.257
16	1017	-5.128
17	1018	-5.078
18	1019	-5.123
19	1020	-5.179
20	1021	-5.177
21	1022	-5.165
22	1023	-5.224
23	1024	-5.291
24	1025	-5.272
25	1026	-5.23
26	1027	-5.249
27	1028	-5.267
28	1029	-5.202
29	1030	-5.119
30	1031	-5.117
31	1032	-5.134
32	1033	-5.11
33	1034	-5.146
34	1035	-5.256
35	1036	-5.302
36	1037	-5.192
37	1038	-4.978
38	1039	-4.766
39	1040	-4.584
40	1041	-4.447
41	1042	-4.388
42	1043	-4.407
43	1044	-4.503
44	1045	-4.673
45	1046	-4.841
46	1047	-4.976
47	1048	-5.086
48	1049	-5.147
49	1050	-5.173
50	1051	-5.159
51	1052	-5.1
52	1053	-5.007
53	1054	-4.923
54	1055	-4.908
55	1056	-4.918
56	1057	-4.864
57	1058	-4.739
58	1059	-4.619
59	1060	-4.569
60	1061	-4.584
61	1062	-4.659
62	1063	-4.791
63	1064	-4.914
64	1065	-4.97
65	1066	-4.962
66	1067	-4.921
67	1068	-4.892
68	1069	-4.908
69	1070	-4.927
70	1071	-4.882
71	1072	-4.82
72	1073	-4.792
73	1074	-4.72
74	1075	-4.6
75	1076	-4.519
76	1077	-4.499
77	1078	-4.493
78	1079	-4.491
79	1080	-4.544
80	1081	-4.63
81	1082	-4.695
82	1083	-4.78
83	1084	-4.889
84	1085	-4.921
85	1086	-4.849
86	1087	-4.779
87	1088	-4.755
88	1089	-4.752
89	1090	-4.812
90	1091	-4.904
91	1092	-4.949
92	1093	-4.941
93	1094	-4.852
94	1095	-4.72
95	1096	-4.667
96	1097	-4.668
97	1098	-4.627
98	1099	-4.58
99	1100	-4.585
100	1101	-4.647
101	1102	-4.759
102	1103	-4.872
103	1104	-4.982
104	1105	-5.123
105	1106	-5.253
106	1107	-5.294
107	1108	-5.26
108	1109	-5.238
109	1110	-5.259
110	1111	-5.302
111	1112	-5.327
112	1113	-5.317
113	1114	-5.321
114	1115	-5.334
115	1116	-5.276
116	1117	-5.145
117	1118	-5.025
118	1119	-4.964
119	1120	-4.904
120	1121	-4.818
121	1122	-4.775
122	1123	-4.792
123	1124	-4.817
124	1125	-4.862
125	1126	-4.956
126	1127	-5.044
127	1128	-5.084
128	1129	-5.135
129	1130	-5.177
130	1131	-5.153
131	1132	-5.122
132	1133	-5.159
133	1134	-5.188
134	1135	-5.125
135	1136	-5.023
136	1137	-4.928
137	1138	-4.797
138	1139	-4.64
139	1140	-4.549
140	1141	-4.55
141	1142	-4.569
142	1143	-4.535
143	1144	-4.478
144	1145	-4.49
145	1146	-4.587
146	1147	-4.733
147	1148	-4.878
148	1149	-4.935
149	1150	-4.875
150	1151	-4.768
151	1152	-4.687
152	1153	-4.649
153	1154	-4.651
154	1155	-4.682
155	1156	-4.742
156	1157	-4.848
157	1158	-5.015
