	Year	ref
0	1001	-4.477
1	1002	-6.792
2	1003	-5.825
3	1004	-3.92
4	1005	-6.549
5	1006	-6.489
6	1007	-4.539
7	1008	-5.922
8	1009	-5.611
9	1010	-4.644
10	1011	-5.486
11	1012	-6.657
12	1013	-4.755
13	1014	-4.877
14	1015	-6.726
15	1016	-5.899
16	1017	-3.904
17	1018	-3.798
18	1019	-5.06
19	1020	-6.16
20	1021	-5.629
21	1022	-3.64
22	1023	-5.001
23	1024	-6.928
24	1025	-5.677
25	1026	-3.718
26	1027	-5.379
27	1028	-6.594
28	1029	-5.723
29	1030	-3.467
30	1031	-4.69
31	1032	-6.853
32	1033	-3.731
33	1034	-3.822
34	1035	-6.318
35	1036	-7.047
36	1037	-6.842
37	1038	-4.072
38	1039	-4.886
39	1040	-4.036
40	1041	-3.66
41	1042	-3.35
42	1043	-4.182
43	1044	-2.937
44	1045	-5.06
45	1046	-5.723
46	1047	-4.129
47	1048	-6.894
48	1049	-4.351
49	1050	-6.337
50	1051	-5.227
51	1052	-5.584
52	1053	-5.311
53	1054	-3.516
54	1055	-4.631
55	1056	-5.875
56	1057	-5.807
57	1058	-4.707
58	1059	-3.544
59	1060	-3.973
60	1061	-4.225
61	1062	-3.632
62	1063	-4.9
63	1064	-6.061
64	1065	-5.298
65	1066	-5.648
66	1067	-4.557
67	1068	-4.469
68	1069	-4.326
69	1070	-6.382
70	1071	-5.155
71	1072	-3.433
72	1073	-5.98
73	1074	-5.454
74	1075	-3.86
75	1076	-3.728
76	1077	-4.378
77	1078	-4.987
78	1079	-3.451
79	1080	-3.932
80	1081	-5.582
81	1082	-4.23
82	1083	-3.972
83	1084	-6.041
84	1085	-6.456
85	1086	-4.789
86	1087	-3.281
87	1088	-5.953
88	1089	-3.041
89	1090	-4.539
90	1091	-5.88
91	1092	-5.125
92	1093	-5.741
93	1094	-6.307
94	1095	-2.751
95	1096	-3.962
96	1097	-5.901
97	1098	-4.54
98	1099	-3.726
99	1100	-4.379
100	1101	-3.581
101	1102	-5.137
102	1103	-5.122
103	1104	-4.245
104	1105	-5.095
105	1106	-6.508
106	1107	-6.339
107	1108	-4.881
108	1109	-4.503
109	1110	-5.393
110	1111	-4.931
111	1112	-6.608
112	1113	-4.521
113	1114	-5.084
114	1115	-6.245
115	1116	-6.522
116	1117	-4.662
117	1118	-4.266
118	1119	-4.664
119	1120	-6.175
