depth	true_age	age	sigma_age	ref	sigma_ref
0.0	2018.0				
6.0	1919.9315243640535	1921.0	2.0		
9.0	1903.2937963644742	1899.0	3.0		
29.0	1786.1741432116603	1784.0	5.0		
48.0	1652.6832311842795	1652.0	2.5		
65.0	1550.4733868456208	1544.0	7.0		
80.0	1455.9573180929208	1454.0	2.5		
113.0	1073.9924726681575	1075.0	2.5		
113.0	1073.9924726681575			-9.371851077564063	0.08
112.0	1079.15201397927			-8.860270437544889	0.08
111.5	1081.1253551769755			-9.119518520169043	0.08
111.0	1083.0986963746811			-9.16052069968609	0.08
110.5	1085.0720375723868			-8.979537063790996	0.08
110.0	1086.3531831002808			-8.917846993131539	0.08
109.5	1087.4612797107218			-9.015072777041677	0.08
109.0	1088.5693763211627			-8.841633664963068	0.08
108.5	1089.6774729316037			-9.059123559256935	0.08
108.0	1091.3092225348585			-8.923101836653622	0.08
107.5	1095.0355841093678			-8.7012410471502	0.08
107.0	1098.7619456838775			-8.59020983554543	0.08
106.0	1106.2146688328965			-9.1872174692072	0.08
105.5	1108.8679135980929			-9.15319583891736	0.08
105.0	1110.8057471570803			-9.255162189429585	0.08
104.5	1112.7435807160678			-9.046794681111132	0.08
104.0	1114.6814142750552			-9.147589578727334	0.08
103.5	1116.6192478340427			-9.218735764991404	0.08
103.0	1117.7168216813718			-9.408443438112542	0.08
102.5	1118.8143955287007			-9.26771358191713	0.08
102.0	1119.91196937603			-9.2758032153576	0.08
101.5	1121.009543223359			-9.156041554867464	0.08
101.0	1122.5362507829122			-9.315192809253428	0.08
100.5	1124.7066589108013			-9.401965354042433	0.08
100.0	1126.8770670386903			-9.37487570334821	0.08
99.5	1129.0474751665795			-9.459690390293423	0.08
99.0	1131.2178832944685			-9.506346150699551	0.08
98.5	1140.3817098939803			-9.19631579501543	0.08
98.0	1151.2938911113977			-9.342072656077123	0.08
97.5	1162.2060723288153			-9.600004483349055	0.08
97.0	1173.1182535462328			-9.33278989433997	0.08
96.5	1183.6090267555562			-9.133954153527911	0.08
96.0	1192.4141679325026			-9.36349527741248	0.08
95.5	1201.2193091094491			-9.278823198664046	0.08
95.0	1210.0244502863954			-9.026620518678452	0.08
94.5	1218.829591463342			-8.95181989743337	0.08
94.0	1222.9962012646133			-8.964678983285571	0.08
93.5	1224.0704568154345			-8.991132912105176	0.08
93.0	1225.1447123662556			-8.95858093423147	0.08
92.5	1226.218967917077			-9.123785624749843	0.08
92.0	1227.293223467898			-9.03209906967609	0.08
91.5	1231.1966421224665			-9.294211394933765	0.08
91.0	1235.1000607770347			-9.513337158322381	0.08
90.5	1239.0034794316032			-9.545962806984631	0.08
90.0	1242.9068980861716			-9.393712858829558	0.08
89.5	1246.643342313859			-9.795655476044884	0.08
89.0	1250.129324901225			-9.80242798230283	0.08
88.5	1253.6153074885906			-9.602016406982587	0.08
88.0	1257.1012900759565			-9.740240038601767	0.08
87.5	1260.5872726633222			-9.37961821131806	0.08
87.0	1264.126004841817			-8.983069035247807	0.08
86.5	1267.6779244180939			-9.380916207021103	0.08
86.0	1271.2298439943709			-9.306548314721493	0.08
85.5	1274.7817635706479			-9.240164722057619	0.08
85.0	1279.223835043629			-9.177835677898507	0.08
84.5	1287.2265141034263			-9.063242011958758	0.08
84.0	1295.2291931632237			-9.329637851091038	0.08
83.5	1303.2318722230211			-9.57051974877984	0.08
83.0	1311.2345512828185			-9.377663125760227	0.08
82.5	1332.2298447017947			-9.414520732249999	0.08
82.0	1361.8868810268905			-9.12089075669907	0.08
81.5	1391.543917351986			-9.119123796300304	0.08
81.0	1421.2009536770818			-9.474155919193825	0.08
80.5	1450.8579900021773			-9.428439771164568	0.08
80.0	1455.9573180929208			-9.570234298128955	0.08
79.5	1461.0566461836645			-9.4033232751087	0.08
79.0	1466.155974274408			-9.434229393055663	0.08
78.5	1471.2553023651517			-9.55978228062682	0.08
78.0	1475.9480859833568			-9.576220056093495	0.08
77.5	1480.0310528927546			-9.210598193233793	0.08
77.0	1484.1140198021521			-9.53319564854995	0.08
76.5	1488.1969867115497			-9.317348259404904	0.08
76.0	1492.2799536209475			-9.390868130474363	0.08
75.5	1494.7620700358198			-9.391208383854444	0.08
75.0	1496.8439738270606			-9.26729820519772	0.08
74.0	1501.0077814095423			-9.335314819107984	0.08
73.5	1503.0035178057192			-9.234451303023535	0.08
73.0	1504.6545846216404			-9.330238119108984	0.08
72.5	1506.3056514375614			-9.44955164224771	0.08
72.0	1507.9567182534827			-9.482199512734946	0.08
71.5	1509.6077850694037			-9.294115393791119	0.08
71.0	1511.9085780716916			-9.209670130933047	0.08
70.5	1514.6425218648908			-8.897027459532445	0.08
70.0	1517.37646565809			-8.646929664136984	0.08
69.5	1520.110409451289			-8.812152443440176	0.08
69.0	1522.844353244488			-9.048850784350876	0.08
68.5	1524.922122828605			-8.952601188187504	0.08
68.0	1526.9998924127224			-8.990551918446743	0.08
67.5	1529.0776619968394			-9.074182439809876	0.08
67.0	1531.1554315809565			-9.172739812636554	0.08
66.5	1534.5281278625084			-9.154373357627085	0.08
66.0	1539.8432141902124			-9.2847139061921	0.08
65.5	1545.1583005179166			-9.128395777314712	0.08
65.0	1550.4733868456208			-9.041947567855374	0.08
64.5	1555.7884731733247			-9.18593277938617	0.08
64.0	1559.2452204346296			-9.307288780007179	0.08
63.5	1562.2373829293347			-9.543634137810692	0.08
63.0	1565.2295454240395			-9.503629773316348	0.08
62.5	1568.2217079187444			-9.392280555280548	0.08
62.0	1571.0576481179478			-9.094737961579472	0.08
61.5	1573.2686991351447			-9.306147325554328	0.08
61.0	1575.4797501523417			-9.667551791071599	0.08
