	Year	ref
0	1001	-8.142
1	1002	-8.522
2	1003	-8.734
3	1004	-8.827
4	1005	-8.886
5	1006	-8.894
6	1007	-8.881
7	1008	-8.952
8	1009	-9.078
9	1010	-9.191
10	1011	-9.341
11	1012	-9.484
12	1013	-9.521
13	1014	-9.506
14	1015	-9.474
15	1016	-9.347
16	1017	-9.163
17	1018	-9.06
18	1019	-9.088
19	1020	-9.204
20	1021	-9.303
21	1022	-9.327
22	1023	-9.339
23	1024	-9.357
24	1025	-9.322
25	1026	-9.292
26	1027	-9.333
27	1028	-9.354
28	1029	-9.329
29	1030	-9.322
30	1031	-9.379
31	1032	-9.452
32	1033	-9.477
33	1034	-9.548
34	1035	-9.68
35	1036	-9.739
36	1037	-9.681
37	1038	-9.557
38	1039	-9.431
39	1040	-9.335
40	1041	-9.257
41	1042	-9.223
42	1043	-9.247
43	1044	-9.301
44	1045	-9.379
45	1046	-9.429
46	1047	-9.462
47	1048	-9.525
48	1049	-9.588
49	1050	-9.653
50	1051	-9.69
51	1052	-9.608
52	1053	-9.398
53	1054	-9.147
54	1055	-8.997
55	1056	-8.977
56	1057	-8.982
57	1058	-8.986
58	1059	-9.054
59	1060	-9.204
60	1061	-9.364
61	1062	-9.483
62	1063	-9.588
63	1064	-9.679
64	1065	-9.735
65	1066	-9.739
66	1067	-9.703
67	1068	-9.66
68	1069	-9.629
69	1070	-9.6
70	1071	-9.518
71	1072	-9.401
72	1073	-9.32
73	1074	-9.235
74	1075	-9.11
75	1076	-9.019
76	1077	-8.99
77	1078	-8.974
78	1079	-8.963
79	1080	-9.008
80	1081	-9.081
81	1082	-9.058
82	1083	-8.982
83	1084	-8.987
84	1085	-9.004
85	1086	-8.964
86	1087	-8.944
87	1088	-8.943
88	1089	-8.918
89	1090	-8.93
90	1091	-9.001
91	1092	-9.043
92	1093	-8.997
93	1094	-8.879
94	1095	-8.751
95	1096	-8.702
96	1097	-8.739
97	1098	-8.757
98	1099	-8.727
99	1100	-8.682
100	1101	-8.639
101	1102	-8.662
102	1103	-8.751
103	1104	-8.853
104	1105	-8.983
105	1106	-9.138
106	1107	-9.226
107	1108	-9.223
108	1109	-9.225
109	1110	-9.236
110	1111	-9.204
111	1112	-9.154
112	1113	-9.1
113	1114	-9.107
114	1115	-9.198
115	1116	-9.269
116	1117	-9.301
117	1118	-9.311
118	1119	-9.308
119	1120	-9.307
120	1121	-9.278
121	1122	-9.265
122	1123	-9.312
123	1124	-9.369
124	1125	-9.398
125	1126	-9.408
126	1127	-9.431
127	1128	-9.466
128	1129	-9.504
129	1130	-9.496
130	1131	-9.361
131	1132	-9.184
132	1133	-9.113
133	1134	-9.094
134	1135	-9.008
135	1136	-8.92
136	1137	-8.942
137	1138	-9.014
138	1139	-9.059
139	1140	-9.125
140	1141	-9.258
141	1142	-9.403
142	1143	-9.458
143	1144	-9.419
144	1145	-9.369
145	1146	-9.317
146	1147	-9.317
147	1148	-9.425
148	1149	-9.519
149	1150	-9.507
150	1151	-9.434
151	1152	-9.36
152	1153	-9.315
153	1154	-9.314
154	1155	-9.355
155	1156	-9.442
156	1157	-9.578
157	1158	-9.705
158	1159	-9.78
159	1160	-9.783
160	1161	-9.706
161	1162	-9.597
162	1163	-9.483
163	1164	-9.364
164	1165	-9.266
165	1166	-9.154
166	1167	-9.036
167	1168	-9.047
168	1169	-9.132
169	1170	-9.151
170	1171	-9.15
171	1172	-9.168
172	1173	-9.183
173	1174	-9.215
174	1175	-9.213
175	1176	-9.144
176	1177	-9.11
177	1178	-9.139
178	1179	-9.15
179	1180	-9.156
180	1181	-9.157
181	1182	-9.138
182	1183	-9.134
183	1184	-9.091
184	1185	-9.009
185	1186	-8.976
186	1187	-8.978
187	1188	-8.973
188	1189	-9.044
189	1190	-9.209
190	1191	-9.334
191	1192	-9.364
192	1193	-9.361
193	1194	-9.344
194	1195	-9.312
195	1196	-9.289
196	1197	-9.262
197	1198	-9.216
198	1199	-9.173
199	1200	-9.163
200	1201	-9.188
201	1202	-9.257
202	1203	-9.366
203	1204	-9.442
204	1205	-9.41
205	1206	-9.308
206	1207	-9.203
207	1208	-9.102
208	1209	-9.033
209	1210	-9.033
210	1211	-9.076
211	1212	-9.09
212	1213	-9.061
213	1214	-9.054
214	1215	-9.055
215	1216	-9.006
216	1217	-8.937
217	1218	-8.89
218	1219	-8.86
219	1220	-8.834
220	1221	-8.849
221	1222	-8.913
222	1223	-8.95
223	1224	-8.991
224	1225	-9.091
225	1226	-9.155
226	1227	-9.142
227	1228	-9.128
228	1229	-9.17
229	1230	-9.258
230	1231	-9.312
231	1232	-9.311
232	1233	-9.323
233	1234	-9.369
234	1235	-9.421
235	1236	-9.442
236	1237	-9.416
237	1238	-9.408
238	1239	-9.454
239	1240	-9.492
240	1241	-9.476
241	1242	-9.444
242	1243	-9.458
243	1244	-9.528
244	1245	-9.607
245	1246	-9.649
246	1247	-9.679
247	1248	-9.728
248	1249	-9.732
249	1250	-9.676
250	1251	-9.672
251	1252	-9.709
252	1253	-9.688
253	1254	-9.665
254	1255	-9.681
255	1256	-9.684
256	1257	-9.677
257	1258	-9.659
258	1259	-9.566
259	1260	-9.383
260	1261	-9.221
261	1262	-9.14
262	1263	-9.099
263	1264	-9.108
264	1265	-9.156
265	1266	-9.186
266	1267	-9.242
267	1268	-9.344
268	1269	-9.398
269	1270	-9.384
270	1271	-9.36
271	1272	-9.337
272	1273	-9.291
273	1274	-9.237
274	1275	-9.237
275	1276	-9.272
276	1277	-9.241
277	1278	-9.189
278	1279	-9.194
279	1280	-9.167
280	1281	-9.111
281	1282	-9.168
282	1283	-9.317
283	1284	-9.375
284	1285	-9.26
285	1286	-9.096
286	1287	-9.054
287	1288	-9.108
288	1289	-9.125
289	1290	-9.099
290	1291	-9.101
291	1292	-9.103
292	1293	-9.108
293	1294	-9.198
294	1295	-9.374
295	1296	-9.528
296	1297	-9.586
297	1298	-9.595
298	1299	-9.618
299	1300	-9.651
300	1301	-9.656
301	1302	-9.662
302	1303	-9.692
303	1304	-9.674
304	1305	-9.582
305	1306	-9.509
306	1307	-9.48
307	1308	-9.415
308	1309	-9.322
309	1310	-9.278
310	1311	-9.293
311	1312	-9.335
312	1313	-9.366
313	1314	-9.368
314	1315	-9.364
315	1316	-9.35
