depth	true_age	age	sigma_age	ref	sigma_ref
0.0	2009.0				
13.0	1838.8845657255524	1750.0	60.0		
14.0	1805.0680909441592	1806.04	25.0		
19.0	1749.4721440024437	1725.64	35.05		
28.0	1708.772157447782	1694.79	35.0		
30.0	1702.53880025826	1480.0	250.0		
41.0	1632.6259111633117	1564.76	30.0		
43.0	1621.6565038271242	1510.0	120.02		
52.0	1575.206910865008	1490.23	50.0		
65.0	1485.4845043589569	1482.82	15.0		
66.0	1482.9645149447902	1476.67	14.21		
88.0	1295.5461835912083	1440.0	100.0		
90.0	1274.6377352162965	1360.0	55.0		
92.5	1268.441542054887			-7.3956352861083285	0.06
92.2	1270.0921999530954			-7.566150183763685	0.06
91.8	1271.5371482183405			-7.470597435151724	0.06
91.4	1272.2261675512195			-7.353436640211484	0.06
91.0	1272.9151868840986			-7.363042863323604	0.06
90.6	1273.604206216978			-7.228000343861386	0.06
90.2	1274.293225549857			-7.133084519957329	0.06
89.8	1276.7285800537877			-7.156811400285864	0.06
89.0	1285.0919594037523			-7.056331988713737	0.06
88.6	1289.273649078735			-7.103972008466505	0.06
88.2	1293.4553387537171			-7.041246066187812	0.06
87.8	1295.9845671333778			-7.394807596156496	0.06
87.4	1296.861334217717			-7.47161669739943	0.06
87.0	1297.738101302056			-7.395910477900069	0.06
86.6	1298.614868386395			-7.368114746833052	0.06
86.2	1299.4916354707343			-7.351228913434834	0.06
85.8	1302.8359927454417			-7.2854203268811775	0.06
85.4	1308.6479402105172			-7.209999391869268	0.06
85.0	1314.4598876755929			-7.0338860158934	0.06
84.6	1320.2718351406686			-7.060510090337219	0.06
84.2	1326.083782605744			-6.914094160575936	0.06
83.8	1330.6459596492507			-7.57513518182808	0.06
83.4	1333.958366271188			-7.4523802081493695	0.06
83.0	1337.2707728931255			-7.249235700134649	0.06
82.6	1340.583179515063			-7.135967334553307	0.06
82.4	1342.2393828260315			-7.018907469522354	0.06
82.2	1343.8955861370002			-7.217115614517993	0.06
82.0	1345.551789447969			-7.226216830326739	0.06
81.8	1346.5889534739872			-7.293189747527231	0.06
81.6	1347.6261175000054			-7.22363342456571	0.06
81.4	1348.6632815260236			-7.252714564276525	0.06
81.2	1349.7004455520419			-6.99393781853306	0.06
81.0	1350.73760957806			-6.982169704146177	0.06
80.8	1351.7747736040783			-6.8812716772539035	0.06
80.6	1352.8119376300965			-6.902775219441946	0.06
80.4	1353.8491016561147			-6.9779971970757195	0.06
