	Year	ref
0	1001	-6.064
1	1002	-9.543
2	1003	-8.639
3	1004	-6.484
4	1005	-8.433
5	1006	-8.402
6	1007	-5.904
7	1008	-7.904
8	1009	-8.41
9	1010	-5.901
10	1011	-6.901
11	1012	-9.341
12	1013	-7.295
13	1014	-6.995
14	1015	-9.121
15	1016	-8.024
16	1017	-5.459
17	1018	-6.694
18	1019	-4.631
19	1020	-7.959
20	1021	-8.123
21	1022	-6.521
22	1023	-6.162
23	1024	-8.752
24	1025	-6.883
25	1026	-5.049
26	1027	-8.577
27	1028	-8.934
28	1029	-8.297
29	1030	-6.73
30	1031	-7.201
31	1032	-9.12
32	1033	-6.233
33	1034	-6.846
34	1035	-8.979
35	1036	-10.278
36	1037	-8.512
37	1038	-7.642
38	1039	-7.074
39	1040	-7.374
40	1041	-7.353
41	1042	-5.746
42	1043	-7.787
43	1044	-6.133
44	1045	-6.581
45	1046	-7.908
46	1047	-6.318
47	1048	-8.717
48	1049	-6.716
49	1050	-6.927
50	1051	-8.367
51	1052	-7.796
52	1053	-7.508
53	1054	-6.973
54	1055	-3.934
55	1056	-8.792
56	1057	-7.535
57	1058	-5.473
58	1059	-6.727
59	1060	-6.996
60	1061	-7.692
61	1062	-6.827
62	1063	-7.208
63	1064	-8.292
64	1065	-7.738
65	1066	-8.141
66	1067	-7.66
67	1068	-7.732
68	1069	-6.38
69	1070	-8.811
70	1071	-8.398
71	1072	-7.438
72	1073	-8.651
73	1074	-8.475
74	1075	-6.769
75	1076	-5.182
76	1077	-6.674
77	1078	-7.096
78	1079	-5.992
79	1080	-5.791
80	1081	-7.524
81	1082	-6.946
82	1083	-4.815
83	1084	-7.886
84	1085	-8.54
85	1086	-6.702
86	1087	-6.787
87	1088	-8.041
88	1089	-6.973
89	1090	-5.905
90	1091	-7.891
91	1092	-7.442
92	1093	-8.241
93	1094	-8.28
94	1095	-6.436
95	1096	-4.092
96	1097	-7.662
97	1098	-7.059
98	1099	-6.96
99	1100	-7.954
100	1101	-6.306
101	1102	-5.343
102	1103	-7.571
103	1104	-5.518
104	1105	-6.86
105	1106	-8.41
106	1107	-8.945
107	1108	-7.316
108	1109	-7.666
109	1110	-8.309
110	1111	-7.205
111	1112	-8.605
112	1113	-7.284
113	1114	-5.718
114	1115	-8.111
115	1116	-9.189
116	1117	-7.084
117	1118	-7.098
118	1119	-7.531
119	1120	-8.239
120	1121	-6.483
121	1122	-5.51
122	1123	-7.814
123	1124	-8.432
124	1125	-7.431
125	1126	-8.267
126	1127	-7.787
127	1128	-7.47
128	1129	-6.922
129	1130	-9.113
130	1131	-7.601
131	1132	-5.082
132	1133	-5.939
133	1134	-8.948
134	1135	-7.246
135	1136	-5.438
136	1137	-6.906
137	1138	-9.017
138	1139	-6.545
139	1140	-7.365
140	1141	-7.251
141	1142	-8.192
142	1143	-7.526
143	1144	-6.408
144	1145	-7.307
145	1146	-7.723
146	1147	-4.428
147	1148	-7.771
148	1149	-8.927
149	1150	-8.341
150	1151	-6.634
151	1152	-7.11
152	1153	-5.926
153	1154	-6.722
154	1155	-7.029
155	1156	-6.552
156	1157	-7.255
157	1158	-7.878
158	1159	-9.11
159	1160	-8.3
160	1161	-7.108
161	1162	-7.808
162	1163	-8.216
163	1164	-6.053
164	1165	-7.645
165	1166	-8.905
166	1167	-4.537
167	1168	-6.728
168	1169	-8.887
169	1170	-7.443
170	1171	-6.839
171	1172	-8.648
172	1173	-5.852
173	1174	-8.411
174	1175	-8.659
175	1176	-6.692
176	1177	-5.388
177	1178	-8.047
178	1179	-6.591
179	1180	-7.289
180	1181	-7.432
