	depth	true_age	age	sigma_age	ref	sigma_ref
0	0.0	-49.0				
1	420.0		3148.0	6.0		
2	850.0		7234.0	35.0		
3	15.0				10.24	6.54
4	20.0				9.44	6.43
5	25.0				7.84	6.38
6	30.0				6.54	6.59
7	35.0				7.34	6.75
8	40.0				9.64	6.58
9	45.0				9.54	6.55
10	50.0				9.54	6.44
11	55.0				12.94	6.1
12	60.0				14.24	5.76
13	65.0				12.64	5.68
14	70.0				8.04	3.34
15	75.0				4.84	3.32
16	80.0				2.14	3.93
17	85.0				2.74	4.52
18	90.0				3.64	4.42
19	95.0				0.34	3.62
20	100.0				1.44	3.62
21	105.0				3.14	4.05
22	110.0				2.44	4.02
23	115.0				1.44	3.93
24	120.0				0.24	3.83
25	125.0				-2.56	3.89
26	130.0				-4.56	3.96
27	135.0				-3.76	3.87
28	140.0				-2.66	3.77
29	145.0				-4.76	3.87
30	150.0				-3.06	4.09
31	155.0				-4.26	3.79
32	160.0				-6.26	4.02
33	165.0				-6.56	4.06
34	170.0				-6.96	4.28
35	175.0				-6.56	3.7
36	180.0				-9.36	3.69
37	185.0				-13.76	3.68
38	190.0				-15.56	3.61
39	195.0				-15.16	3.64
40	200.0				-12.46	3.68
41	205.0				-9.26	3.84
42	210.0				-9.96	3.94
43	215.0				-10.36	3.97
44	220.0				-9.06	3.99
45	225.0				-7.06	3.97
46	230.0				-5.66	3.72
47	235.0				-5.16	3.55
48	240.0				-3.76	3.5
49	245.0				-0.76	3.57
50	250.0				4.24	3.61
51	255.0				5.44	3.58
52	260.0				4.94	3.59
53	265.0				5.54	3.59
54	270.0				7.34	4.35
55	275.0				9.34	4.31
56	280.0				11.24	3.93
57	285.0				12.94	4.02
58	290.0				12.84	4.53
59	295.0				11.94	4.72
60	300.0				13.94	3.79
61	305.0				17.24	3.78
62	310.0				18.74	3.98
63	315.0				18.54	4.44
64	320.0				15.94	4.16
65	325.0				13.54	4.13
66	330.0				11.84	5.02
67	335.0				12.04	3.34
68	340.0				7.54	3.62
69	345.0				3.94	4.86
70	350.0				1.64	3.83
71	355.0				-0.56	4.27
72	360.0				-3.26	4.98
73	365.0				-5.96	4.51
74	370.0				-6.26	4.89
75	375.0				-6.86	5.58
76	380.0				-8.76	4.84
77	385.0				-12.06	3.81
78	390.0				-13.46	3.47
79	395.0				-13.66	3.42
80	400.0				-12.06	3.58
81	405.0				-10.56	3.57
82	410.0				-10.76	3.69
83	415.0				-9.16	3.69
84	420.0				-7.96	3.7
85	425.0				-6.66	3.68
86	430.0				-7.16	3.65
87	435.0				-7.86	3.68
88	440.0				-7.76	3.67
89	445.0				-6.46	3.6
90	450.0				-6.26	3.58
91	455.0				-5.76	3.59
92	460.0				-3.96	3.59
93	465.0				-1.36	3.55
94	470.0				1.04	3.48
95	475.0				2.94	3.38
96	480.0				2.94	3.42
97	485.0				2.74	3.42
98	490.0				3.54	3.43
99	495.0				4.14	3.42
100	500.0				5.04	3.44
101	505.0				5.84	3.45
102	510.0				6.94	3.53
103	515.0				7.04	3.53
104	520.0				4.94	3.39
105	525.0				6.04	3.62
106	530.0				8.64	3.34
107	535.0				10.64	3.72
108	540.0				10.34	3.37
109	545.0				10.24	3.31
110	550.0				10.84	3.32
111	555.0				12.34	3.38
112	560.0				12.74	4.03
113	565.0				11.64	3.44
114	570.0				11.34	3.44
115	575.0				10.84	3.48
116	580.0				11.04	4.55
117	585.0				9.64	4.0
118	590.0				7.64	3.5
119	595.0				7.54	4.04
120	600.0				8.24	4.81
121	605.0				9.74	4.95
122	610.0				8.64	5.47
123	615.0				8.14	4.76
124	620.0				9.64	4.34
125	625.0				10.94	4.69
126	630.0				11.04	3.88
127	635.0				11.24	3.63
128	640.0				10.64	3.75
129	645.0				9.74	5.01
130	650.0				8.34	4.63
131	655.0				8.24	3.82
132	660.0				7.54	3.73
133	665.0				7.34	4.08
134	670.0				6.64	5.42
135	675.0				6.54	5.48
136	680.0				6.44	4.22
137	685.0				6.04	5.02
138	690.0				4.34	5.78
139	695.0				3.04	4.91
140	700.0				4.94	3.39
141	705.0				3.74	3.91
142	710.0				1.34	5.19
143	715.0				-0.16	5.85
144	720.0				1.64	4.62
145	725.0				3.94	3.68
146	730.0				4.54	3.94
147	735.0				5.94	4.46
148	740.0				7.24	4.1
149	745.0				7.64	3.53
150	750.0				7.24	3.58
151	755.0				6.44	3.54
152	760.0				4.14	3.55
153	765.0				3.84	3.54
154	770.0				3.84	3.52
155	775.0				2.54	3.52
156	780.0				2.04	3.54
157	785.0				2.74	3.58
158	790.0				4.34	3.65
159	795.0				4.24	3.65
160	800.0				2.24	3.65
161	805.0				-0.46	3.73
162	810.0				-1.76	3.77
163	815.0				-3.56	3.68
164	820.0				-4.26	3.68
165	825.0				-5.26	4.11
166	830.0				-5.36	3.86
167	835.0				-7.86	4.32
168	840.0				-9.16	4.14
169	845.0				-11.96	5.14
170	850.0				-13.86	5.73
171	855.0				-13.36	5.27
172	860.0				-12.56	6.02
173	865.0				-11.26	5.84
174	870.0				-9.96	6.05
175	875.0				-10.66	6.3
176	880.0				-11.26	6.64
177	885.0				-12.06	4.08
178	890.0				-10.46	3.97
179	895.0				-10.96	4.09
180	900.0				-12.26	4.28
181	905.0				-12.06	4.45
182	910.0				-11.36	4.36
183	915.0				-9.86	4.22
184	920.0				-6.46	4.12
185	925.0				-3.36	4.03
186	930.0				-4.76	3.89
187	935.0				-11.96	3.7
188	940.0				-13.36	3.63
189	945.0				-13.36	3.72
190	950.0				-15.66	4.13
191	955.0				-16.36	4.13
192	960.0				-14.36	4.86
193	965.0				-11.96	3.97
194	970.0				-10.16	4.82
195	975.0				-9.96	4.53
196	980.0				-10.46	4.04
