	depth	true_age	age	sigma_age	ref	sigma_ref
0	0.0	-49.0				
1	420.0		3148.0	6.0		
2	850.0		7234.0	35.0		
3	15.0				52.8	3.96
4	20.0				52.0	3.96
5	25.0				51.7	3.96
6	30.0				53.1	3.96
7	35.0				54.1	3.96
8	40.0				53.0	3.96
9	45.0				52.9	3.96
10	50.0				52.1	3.96
11	55.0				49.6	3.96
12	60.0				46.7	3.96
13	65.0				45.8	3.96
14	70.0				46.2	2.31
15	75.0				46.1	2.3
16	80.0				46.1	2.73
17	85.0				46.7	3.09
18	90.0				47.7	2.97
19	95.0				49.1	2.37
20	100.0				50.5	2.3
21	105.0				52.1	2.49
22	110.0				55.0	2.3
23	115.0				54.2	2.3
24	120.0				53.0	2.3
25	125.0				53.7	2.3
26	130.0				54.4	2.3
27	135.0				53.5	2.3
28	140.0				52.4	2.3
29	145.0				52.2	2.37
30	150.0				51.5	2.55
31	155.0				51.3	2.37
32	160.0				50.8	2.55
33	165.0				51.2	2.55
34	170.0				51.4	2.67
35	175.0				51.6	2.3
36	180.0				51.5	2.3
37	185.0				51.2	2.3
38	190.0				50.4	2.3
39	195.0				50.8	2.3
40	200.0				51.3	2.3
41	205.0				53.2	2.3
42	210.0				54.3	2.3
43	215.0				54.5	2.3
44	220.0				54.8	2.3
45	225.0				54.6	2.3
46	230.0				51.8	2.3
47	235.0				49.7	2.3
48	240.0				48.9	2.3
49	245.0				49.8	2.3
50	250.0				50.4	2.3
51	255.0				49.9	2.3
52	260.0				50.1	2.3
53	265.0				50.2	2.3
54	270.0				51.1	2.73
55	275.0				52.8	2.61
56	280.0				54.1	2.3
57	285.0				55.0	2.3
58	290.0				54.9	2.61
59	295.0				53.8	2.79
60	300.0				52.7	2.3
61	305.0				52.5	2.3
62	310.0				52.3	2.42
63	315.0				49.0	2.91
64	320.0				46.8	2.85
65	325.0				46.4	2.85
66	330.0				47.1	3.42
67	335.0				46.5	2.3
68	340.0				43.9	2.61
69	345.0				43.1	3.55
70	350.0				44.7	2.73
71	355.0				47.0	2.91
72	360.0				46.6	3.42
73	365.0				44.3	3.23
74	370.0				44.6	3.48
75	375.0				45.9	3.88
76	380.0				46.2	3.36
77	385.0				46.8	2.61
78	390.0				46.9	2.37
79	395.0				47.7	2.3
80	400.0				48.6	2.37
81	405.0				49.8	2.3
82	410.0				51.5	2.3
83	415.0				51.5	2.3
84	420.0				51.6	2.3
85	425.0				51.3	2.3
86	430.0				51.0	2.3
87	435.0				51.3	2.3
88	440.0				51.1	2.3
89	445.0				50.3	2.3
90	450.0				49.9	2.3
91	455.0				50.1	2.3
92	460.0				50.2	2.3
93	465.0				49.7	2.3
94	470.0				48.6	2.3
95	475.0				47.0	2.3
96	480.0				47.7	2.3
97	485.0				47.7	2.3
98	490.0				47.8	2.3
99	495.0				47.7	2.3
100	500.0				47.9	2.3
101	505.0				48.2	2.3
102	510.0				49.2	2.3
103	515.0				49.3	2.3
104	520.0				47.2	2.3
105	525.0				46.5	2.49
106	530.0				46.5	2.3
107	535.0				46.9	2.55
108	540.0				46.9	2.3
109	545.0				45.9	2.3
110	550.0				46.1	2.3
111	555.0				46.8	2.31
112	560.0				47.4	2.73
113	565.0				48.0	2.3
114	570.0				47.9	2.3
115	575.0				48.6	2.3
116	580.0				50.2	2.91
117	585.0				50.5	2.55
118	590.0				49.0	2.3
119	595.0				48.8	2.67
120	600.0				49.9	3.09
121	605.0				51.3	3.09
122	610.0				51.3	3.42
123	615.0				52.3	2.91
124	620.0				53.1	2.61
125	625.0				52.6	2.85
126	630.0				51.3	2.42
127	635.0				50.6	2.3
128	640.0				51.9	2.31
129	645.0				53.6	2.97
130	650.0				53.9	2.73
131	655.0				52.9	2.3
132	660.0				51.9	2.3
133	665.0				51.4	2.55
134	670.0				52.6	3.29
135	675.0				53.1	3.29
136	680.0				51.9	2.61
137	685.0				50.9	3.17
138	690.0				49.6	3.74
139	695.0				48.9	3.23
140	700.0				47.2	2.3
141	705.0				48.3	2.61
142	710.0				49.8	3.36
143	715.0				51.0	3.68
144	720.0				50.0	2.97
145	725.0				48.7	2.42
146	730.0				48.6	2.61
147	735.0				49.2	2.91
148	740.0				49.5	2.67
149	745.0				49.3	2.3
150	750.0				49.9	2.3
151	755.0				49.5	2.3
152	760.0				49.6	2.3
153	765.0				49.4	2.3
154	770.0				49.1	2.3
155	775.0				49.1	2.3
156	780.0				49.4	2.3
157	785.0				49.9	2.3
158	790.0				51.0	2.3
159	795.0				50.9	2.3
160	800.0				50.9	2.3
161	805.0				51.9	2.3
162	810.0				52.3	2.3
163	815.0				51.3	2.3
164	820.0				51.3	2.3
165	825.0				51.7	2.55
166	830.0				52.1	2.37
167	835.0				52.9	2.61
168	840.0				53.1	2.49
169	845.0				53.8	3.03
170	850.0				54.2	3.36
171	855.0				54.0	3.09
172	860.0				53.9	3.55
173	865.0				52.6	3.55
174	870.0				54.1	3.55
175	875.0				55.7	3.55
176	880.0				57.7	3.55
177	885.0				55.7	2.3
178	890.0				54.6	2.3
179	895.0				55.8	2.3
180	900.0				57.5	2.3
181	905.0				58.8	2.3
182	910.0				58.1	2.3
183	915.0				56.9	2.3
184	920.0				55.8	2.31
185	925.0				55.2	2.3
186	930.0				53.7	2.3
187	935.0				51.6	2.3
188	940.0				50.7	2.3
189	945.0				51.8	2.3
190	950.0				51.9	2.55
191	955.0				50.9	2.61
192	960.0				50.4	3.09
193	965.0				49.0	2.61
194	970.0				48.0	3.23
195	975.0				47.9	3.03
196	980.0				47.6	2.73
