depth	true_age	age	sigma_age	ref	sigma_ref
0.00	2010.00	NaN	NaN	NaN	NaN
31.00	NaN	1949.09	1.00	NaN	NaN
59.00	NaN	1885.68	2.20	NaN	NaN
64.50	NaN	1849.30	13.65	NaN	NaN
69.00	NaN	1815.30	13.42	NaN	NaN
79.00	NaN	1778.27	2.83	NaN	NaN
104.00	NaN	1675.08	1.30	NaN	NaN
107.50	NaN	1667.96	1.87	NaN	NaN
123.00	NaN	1657.41	5.48	NaN	NaN
140.30	NaN	1523.40	36.74	NaN	NaN
174.50	NaN	1362.34	5.22	NaN	NaN
219.50	NaN	835.06	5.98	NaN	NaN
259.50	NaN	384.73	7.57	NaN	NaN
283.50	NaN	284.93	27.12	NaN	NaN
353.50	NaN	-1216.23	13.83	NaN	NaN
0.50	NaN	NaN	NaN	-5.89	0.08
1.50	NaN	NaN	NaN	-5.74	0.08
2.50	NaN	NaN	NaN	-6.14	0.08
3.00	NaN	NaN	NaN	-6.52	0.08
3.50	NaN	NaN	NaN	-6.20	0.08
4.50	NaN	NaN	NaN	-5.88	0.08
5.50	NaN	NaN	NaN	-5.86	0.08
6.00	NaN	NaN	NaN	-5.78	0.08
7.50	NaN	NaN	NaN	-6.10	0.08
8.50	NaN	NaN	NaN	-5.74	0.08
10.00	NaN	NaN	NaN	-6.41	0.08
11.80	NaN	NaN	NaN	-5.91	0.08
12.50	NaN	NaN	NaN	-5.90	0.08
13.50	NaN	NaN	NaN	-5.62	0.08
14.50	NaN	NaN	NaN	-6.07	0.08
15.50	NaN	NaN	NaN	-6.08	0.08
16.50	NaN	NaN	NaN	-6.56	0.08
17.50	NaN	NaN	NaN	-6.21	0.08
19.00	NaN	NaN	NaN	-6.42	0.08
20.00	NaN	NaN	NaN	-6.22	0.08
21.00	NaN	NaN	NaN	-6.15	0.08
22.00	NaN	NaN	NaN	-6.06	0.08
23.00	NaN	NaN	NaN	-5.99	0.08
24.00	NaN	NaN	NaN	-5.88	0.08
25.00	NaN	NaN	NaN	-6.08	0.08
26.00	NaN	NaN	NaN	-6.74	0.08
27.30	NaN	NaN	NaN	-6.06	0.08
28.00	NaN	NaN	NaN	-6.15	0.08
