depth	true_age	age	sigma_age	ref	sigma_ref
0.00	2018.00	NaN	NaN	NaN	NaN
6.00	NaN	1921.00	2.00	NaN	NaN
9.00	NaN	1899.00	3.00	NaN	NaN
29.00	NaN	1784.00	5.00	NaN	NaN
48.00	NaN	1652.00	2.50	NaN	NaN
65.00	NaN	1544.00	7.00	NaN	NaN
80.00	NaN	1454.00	2.50	NaN	NaN
113.00	NaN	1075.00	2.50	NaN	NaN
171.00	NaN	901.00	6.50	NaN	NaN
193.00	NaN	755.00	5.00	NaN	NaN
221.00	NaN	581.00	6.00	NaN	NaN
247.00	NaN	411.00	18.00	NaN	NaN
279.00	NaN	270.00	6.00	NaN	NaN
301.00	NaN	130.00	5.50	NaN	NaN
328.00	NaN	-15.00	6.50	NaN	NaN
355.00	NaN	-146.00	6.50	NaN	NaN
395.00	NaN	-313.00	7.00	NaN	NaN
398.00	NaN	-990.00	7.50	NaN	NaN
403.00	NaN	-1474.00	13.00	NaN	NaN
427.00	NaN	-1722.00	8.50	NaN	NaN
443.00	NaN	-1841.00	9.50	NaN	NaN
0.10	NaN	NaN	NaN	-8.19	0.08
0.50	NaN	NaN	NaN	-9.08	0.08
1.00	NaN	NaN	NaN	-8.51	0.08
1.50	NaN	NaN	NaN	-8.72	0.08
2.00	NaN	NaN	NaN	-8.89	0.08
2.50	NaN	NaN	NaN	-9.05	0.08
3.00	NaN	NaN	NaN	-9.03	0.08
3.50	NaN	NaN	NaN	-9.50	0.08
4.00	NaN	NaN	NaN	-9.08	0.08
4.50	NaN	NaN	NaN	-9.07	0.08
5.00	NaN	NaN	NaN	-8.91	0.08
5.50	NaN	NaN	NaN	-9.03	0.08
6.00	NaN	NaN	NaN	-8.74	0.08
6.50	NaN	NaN	NaN	-8.77	0.08
7.00	NaN	NaN	NaN	-8.68	0.08
7.50	NaN	NaN	NaN	-8.79	0.08
8.00	NaN	NaN	NaN	-8.65	0.08
8.50	NaN	NaN	NaN	-8.53	0.08
9.00	NaN	NaN	NaN	-8.64	0.08
9.50	NaN	NaN	NaN	-8.65	0.08
10.00	NaN	NaN	NaN	-8.70	0.08
10.50	NaN	NaN	NaN	-8.99	0.08
11.00	NaN	NaN	NaN	-8.79	0.08
11.50	NaN	NaN	NaN	-8.62	0.08
12.00	NaN	NaN	NaN	-8.90	0.08
12.50	NaN	NaN	NaN	-8.59	0.08
