	Year	ref
0	1001	-8.081
1	1002	-11.379
2	1003	-9.736
3	1004	-8.731
4	1005	-9.47
5	1006	-9.809
6	1007	-7.291
7	1008	-7.896
8	1009	-10.582
9	1010	-7.766
10	1011	-9.2
11	1012	-11.512
12	1013	-9.786
13	1014	-9.034
14	1015	-10.831
15	1016	-10.879
16	1017	-7.047
17	1018	-8.494
18	1019	-7.158
19	1020	-10.073
20	1021	-10.212
21	1022	-9.609
22	1023	-8.354
23	1024	-10.774
24	1025	-9.632
25	1026	-7.014
26	1027	-10.754
27	1028	-9.598
28	1029	-9.228
29	1030	-8.606
30	1031	-8.332
31	1032	-11.653
32	1033	-8.014
33	1034	-8.424
34	1035	-10.977
35	1036	-11.175
36	1037	-10.166
37	1038	-9.803
38	1039	-8.539
39	1040	-9.647
40	1041	-8.817
41	1042	-8.019
42	1043	-9.797
43	1044	-8.212
44	1045	-10.08
45	1046	-10.187
46	1047	-7.954
47	1048	-10.57
48	1049	-9.003
49	1050	-9.708
50	1051	-11.291
51	1052	-11.068
52	1053	-10.034
53	1054	-7.988
54	1055	-6.68
55	1056	-9.584
56	1057	-9.102
57	1058	-8.177
58	1059	-7.968
59	1060	-8.943
60	1061	-10.582
61	1062	-8.907
62	1063	-10.125
63	1064	-9.686
64	1065	-10.598
65	1066	-10.103
66	1067	-9.685
67	1068	-9.627
68	1069	-9.263
69	1070	-10.266
70	1071	-10.619
71	1072	-7.997
72	1073	-9.551
73	1074	-10.323
74	1075	-8.305
75	1076	-8.193
76	1077	-8.997
77	1078	-9.236
78	1079	-8.247
79	1080	-7.952
80	1081	-10.809
81	1082	-10.456
82	1083	-6.562
83	1084	-9.235
84	1085	-10.433
85	1086	-8.121
86	1087	-8.405
87	1088	-10.078
88	1089	-8.196
89	1090	-7.724
90	1091	-9.791
91	1092	-9.853
92	1093	-10.084
93	1094	-8.771
94	1095	-8.255
95	1096	-6.667
96	1097	-9.881
97	1098	-9.273
98	1099	-8.453
99	1100	-9.288
100	1101	-7.642
101	1102	-7.454
102	1103	-9.477
103	1104	-8.148
104	1105	-8.481
105	1106	-9.899
106	1107	-10.898
107	1108	-8.691
108	1109	-8.449
109	1110	-10.952
110	1111	-8.27
111	1112	-10.004
112	1113	-8.496
113	1114	-7.035
114	1115	-10.629
115	1116	-9.251
116	1117	-9.46
117	1118	-9.911
118	1119	-8.433
119	1120	-10.41
120	1121	-9.039
121	1122	-8.032
122	1123	-9.609
123	1124	-9.57
124	1125	-9.88
125	1126	-8.969
126	1127	-9.297
127	1128	-9.689
128	1129	-9.098
129	1130	-11.926
130	1131	-9.952
131	1132	-7.252
132	1133	-8.167
133	1134	-10.839
134	1135	-9.121
135	1136	-7.065
136	1137	-8.135
137	1138	-10.468
138	1139	-8.069
139	1140	-8.796
140	1141	-8.273
141	1142	-11.158
142	1143	-10.588
143	1144	-9.112
144	1145	-9.296
145	1146	-9.833
146	1147	-6.288
147	1148	-10.686
148	1149	-10.554
149	1150	-10.417
150	1151	-9.043
151	1152	-9.233
152	1153	-8.797
153	1154	-8.758
154	1155	-9.3
155	1156	-8.244
156	1157	-10.117
157	1158	-10.168
158	1159	-10.37
159	1160	-11.011
160	1161	-9.868
161	1162	-9.319
162	1163	-10.077
163	1164	-8.691
164	1165	-9.124
165	1166	-10.712
166	1167	-6.263
167	1168	-7.934
168	1169	-11.127
169	1170	-8.964
170	1171	-8.29
171	1172	-10.323
172	1173	-7.85
173	1174	-10.077
174	1175	-10.16
175	1176	-9.028
176	1177	-7.027
177	1178	-10.908
178	1179	-8.42
179	1180	-9.046
180	1181	-10.319
181	1182	-7.716
182	1183	-10.209
183	1184	-9.901
184	1185	-7.898
185	1186	-8.427
186	1187	-9.811
187	1188	-8.075
188	1189	-7.05
189	1190	-10.315
190	1191	-10.696
191	1192	-9.333
192	1193	-9.362
193	1194	-9.971
194	1195	-8.624
195	1196	-9.694
196	1197	-9.26
197	1198	-9.604
198	1199	-8.279
199	1200	-9.241
200	1201	-8.538
201	1202	-8.738
202	1203	-9.419
203	1204	-11.18
204	1205	-10.231
205	1206	-8.666
206	1207	-9.788
207	1208	-8.455
208	1209	-8.425
209	1210	-8.158
210	1211	-9.724
211	1212	-9.861
212	1213	-8.533
213	1214	-8.477
214	1215	-10.439
215	1216	-8.796
216	1217	-8.761
217	1218	-8.571
218	1219	-9.029
219	1220	-8.638
220	1221	-7.408
221	1222	-10.061
222	1223	-9.175
223	1224	-7.225
224	1225	-10.06
225	1226	-10.4
226	1227	-8.76
227	1228	-8.686
228	1229	-8.216
229	1230	-9.74
230	1231	-10.667
231	1232	-8.36
232	1233	-9.291
233	1234	-9.082
234	1235	-9.736
235	1236	-10.381
236	1237	-9.075
237	1238	-8.438
238	1239	-9.596
239	1240	-10.453
240	1241	-9.593
241	1242	-8.889
242	1243	-8.609
243	1244	-9.588
244	1245	-9.941
245	1246	-10.375
246	1247	-8.428
247	1248	-10.698
248	1249	-10.859
249	1250	-8.828
250	1251	-8.185
251	1252	-11.905
252	1253	-9.085
253	1254	-8.78
254	1255	-10.47
255	1256	-9.497
256	1257	-9.677
257	1258	-10.308
258	1259	-11.239
259	1260	-8.98
260	1261	-7.519
261	1262	-9.69
262	1263	-8.123
263	1264	-8.521
264	1265	-9.757
265	1266	-9.277
266	1267	-7.434
267	1268	-11.049
268	1269	-9.688
269	1270	-9.797
270	1271	-8.662
271	1272	-10.286
272	1273	-9.02
273	1274	-9.1
274	1275	-7.689
275	1276	-11.086
276	1277	-9.75
277	1278	-7.259
278	1279	-10.25
279	1280	-10.242
280	1281	-7.091
281	1282	-7.589
282	1283	-10.861
283	1284	-11.467
284	1285	-10.443
285	1286	-6.572
286	1287	-8.067
287	1288	-9.751
288	1289	-10.352
289	1290	-7.672
290	1291	-9.646
291	1292	-9.416
292	1293	-7.821
293	1294	-8.075
294	1295	-9.456
295	1296	-11.377
296	1297	-9.618
297	1298	-9.66
298	1299	-8.893
299	1300	-10.653
300	1301	-9.502
301	1302	-8.909
302	1303	-10.363
303	1304	-11.051
304	1305	-9.079
305	1306	-8.383
306	1307	-10.488
307	1308	-9.943
308	1309	-8.372
309	1310	-8.699
310	1311	-9.072
311	1312	-9.28
312	1313	-10.109
313	1314	-9.096
314	1315	-9.424
315	1316	-9.901
316	1317	-9.051
317	1318	-8.9
318	1319	-9.883
319	1320	-9.312
320	1321	-9.475
321	1322	-7.777
322	1323	-8.162
323	1324	-10.874
324	1325	-10.334
325	1326	-8.029
326	1327	-6.398
327	1328	-10.091
328	1329	-10.928
329	1330	-8.893
330	1331	-9.845
331	1332	-9.338
332	1333	-10.279
333	1334	-9.989
334	1335	-8.393
335	1336	-10.201
336	1337	-10.218
337	1338	-8.413
338	1339	-9.783
339	1340	-9.104
340	1341	-9.062
341	1342	-8.517
342	1343	-7.822
343	1344	-11.077
344	1345	-8.048
345	1346	-9.686
346	1347	-10.932
347	1348	-9.873
348	1349	-8.072
349	1350	-11.501
350	1351	-9.293
351	1352	-6.917
352	1353	-8.967
353	1354	-9.678
354	1355	-9.092
355	1356	-9.545
356	1357	-9.709
357	1358	-7.991
358	1359	-8.239
359	1360	-10.793
360	1361	-9.792
361	1362	-6.524
362	1363	-9.383
363	1364	-11.32
364	1365	-9.194
365	1366	-7.816
366	1367	-9.914
367	1368	-9.379
368	1369	-7.718
369	1370	-9.946
370	1371	-7.655
371	1372	-9.68
372	1373	-11.105
373	1374	-9.442
374	1375	-8.172
375	1376	-10.869
376	1377	-8.885
377	1378	-8.915
378	1379	-10.213
379	1380	-10.297
380	1381	-9.449
381	1382	-10.149
382	1383	-10.541
383	1384	-7.443
384	1385	-8.495
385	1386	-9.467
386	1387	-9.82
387	1388	-9.743
388	1389	-10.776
389	1390	-8.737
390	1391	-8.574
391	1392	-8.226
392	1393	-9.664
393	1394	-8.016
394	1395	-9.139
395	1396	-10.43
396	1397	-7.316
397	1398	-9.784
398	1399	-10.36
399	1400	-8.399
400	1401	-10.175
401	1402	-10.416
402	1403	-10.82
403	1404	-7.726
404	1405	-8.865
405	1406	-10.651
406	1407	-10.479
407	1408	-8.773
408	1409	-7.684
409	1410	-6.992
410	1411	-9.617
411	1412	-7.741
412	1413	-9.2
413	1414	-10.362
414	1415	-8.617
415	1416	-7.313
416	1417	-9.47
417	1418	-9.489
418	1419	-10.86
419	1420	-11.027
420	1421	-9.578
421	1422	-9.325
422	1423	-9.812
423	1424	-9.242
424	1425	-7.316
425	1426	-9.036
426	1427	-8.202
427	1428	-9.959
428	1429	-10.567
429	1430	-8.703
430	1431	-10.366
431	1432	-9.236
432	1433	-9.082
433	1434	-8.531
434	1435	-9.613
435	1436	-9.198
436	1437	-8.195
437	1438	-8.534
438	1439	-10.741
439	1440	-9.674
440	1441	-9.063
441	1442	-7.036
442	1443	-9.537
443	1444	-9.55
