depth	true_age	age	sigma_age	ref	sigma_ref
0.00	2009.00	NaN	NaN	NaN	NaN
13.00	NaN	1750.00	60.00	NaN	NaN
14.00	NaN	1806.04	25.00	NaN	NaN
19.00	NaN	1725.64	35.05	NaN	NaN
28.00	NaN	1694.79	35.00	NaN	NaN
30.00	NaN	1480.00	250.00	NaN	NaN
41.00	NaN	1564.76	30.00	NaN	NaN
43.00	NaN	1510.00	120.02	NaN	NaN
52.00	NaN	1490.23	50.00	NaN	NaN
65.00	NaN	1482.82	15.00	NaN	NaN
66.00	NaN	1476.67	14.21	NaN	NaN
88.00	NaN	1440.00	100.00	NaN	NaN
90.00	NaN	1360.00	55.00	NaN	NaN
0.10	NaN	NaN	NaN	-5.46	0.06
0.20	NaN	NaN	NaN	-5.13	0.06
0.30	NaN	NaN	NaN	-5.21	0.06
0.40	NaN	NaN	NaN	-5.23	0.06
0.50	NaN	NaN	NaN	-5.51	0.06
0.60	NaN	NaN	NaN	-5.23	0.06
0.70	NaN	NaN	NaN	-5.41	0.06
0.80	NaN	NaN	NaN	-5.51	0.06
0.90	NaN	NaN	NaN	-5.17	0.06
0.98	NaN	NaN	NaN	-5.27	0.06
1.06	NaN	NaN	NaN	-5.35	0.06
1.14	NaN	NaN	NaN	-5.51	0.06
1.22	NaN	NaN	NaN	-5.44	0.06
1.30	NaN	NaN	NaN	-5.51	0.06
1.38	NaN	NaN	NaN	-5.63	0.06
1.46	NaN	NaN	NaN	-5.72	0.06
1.54	NaN	NaN	NaN	-5.88	0.06
1.62	NaN	NaN	NaN	-5.99	0.06
1.70	NaN	NaN	NaN	-5.59	0.06
1.78	NaN	NaN	NaN	-5.84	0.06
1.86	NaN	NaN	NaN	-5.75	0.06
1.94	NaN	NaN	NaN	-5.87	0.06
2.02	NaN	NaN	NaN	-5.69	0.06
2.10	NaN	NaN	NaN	-5.51	0.06
2.20	NaN	NaN	NaN	-5.17	0.06
2.30	NaN	NaN	NaN	-5.12	0.06
2.40	NaN	NaN	NaN	-5.16	0.06
2.50	NaN	NaN	NaN	-5.22	0.06
2.60	NaN	NaN	NaN	-5.20	0.06
2.70	NaN	NaN	NaN	-5.28	0.06
2.80	NaN	NaN	NaN	-5.21	0.06
2.90	NaN	NaN	NaN	-5.30	0.06
3.00	NaN	NaN	NaN	-5.34	0.06
3.10	NaN	NaN	NaN	-5.24	0.06
3.20	NaN	NaN	NaN	-5.24	0.06
3.30	NaN	NaN	NaN	-5.28	0.06
3.39	NaN	NaN	NaN	-5.32	0.06
3.48	NaN	NaN	NaN	-5.41	0.06
3.57	NaN	NaN	NaN	-5.43	0.06
3.66	NaN	NaN	NaN	-5.59	0.06
3.75	NaN	NaN	NaN	-5.28	0.06
3.84	NaN	NaN	NaN	-5.29	0.06
3.93	NaN	NaN	NaN	-5.33	0.06
4.08	NaN	NaN	NaN	-5.52	0.06
4.23	NaN	NaN	NaN	-5.96	0.06
4.38	NaN	NaN	NaN	-5.64	0.06
4.53	NaN	NaN	NaN	-5.41	0.06
4.68	NaN	NaN	NaN	-5.55	0.06
4.83	NaN	NaN	NaN	-5.29	0.06
4.98	NaN	NaN	NaN	-5.25	0.06
5.11	NaN	NaN	NaN	-5.20	0.06
5.24	NaN	NaN	NaN	-5.23	0.06
5.37	NaN	NaN	NaN	-5.32	0.06
5.50	NaN	NaN	NaN	-5.36	0.06
5.63	NaN	NaN	NaN	-5.47	0.06
5.76	NaN	NaN	NaN	-5.50	0.06
5.89	NaN	NaN	NaN	-5.60	0.06
6.02	NaN	NaN	NaN	-5.49	0.06
6.15	NaN	NaN	NaN	-5.31	0.06
6.28	NaN	NaN	NaN	-5.03	0.06
6.41	NaN	NaN	NaN	-5.01	0.06
6.54	NaN	NaN	NaN	-5.02	0.06
6.67	NaN	NaN	NaN	-5.11	0.06
6.80	NaN	NaN	NaN	-5.11	0.06
6.93	NaN	NaN	NaN	-5.18	0.06
7.06	NaN	NaN	NaN	-5.24	0.06
7.19	NaN	NaN	NaN	-5.44	0.06
7.32	NaN	NaN	NaN	-5.59	0.06
7.45	NaN	NaN	NaN	-5.69	0.06
7.58	NaN	NaN	NaN	-5.74	0.06
7.66	NaN	NaN	NaN	-5.66	0.06
7.74	NaN	NaN	NaN	-5.68	0.06
7.82	NaN	NaN	NaN	-5.92	0.06
7.91	NaN	NaN	NaN	-5.98	0.06
7.99	NaN	NaN	NaN	-5.95	0.06
8.07	NaN	NaN	NaN	-5.70	0.06
8.15	NaN	NaN	NaN	-5.56	0.06
8.23	NaN	NaN	NaN	-5.54	0.06
8.31	NaN	NaN	NaN	-5.69	0.06
8.39	NaN	NaN	NaN	-5.66	0.06
8.47	NaN	NaN	NaN	-5.62	0.06
8.55	NaN	NaN	NaN	-5.52	0.06
8.63	NaN	NaN	NaN	-5.43	0.06
8.71	NaN	NaN	NaN	-5.33	0.06
8.79	NaN	NaN	NaN	-5.10	0.06
8.87	NaN	NaN	NaN	-5.31	0.06
9.03	NaN	NaN	NaN	-5.20	0.06
9.19	NaN	NaN	NaN	-5.38	0.06
9.35	NaN	NaN	NaN	-5.43	0.06
9.51	NaN	NaN	NaN	-5.71	0.06
9.67	NaN	NaN	NaN	-5.79	0.06
9.83	NaN	NaN	NaN	-5.69	0.06
9.92	NaN	NaN	NaN	-5.45	0.06
10.01	NaN	NaN	NaN	-5.49	0.06
10.10	NaN	NaN	NaN	-5.75	0.06
10.19	NaN	NaN	NaN	-5.34	0.06
10.28	NaN	NaN	NaN	-5.32	0.06
10.37	NaN	NaN	NaN	-5.39	0.06
10.46	NaN	NaN	NaN	-5.48	0.06
10.55	NaN	NaN	NaN	-5.74	0.06
10.64	NaN	NaN	NaN	-5.66	0.06
10.73	NaN	NaN	NaN	-5.46	0.06
10.82	NaN	NaN	NaN	-5.38	0.06
10.91	NaN	NaN	NaN	-5.17	0.06
11.00	NaN	NaN	NaN	-5.15	0.06
11.09	NaN	NaN	NaN	-5.20	0.06
11.18	NaN	NaN	NaN	-5.20	0.06
11.20	NaN	NaN	NaN	-5.21	0.06
11.30	NaN	NaN	NaN	-5.29	0.06
11.40	NaN	NaN	NaN	-5.51	0.06
11.50	NaN	NaN	NaN	-5.69	0.06
11.60	NaN	NaN	NaN	-5.37	0.06
11.70	NaN	NaN	NaN	-5.72	0.06
11.80	NaN	NaN	NaN	-5.23	0.06
11.90	NaN	NaN	NaN	-5.81	0.06
12.00	NaN	NaN	NaN	-5.23	0.06
12.13	NaN	NaN	NaN	-5.66	0.06
12.26	NaN	NaN	NaN	-5.52	0.06
12.39	NaN	NaN	NaN	-5.29	0.06
12.52	NaN	NaN	NaN	-5.23	0.06
12.65	NaN	NaN	NaN	-5.27	0.06
12.78	NaN	NaN	NaN	-5.75	0.06
12.91	NaN	NaN	NaN	-5.89	0.06
13.04	NaN	NaN	NaN	-5.87	0.06
13.17	NaN	NaN	NaN	-5.80	0.06
13.30	NaN	NaN	NaN	-5.86	0.06
13.43	NaN	NaN	NaN	-6.09	0.06
13.56	NaN	NaN	NaN	-6.17	0.06
13.69	NaN	NaN	NaN	-5.97	0.06
13.82	NaN	NaN	NaN	-6.07	0.06
13.95	NaN	NaN	NaN	-6.00	0.06
14.08	NaN	NaN	NaN	-5.88	0.06
14.21	NaN	NaN	NaN	-5.90	0.06
14.34	NaN	NaN	NaN	-5.83	0.06
14.47	NaN	NaN	NaN	-5.67	0.06
14.60	NaN	NaN	NaN	-5.80	0.06
14.73	NaN	NaN	NaN	-5.53	0.06
14.86	NaN	NaN	NaN	-5.25	0.06
14.99	NaN	NaN	NaN	-5.29	0.06
15.12	NaN	NaN	NaN	-5.28	0.06
15.25	NaN	NaN	NaN	-5.03	0.06
