	Year	ref
0	1001	-6.272
1	1002	-6.734
2	1003	-7.019
3	1004	-7.17
4	1005	-7.285
5	1006	-7.333
6	1007	-7.335
7	1008	-7.368
8	1009	-7.385
9	1010	-7.373
10	1011	-7.423
11	1012	-7.49
12	1013	-7.481
13	1014	-7.446
14	1015	-7.396
15	1016	-7.251
16	1017	-7.064
17	1018	-6.945
18	1019	-6.936
19	1020	-7.026
20	1021	-7.101
21	1022	-7.117
22	1023	-7.161
23	1024	-7.233
24	1025	-7.263
25	1026	-7.332
26	1027	-7.497
27	1028	-7.633
28	1029	-7.66
29	1030	-7.646
30	1031	-7.674
31	1032	-7.713
32	1033	-7.731
33	1034	-7.813
34	1035	-7.956
35	1036	-8.014
36	1037	-7.919
37	1038	-7.74
38	1039	-7.563
39	1040	-7.413
40	1041	-7.277
41	1042	-7.173
42	1043	-7.122
43	1044	-7.098
44	1045	-7.119
45	1046	-7.173
46	1047	-7.226
47	1048	-7.27
48	1049	-7.278
49	1050	-7.287
50	1051	-7.301
51	1052	-7.257
52	1053	-7.151
53	1054	-7.014
54	1055	-6.946
55	1056	-6.985
56	1057	-6.995
57	1058	-6.97
58	1059	-7.015
59	1060	-7.113
60	1061	-7.213
61	1062	-7.304
62	1063	-7.412
63	1064	-7.523
64	1065	-7.597
65	1066	-7.632
66	1067	-7.638
67	1068	-7.626
68	1069	-7.641
69	1070	-7.688
70	1071	-7.693
71	1072	-7.639
72	1073	-7.55
73	1074	-7.383
74	1075	-7.144
75	1076	-6.94
76	1077	-6.837
77	1078	-6.779
78	1079	-6.728
79	1080	-6.729
80	1081	-6.776
81	1082	-6.807
82	1083	-6.863
83	1084	-6.996
84	1085	-7.099
85	1086	-7.118
86	1087	-7.131
87	1088	-7.148
88	1089	-7.134
89	1090	-7.136
90	1091	-7.187
91	1092	-7.227
92	1093	-7.214
93	1094	-7.114
94	1095	-6.943
95	1096	-6.836
96	1097	-6.861
97	1098	-6.909
98	1099	-6.93
99	1100	-6.919
100	1101	-6.87
101	1102	-6.861
102	1103	-6.927
103	1104	-7.036
104	1105	-7.214
105	1106	-7.423
106	1107	-7.557
107	1108	-7.604
108	1109	-7.629
109	1110	-7.643
110	1111	-7.633
111	1112	-7.603
112	1113	-7.54
113	1114	-7.51
114	1115	-7.562
115	1116	-7.592
116	1117	-7.539
117	1118	-7.478
118	1119	-7.446
119	1120	-7.397
120	1121	-7.326
121	1122	-7.321
122	1123	-7.418
123	1124	-7.518
124	1125	-7.566
125	1126	-7.58
126	1127	-7.557
127	1128	-7.507
128	1129	-7.466
129	1130	-7.411
130	1131	-7.275
131	1132	-7.133
132	1133	-7.114
133	1134	-7.161
134	1135	-7.145
135	1136	-7.121
136	1137	-7.187
137	1138	-7.264
138	1139	-7.28
139	1140	-7.286
140	1141	-7.308
141	1142	-7.309
142	1143	-7.26
143	1144	-7.196
144	1145	-7.161
145	1146	-7.123
146	1147	-7.119
147	1148	-7.221
148	1149	-7.323
149	1150	-7.305
150	1151	-7.209
151	1152	-7.115
152	1153	-7.065
153	1154	-7.082
154	1155	-7.148
155	1156	-7.246
156	1157	-7.385
157	1158	-7.54
158	1159	-7.644
159	1160	-7.65
160	1161	-7.599
161	1162	-7.55
162	1163	-7.481
163	1164	-7.404
164	1165	-7.368
165	1166	-7.313
166	1167	-7.239
167	1168	-7.274
168	1169	-7.366
169	1170	-7.394
170	1171	-7.395
171	1172	-7.392
172	1173	-7.378
173	1174	-7.383
174	1175	-7.342
175	1176	-7.222
176	1177	-7.14
177	1178	-7.136
178	1179	-7.145
179	1180	-7.155
180	1181	-7.165
181	1182	-7.184
182	1183	-7.207
183	1184	-7.172
184	1185	-7.109
185	1186	-7.104
186	1187	-7.117
187	1188	-7.065
188	1189	-7.038
189	1190	-7.139
190	1191	-7.253
191	1192	-7.313
192	1193	-7.373
193	1194	-7.429
194	1195	-7.463
195	1196	-7.483
196	1197	-7.481
197	1198	-7.443
198	1199	-7.397
199	1200	-7.375
200	1201	-7.371
201	1202	-7.376
202	1203	-7.395
203	1204	-7.384
204	1205	-7.301
205	1206	-7.198
206	1207	-7.127
207	1208	-7.067
208	1209	-7.017
209	1210	-7.001
210	1211	-7.023
211	1212	-7.045
212	1213	-7.079
213	1214	-7.178
214	1215	-7.288
215	1216	-7.344
216	1217	-7.358
217	1218	-7.322
218	1219	-7.221
219	1220	-7.096
220	1221	-7.047
221	1222	-7.075
222	1223	-7.077
223	1224	-7.071
224	1225	-7.107
225	1226	-7.128
226	1227	-7.117
227	1228	-7.131
228	1229	-7.202
229	1230	-7.291
230	1231	-7.306
231	1232	-7.272
232	1233	-7.286
233	1234	-7.332
234	1235	-7.363
235	1236	-7.354
236	1237	-7.326
237	1238	-7.334
238	1239	-7.382
239	1240	-7.425
240	1241	-7.415
241	1242	-7.382
242	1243	-7.393
243	1244	-7.461
244	1245	-7.529
245	1246	-7.561
246	1247	-7.603
247	1248	-7.663
248	1249	-7.672
249	1250	-7.633
250	1251	-7.615
251	1252	-7.617
252	1253	-7.586
253	1254	-7.557
254	1255	-7.554
255	1256	-7.549
256	1257	-7.572
257	1258	-7.592
258	1259	-7.526
259	1260	-7.372
260	1261	-7.246
261	1262	-7.228
262	1263	-7.266
263	1264	-7.331
264	1265	-7.385
265	1266	-7.359
266	1267	-7.334
267	1268	-7.406
268	1269	-7.489
269	1270	-7.485
270	1271	-7.434
271	1272	-7.392
272	1273	-7.326
273	1274	-7.216
274	1275	-7.134
275	1276	-7.111
276	1277	-7.055
277	1278	-6.981
278	1279	-6.973
279	1280	-6.952
280	1281	-6.901
281	1282	-6.956
282	1283	-7.105
283	1284	-7.188
284	1285	-7.126
285	1286	-7.032
286	1287	-7.043
287	1288	-7.096
288	1289	-7.08
289	1290	-7.037
290	1291	-7.04
291	1292	-7.075
292	1293	-7.125
293	1294	-7.217
294	1295	-7.35
295	1296	-7.441
296	1297	-7.439
297	1298	-7.397
298	1299	-7.371
299	1300	-7.371
300	1301	-7.37
301	1302	-7.364
302	1303	-7.37
303	1304	-7.362
304	1305	-7.336
305	1306	-7.323
306	1307	-7.306
307	1308	-7.264
308	1309	-7.23
309	1310	-7.216
310	1311	-7.207
311	1312	-7.195
312	1313	-7.181
313	1314	-7.151
314	1315	-7.113
315	1316	-7.099
316	1317	-7.101
317	1318	-7.104
318	1319	-7.104
319	1320	-7.104
320	1321	-7.084
321	1322	-7.046
322	1323	-7.051
323	1324	-7.087
324	1325	-7.031
325	1326	-6.901
326	1327	-6.93
327	1328	-7.153
328	1329	-7.361
329	1330	-7.463
330	1331	-7.495
331	1332	-7.475
332	1333	-7.422
333	1334	-7.356
334	1335	-7.305
335	1336	-7.292
336	1337	-7.271
337	1338	-7.236
338	1339	-7.231
339	1340	-7.213
340	1341	-7.152
341	1342	-7.1
342	1343	-7.123
343	1344	-7.187
344	1345	-7.22
345	1346	-7.245
346	1347	-7.244
347	1348	-7.171
348	1349	-7.088
349	1350	-7.017
350	1351	-6.911
351	1352	-6.867
352	1353	-6.944
353	1354	-7.008
354	1355	-7.02
355	1356	-7.019
356	1357	-6.979
357	1358	-6.93
358	1359	-6.934
359	1360	-6.945
360	1361	-6.871
361	1362	-6.775
362	1363	-6.778
363	1364	-6.813
364	1365	-6.807
365	1366	-6.842
366	1367	-6.924
367	1368	-6.99
368	1369	-7.074
369	1370	-7.198
370	1371	-7.326
371	1372	-7.451
372	1373	-7.524
373	1374	-7.524
374	1375	-7.528
375	1376	-7.562
376	1377	-7.605
377	1378	-7.671
378	1379	-7.726
379	1380	-7.698
380	1381	-7.601
381	1382	-7.491
382	1383	-7.355
383	1384	-7.225
384	1385	-7.19
385	1386	-7.239
386	1387	-7.311
387	1388	-7.369
388	1389	-7.347
389	1390	-7.236
390	1391	-7.138
391	1392	-7.107
392	1393	-7.097
393	1394	-7.105
394	1395	-7.158
395	1396	-7.199
396	1397	-7.237
397	1398	-7.328
398	1399	-7.403
399	1400	-7.431
400	1401	-7.457
401	1402	-7.473
402	1403	-7.441
403	1404	-7.378
404	1405	-7.355
405	1406	-7.338
406	1407	-7.25
407	1408	-7.109
408	1409	-6.991
409	1410	-7.001
410	1411	-7.131
411	1412	-7.261
412	1413	-7.351
413	1414	-7.395
414	1415	-7.387
415	1416	-7.405
416	1417	-7.498
417	1418	-7.606
418	1419	-7.656
419	1420	-7.609
420	1421	-7.497
421	1422	-7.398
422	1423	-7.341
423	1424	-7.281
424	1425	-7.229
425	1426	-7.228
426	1427	-7.264
427	1428	-7.316
428	1429	-7.335
429	1430	-7.311
430	1431	-7.295
431	1432	-7.275
432	1433	-7.25
433	1434	-7.247
434	1435	-7.248
435	1436	-7.238
436	1437	-7.235
437	1438	-7.246
438	1439	-7.231
439	1440	-7.147
440	1441	-7.043
441	1442	-7.017
442	1443	-7.087
443	1444	-7.192
444	1445	-7.316
445	1446	-7.443
446	1447	-7.521
447	1448	-7.513
448	1449	-7.448
449	1450	-7.432
450	1451	-7.505
451	1452	-7.604
452	1453	-7.675
453	1454	-7.709
454	1455	-7.694
455	1456	-7.67
456	1457	-7.709
457	1458	-7.755
458	1459	-7.722
459	1460	-7.598
460	1461	-7.424
461	1462	-7.269
462	1463	-7.181
463	1464	-7.203
464	1465	-7.309
465	1466	-7.388
466	1467	-7.376
467	1468	-7.315
468	1469	-7.297
469	1470	-7.32
470	1471	-7.302
471	1472	-7.255
472	1473	-7.22
473	1474	-7.172
474	1475	-7.073
475	1476	-6.906
476	1477	-6.747
477	1478	-6.721
478	1479	-6.81
479	1480	-6.918
480	1481	-7.004
481	1482	-7.089
482	1483	-7.209
483	1484	-7.309
484	1485	-7.342
485	1486	-7.361
486	1487	-7.357
487	1488	-7.311
488	1489	-7.278
489	1490	-7.242
490	1491	-7.152
491	1492	-7.081
492	1493	-7.086
493	1494	-7.098
494	1495	-7.122
495	1496	-7.181
496	1497	-7.186
497	1498	-7.154
498	1499	-7.182
499	1500	-7.243
500	1501	-7.288
501	1502	-7.314
502	1503	-7.304
503	1504	-7.297
504	1505	-7.325
505	1506	-7.347
506	1507	-7.347
507	1508	-7.321
508	1509	-7.247
509	1510	-7.18
510	1511	-7.141
511	1512	-7.121
512	1513	-7.126
513	1514	-7.076
514	1515	-6.98
515	1516	-6.948
516	1517	-6.946
517	1518	-6.942
518	1519	-7.012
519	1520	-7.128
520	1521	-7.206
521	1522	-7.244
522	1523	-7.271
523	1524	-7.294
524	1525	-7.292
525	1526	-7.253
526	1527	-7.187
527	1528	-7.115
528	1529	-7.053
529	1530	-6.969
530	1531	-6.902
531	1532	-6.951
532	1533	-7.038
533	1534	-7.069
534	1535	-7.085
535	1536	-7.089
536	1537	-7.108
537	1538	-7.165
538	1539	-7.197
539	1540	-7.218
540	1541	-7.214
541	1542	-7.114
542	1543	-7.0
543	1544	-6.969
544	1545	-6.954
545	1546	-6.935
546	1547	-6.964
547	1548	-6.982
548	1549	-6.97
549	1550	-7.006
550	1551	-7.065
551	1552	-7.076
552	1553	-7.042
553	1554	-7.056
554	1555	-7.134
555	1556	-7.165
556	1557	-7.152
557	1558	-7.17
558	1559	-7.182
559	1560	-7.151
560	1561	-7.124
561	1562	-7.143
562	1563	-7.179
563	1564	-7.224
564	1565	-7.276
565	1566	-7.284
566	1567	-7.247
567	1568	-7.184
568	1569	-7.087
569	1570	-7.052
570	1571	-7.172
571	1572	-7.324
572	1573	-7.404
573	1574	-7.484
574	1575	-7.586
575	1576	-7.67
576	1577	-7.736
577	1578	-7.756
578	1579	-7.755
579	1580	-7.79
580	1581	-7.791
581	1582	-7.704
582	1583	-7.589
583	1584	-7.477
584	1585	-7.348
585	1586	-7.27
586	1587	-7.301
587	1588	-7.358
588	1589	-7.395
589	1590	-7.42
590	1591	-7.438
591	1592	-7.45
592	1593	-7.415
593	1594	-7.313
594	1595	-7.157
595	1596	-7.029
596	1597	-7.005
597	1598	-6.991
598	1599	-6.903
599	1600	-6.859
600	1601	-6.957
601	1602	-7.123
602	1603	-7.247
603	1604	-7.247
604	1605	-7.158
605	1606	-7.081
606	1607	-7.033
607	1608	-6.991
608	1609	-6.94
609	1610	-6.91
610	1611	-6.931
611	1612	-6.97
612	1613	-7.027
613	1614	-7.126
614	1615	-7.218
615	1616	-7.284
616	1617	-7.327
617	1618	-7.345
618	1619	-7.344
619	1620	-7.303
620	1621	-7.255
621	1622	-7.202
622	1623	-7.122
623	1624	-7.083
624	1625	-7.09
625	1626	-7.102
626	1627	-7.169
627	1628	-7.273
628	1629	-7.327
629	1630	-7.357
630	1631	-7.394
631	1632	-7.392
632	1633	-7.389
633	1634	-7.433
634	1635	-7.467
635	1636	-7.457
636	1637	-7.386
637	1638	-7.269
638	1639	-7.182
639	1640	-7.107
640	1641	-7.029
641	1642	-7.01
642	1643	-7.019
643	1644	-7.024
644	1645	-7.077
645	1646	-7.177
646	1647	-7.239
647	1648	-7.215
648	1649	-7.188
649	1650	-7.204
650	1651	-7.173
651	1652	-7.07
652	1653	-7.003
653	1654	-6.998
654	1655	-6.941
655	1656	-6.849
656	1657	-6.882
657	1658	-7.038
658	1659	-7.154
659	1660	-7.142
660	1661	-7.047
661	1662	-7.006
662	1663	-7.095
663	1664	-7.238
664	1665	-7.342
665	1666	-7.382
666	1667	-7.36
667	1668	-7.287
668	1669	-7.215
669	1670	-7.211
670	1671	-7.273
671	1672	-7.346
672	1673	-7.397
673	1674	-7.423
674	1675	-7.419
675	1676	-7.362
676	1677	-7.245
677	1678	-7.134
678	1679	-7.072
679	1680	-7.035
680	1681	-7.065
681	1682	-7.166
682	1683	-7.22
683	1684	-7.239
684	1685	-7.308
685	1686	-7.406
686	1687	-7.501
687	1688	-7.534
688	1689	-7.511
689	1690	-7.529
690	1691	-7.576
691	1692	-7.574
692	1693	-7.522
693	1694	-7.475
694	1695	-7.432
695	1696	-7.328
696	1697	-7.205
697	1698	-7.173
698	1699	-7.212
699	1700	-7.257
700	1701	-7.308
701	1702	-7.369
702	1703	-7.43
703	1704	-7.494
704	1705	-7.501
705	1706	-7.405
706	1707	-7.306
707	1708	-7.333
708	1709	-7.457
